tail,head,low,cap,cost,flow
1,232,0,150000,2355,0
1,223,0,150000,1252,0
1,212,0,150000,6180,0
1,166,0,150000,9177,0
1,157,0,150000,6102,0
1,156,0,150000,683,0
1,216,0,150000,6530,0
1,241,0,150000,9358,0
1,205,0,150000,6320,0
1,265,0,150000,6596,0
1,210,0,150000,9266,0
1,206,0,150000,7392,0
1,260,0,150000,1857,0
1,248,0,150000,319,0
1,195,0,150000,7677,0
1,246,0,150000,1947,0
1,275,0,150000,3967,0
1,204,0,150000,1769,0
1,276,0,150000,4676,0
1,219,0,150000,660,0
1,168,0,150000,4015,0
1,233,0,150000,880,0
1,269,0,150000,2342,0
1,231,0,150000,168,0
1,161,0,150000,4609,0
1,238,0,150000,6503,0
1,191,0,150000,7435,0
1,175,0,150000,7645,0
1,173,0,150000,5309,0
1,245,0,150000,7581,0
1,291,0,150000,9414,0
1,184,0,150000,6258,0
1,250,0,150000,5228,0
1,253,0,150000,2515,0
1,247,0,150000,3737,0
1,274,0,150000,4137,0
1,255,0,150000,4668,0
1,243,0,150000,1080,0
1,239,0,150000,7606,0
1,160,0,150000,2522,0
1,288,0,150000,4422,0
1,278,0,150000,7828,0
1,169,0,150000,5428,0
1,172,0,150000,5461,0
1,227,0,150000,9594,0
1,163,0,150000,7359,0
1,252,0,150000,1298,0
1,249,0,150000,5824,0
1,217,0,150000,5060,0
1,155,0,150000,4955,0
1,295,0,150000,6396,0
1,256,0,150000,9780,0
1,198,0,150000,8676,0
1,261,0,150000,5086,0
1,240,0,150000,2126,0
1,183,0,150000,4039,0
1,242,0,150000,6965,0
1,273,0,150000,1633,286
1,293,0,150000,5638,0
1,176,0,150000,2244,0
1,297,0,150000,4398,0
1,174,0,150000,6177,0
1,202,0,150000,1464,0
1,186,0,150000,3814,0
1,153,0,150000,6367,0
1,196,0,150000,414,0
1,254,0,150000,9920,0
1,192,0,150000,980,0
1,277,0,150000,4319,0
1,234,0,150000,7539,0
1,162,0,150000,7506,0
1,236,0,150000,3509,0
1,282,0,150000,4571,0
1,258,0,150000,5867,0
1,208,0,150000,7606,0
1,200,0,150000,8200,0
1,214,0,150000,4221,0
1,270,0,150000,8476,0
1,251,0,150000,2010,0
1,224,0,150000,1240,0
1,193,0,150000,5271,0
2,247,0,150000,3921,0
2,193,0,150000,7713,0
2,261,0,150000,3765,0
2,282,0,150000,8577,0
2,216,0,150000,5422,0
2,155,0,150000,229,528
2,277,0,150000,7226,0
2,225,0,150000,5775,0
2,294,0,150000,2089,0
2,218,0,150000,5677,0
2,286,0,150000,5773,0
2,275,0,150000,690,1261
2,164,0,150000,6104,0
2,203,0,150000,2533,0
2,210,0,150000,212,649
2,212,0,150000,6448,0
2,257,0,150000,5103,0
2,233,0,150000,343,0
2,198,0,150000,3097,0
