,setting,time_mean,time_min,time_max,time_sd,time_median,cost_mean,cost_min,cost_max,cost_sd,cost_median,Vecindad
0,1.0 14867566.5 1000.0 15.0 0.79,57.23276551246643,45.6597304344177,64.0437488555908,4.221450662784039,58.292791366577156,147485161.72,145784684.0,148457656.0,690566.908330736,147576571.5,Algoritmo 1
1,1.0 14867566.5 1000.0 15.0 0.84,74.54712530136108,59.6555378437042,86.55303382873541,8.338297460116136,79.27696573734285,147231317.44,145765472.0,148414221.0,744959.3898803233,147315919.0,Algoritmo 1
2,1.0 14867566.5 1000.0 15.0 0.89,111.17049204826357,86.704409122467,128.206189870834,11.187568636007356,117.4176151752475,147051098.42,145598299.0,148253835.0,709838.9684843041,147049632.5,Algoritmo 1
3,1.0 14867566.5 1000.0 15.0 0.94,210.74166172981262,163.093849897385,241.85217094421398,18.815441815540222,219.73171544075,146636042.78,145639316.0,148023802.0,563466.7381634726,146693585.5,Algoritmo 1
4,1.0 14867566.5 1000.0 15.0 0.99,1337.3707174968717,1202.2197780609101,1634.2563242912302,105.01450100120917,1339.027184486385,145883733.26,145460109.0,146493801.0,268857.4257879041,145838074.5,Algoritmo 1
5,1.0 14867566.5 1000.0 20.0 0.79,77.2834450674057,71.2925946712494,84.6032030582428,2.786542160445308,77.83969807624814,147311164.36,145609809.0,148464904.0,719109.2852849353,147213814.5,Algoritmo 1
6,1.0 14867566.5 1000.0 20.0 0.84,99.4511160898209,79.5852780342102,115.441458940506,10.584592705468157,105.845647215843,146934297.74,145718013.0,148179371.0,703203.7646447894,146936329.0,Algoritmo 1
7,1.0 14867566.5 1000.0 20.0 0.89,148.02860106945042,115.827646255493,171.290190219879,14.699389957019292,155.74725806713099,146738434.28,145761785.0,148171138.0,604816.8937351792,146766572.0,Algoritmo 1
8,1.0 14867566.5 1000.0 20.0 0.94,272.867882566452,217.101308584213,315.965623378754,31.550331165794002,290.692528605461,146716773.2,145713703.0,147559521.0,501721.8205149307,146762964.5,Algoritmo 1
9,1.0 14867566.5 1000.0 20.0 0.99,1776.8568469142913,1601.87822937965,2157.83612155914,136.8896468910323,1784.7001845836598,145780027.0,145418659.0,146295027.0,211569.05343781124,145751681.0,Algoritmo 1
10,1.0 14867566.5 1000.0 25.0 0.79,93.05974345207215,73.8317413330078,105.484310388565,8.425538246939372,96.71329748630521,147312437.9,145657983.0,148422167.0,737966.7100254081,147445091.5,Algoritmo 1
11,1.0 14867566.5 1000.0 25.0 0.84,124.26466678142543,99.70569229125981,143.937798023224,13.337553936752498,132.0211350917815,146897989.86,145703336.0,147983043.0,536103.6421552866,146930973.0,Algoritmo 1
12,1.0 14867566.5 1000.0 25.0 0.89,185.2803155708313,144.187823295593,213.45593166351298,18.613229917705308,195.9383289814,146799820.6,145671861.0,148051590.0,647584.0390660205,146755526.0,Algoritmo 1
13,1.0 14867566.5 1000.0 25.0 0.94,340.0733841896057,276.982852458954,395.085740804672,36.525428170880815,362.666126728058,146405180.34,145549604.0,147509240.0,474239.7075890067,146358284.0,Algoritmo 1
14,1.0 14867566.5 1000.0 25.0 0.99,2027.3954133558263,1558.2854897975901,2566.14189577103,208.47308846055535,2060.34738814831,145804668.3,145483652.0,146373242.0,198589.57403262437,145789245.5,Algoritmo 1
15,1.0 14867566.5 1000.0 30.0 0.79,114.48548781394952,88.5796375274658,126.505580186844,8.50616236828844,116.95178413391099,146952486.42,145645527.0,148054965.0,702616.1834162751,146959058.5,Algoritmo 1
16,1.0 14867566.5 1000.0 30.0 0.84,150.0388260507584,117.250918149948,173.484484434128,15.049487015365788,158.57414722442599,146769862.08,145778617.0,148002365.0,623623.6528510929,146714360.5,Algoritmo 1
17,1.0 14867566.5 1000.0 30.0 0.89,225.11080494880673,173.632561683655,256.75383687019297,20.03994571215063,233.87587165832548,146766035.02,145472551.0,147622168.0,480747.2897520043,146746638.0,Algoritmo 1
18,1.0 14867566.5 1000.0 30.0 0.94,422.383939986229,349.41547107696505,472.76811051368696,28.57992794674162,435.55433773994446,146401561.4,145605489.0,147275279.0,453284.6456995194,146421378.5,Algoritmo 1
19,1.0 14867566.5 1000.0 30.0 0.99,2368.8469115161893,1874.46508145332,2751.84433841705,211.67103554234882,2473.1608579158747,145790153.32,145480540.0,146207809.0,199144.74156020078,145738367.0,Algoritmo 1
20,1.0 14867566.5 10000.0 15.0 0.79,43.03831287384033,34.155071973800695,47.7873508930206,3.269148670160562,44.070335268974304,147744284.48,146319667.0,148680465.0,665146.5153273003,147859517.5,Algoritmo 1
21,1.0 14867566.5 10000.0 15.0 0.84,55.492534384727485,44.842080116272,65.0912823677063,6.497968166299352,59.299164295196555,147342454.72,145599155.0,148614395.0,774443.4094946088,147374451.0,Algoritmo 1
22,1.0 14867566.5 10000.0 15.0 0.89,84.49386656284332,65.9473986625671,97.3096780776978,8.54049181974552,89.17199873924254,147275449.46,145616845.0,148441008.0,741120.6159060119,147332333.0,Algoritmo 1
23,1.0 14867566.5 10000.0 15.0 0.94,158.84606203079227,124.007228136063,182.999216079712,15.969986550284608,166.519170999527,146622795.64,145563534.0,148095231.0,623171.7308860705,146521259.5,Algoritmo 1
24,1.0 14867566.5 10000.0 15.0 0.99,1006.947061944008,876.066316843033,1222.16745305061,84.06108030313507,1018.909478902815,146017254.54,145446624.0,146736749.0,333502.81002317736,145953185.5,Algoritmo 1
25,1.0 14867566.5 10000.0 20.0 0.79,58.40077020645142,54.4747476577759,63.9985263347626,1.9961978284815993,58.688108921051,147497537.1,145627748.0,148601457.0,823027.2581149263,147661501.5,Algoritmo 1
26,1.0 14867566.5 10000.0 20.0 0.84,74.66883301258088,59.6338970661163,86.63598322868349,7.99829471262961,79.19408655166625,147408383.8,145838235.0,148501864.0,702539.5697318263,147490892.5,Algoritmo 1
27,1.0 14867566.5 10000.0 20.0 0.89,112.52216955661774,87.73558282852171,130.057504177094,11.313973357219956,118.951652884483,147196077.24,145754869.0,148681880.0,716247.6200626218,147318006.0,Algoritmo 1
28,1.0 14867566.5 10000.0 20.0 0.94,207.8104210710525,165.633278131485,240.47700953483601,23.91773579066185,221.6659706830975,146763500.8,145644137.0,148140211.0,637727.9209663325,146635185.5,Algoritmo 1
29,1.0 14867566.5 10000.0 20.0 0.99,1331.2489138269418,951.467313528061,1631.1750636100799,123.92104286672473,1351.8609753847102,145956235.48,145436157.0,146863778.0,314265.8531846681,145918677.5,Algoritmo 1
30,1.0 14867566.5 10000.0 25.0 0.79,69.52536711215973,55.235814332962,79.52739500999449,7.443432636805708,73.1764123439789,147385470.34,145708504.0,148564378.0,687559.1290868872,147470888.5,Algoritmo 1
31,1.0 14867566.5 10000.0 25.0 0.84,92.7366054201126,74.4453125,108.489872217178,10.90390811265532,99.16920804977416,147230381.66,145537953.0,148395520.0,824327.5901757032,147196370.0,Algoritmo 1
32,1.0 14867566.5 10000.0 25.0 0.89,142.54585308551788,109.76030254364001,162.555578947067,12.77698239282389,148.48896312713651,146958960.86,145587933.0,148241450.0,749896.4368041983,146865372.5,Algoritmo 1
33,1.0 14867566.5 10000.0 25.0 0.94,266.01174434185026,218.63440203666698,300.915991306305,22.834589090915955,276.9842680692675,146735108.34,145681390.0,147754683.0,534927.1285277685,146757883.5,Algoritmo 1
34,1.0 14867566.5 10000.0 25.0 0.99,1519.217951288223,1183.13115358353,1727.42347621918,113.68966646988403,1565.549208641055,145948113.38,145466463.0,146488735.0,266802.915534118,145956900.0,Algoritmo 1
35,1.0 14867566.5 10000.0 30.0 0.79,86.55477622509002,66.7604446411133,95.7313449382782,6.4800847281661405,88.4063329696655,147237649.56,145649249.0,148528215.0,810591.5160116138,147294862.5,Algoritmo 1
36,1.0 14867566.5 10000.0 30.0 0.84,112.44871113777157,87.9961471557617,129.530660867691,11.196238172478756,118.808875799179,147188474.92,145627773.0,148540838.0,803756.9739066815,147395064.0,Algoritmo 1
37,1.0 14867566.5 10000.0 30.0 0.89,170.53789968013768,131.682277679443,195.696269512177,15.449622955276512,178.14449441432998,146855813.32,145538910.0,148276155.0,715662.3035384902,146747597.0,Algoritmo 1
38,1.0 14867566.5 10000.0 30.0 0.94,331.0389637708664,298.241361141205,385.88164782524103,21.523611011111985,333.336060285568,146627337.18,145712071.0,147795425.0,534859.8469294317,146577537.0,Algoritmo 1
39,1.0 14867566.5 10000.0 30.0 0.99,1792.42510843277,1435.10595440865,2065.92519879341,148.93601845998697,1878.0359338521998,145862056.0,145436157.0,146538390.0,275667.37870987837,145836777.5,Algoritmo 1
40,1.0 14867566.5 100000.0 15.0 0.79,30.530816893577573,24.1632349491119,34.2316439151764,2.3214174913678263,31.283536791801446,148233927.02,145525877.0,149009359.0,694693.7256187217,148538736.0,Algoritmo 1
41,1.0 14867566.5 100000.0 15.0 0.84,38.50683826446533,30.8443324565887,44.65149593353271,4.251507771644415,41.007270216941855,148046543.56,145985684.0,148914034.0,787347.7178134754,148306469.0,Algoritmo 1
42,1.0 14867566.5 100000.0 15.0 0.89,57.577460985183706,44.990195274353,66.6406652927399,5.773128852175098,60.799863696098356,147947086.38,145966463.0,148943104.0,883933.4421743758,148324548.5,Algoritmo 1
43,1.0 14867566.5 100000.0 15.0 0.94,107.11806723117832,84.4542329311371,123.452998638153,11.298636239658563,113.2859938144685,147522724.1,145496403.0,148952881.0,916459.8326551447,147507774.5,Algoritmo 1
44,1.0 14867566.5 100000.0 15.0 0.99,689.2537089681625,600.524847984314,840.54345202446,57.72139732565041,697.372550368309,146449133.62,145523851.0,147847807.0,510171.8804242626,146425511.5,Algoritmo 1
45,1.0 14867566.5 100000.0 20.0 0.79,40.64925160884857,36.7011888027191,45.5714194774628,2.1381473990507076,41.6003886461258,147955453.58,145914854.0,148848229.0,849534.1578696105,148262868.0,Algoritmo 1
46,1.0 14867566.5 100000.0 20.0 0.84,51.514071373939515,41.1229939460754,59.81970262527471,5.5035087521947395,54.69882702827449,148098332.28,146280465.0,148921673.0,749656.2301147635,148421372.0,Algoritmo 1
47,1.0 14867566.5 100000.0 20.0 0.89,76.7022985124588,59.834747314453104,88.6019368171692,7.675397179051323,80.555481672287,147888695.7,145519989.0,149197921.0,890100.6538411593,148100006.5,Algoritmo 1
48,1.0 14867566.5 100000.0 20.0 0.94,141.1050090932846,112.70427298545799,164.473139047623,16.0066237633409,150.66251564025902,147517555.8,145561905.0,148766738.0,839799.744383828,147404183.0,Algoritmo 1
49,1.0 14867566.5 100000.0 20.0 0.99,849.5509610462187,649.153319835663,1105.05352067947,94.51469349134786,857.1962636709214,146246085.98,145436157.0,148093684.0,533396.78114191,146081281.0,Algoritmo 1
50,1.0 14867566.5 100000.0 25.0 0.79,51.17531979560853,39.6064591407776,56.6122171878815,3.784041386506609,52.3608101606369,148035271.4,145894444.0,148919595.0,823419.5486219993,148242521.0,Algoritmo 1
51,1.0 14867566.5 100000.0 25.0 0.84,64.26818824768067,50.4233033657074,74.6376569271088,7.1216491255239385,68.2217470407486,147834546.22,145792284.0,148928259.0,846863.8923580869,148009244.5,Algoritmo 1
52,1.0 14867566.5 100000.0 25.0 0.89,97.22874550819401,74.94589471817021,111.386252880096,8.70778713736175,101.2910052537915,147763563.44,146027016.0,148773091.0,837702.9754114464,147952648.5,Algoritmo 1
53,1.0 14867566.5 100000.0 25.0 0.94,179.66522229194638,148.945063829422,204.846465826035,16.908900687390595,188.506180644035,147233799.4,145549904.0,149024419.0,804346.7021732479,147298441.5,Algoritmo 1
54,1.0 14867566.5 100000.0 25.0 0.99,1026.9799698352806,811.50416302681,1180.21827459335,90.45235277963847,1073.37991797924,146215919.66,145501637.0,147462122.0,491666.8947552082,146164593.5,Algoritmo 1
55,1.0 14867566.5 100000.0 30.0 0.79,59.83852060317992,47.3686130046844,67.9526669979095,5.055321520961315,62.37791895866394,147701264.86,145838726.0,148802318.0,814117.1549571918,147769058.5,Algoritmo 1
56,1.0 14867566.5 100000.0 30.0 0.84,77.73325060844421,60.638778448104894,89.4921884536743,7.8453614146106325,82.23124325275421,147852978.62,145877759.0,148925712.0,880230.2753824785,147963391.5,Algoritmo 1
57,1.0 14867566.5 100000.0 30.0 0.89,116.19234030246734,89.77638936042791,133.156256198883,10.534303483019222,121.42076170444452,147643468.76,145956788.0,148971082.0,770453.9486209243,147769167.5,Algoritmo 1
58,1.0 14867566.5 100000.0 30.0 0.94,226.23414094448086,203.24626421928397,272.863437175751,16.94534187495334,226.64130222797348,147019048.78,145573221.0,148487253.0,845969.1887645981,147117778.0,Algoritmo 1
59,1.0 14867566.5 100000.0 30.0 0.99,1209.044049448967,987.638294696808,1403.78329324722,105.22493577794108,1266.1621692180602,146195281.48,145418193.0,147343487.0,450367.5837829127,146173581.5,Algoritmo 1
60,1.0 49558555.0 1000.0 15.0 0.79,63.61545147418976,50.6612546443939,71.50241637229921,4.777705676450968,65.12102735042575,147294204.12,145590076.0,148505221.0,880265.5282474958,147479737.5,Algoritmo 1
61,1.0 49558555.0 1000.0 15.0 0.84,83.25145486354828,66.97999262809749,97.67811799049379,9.740187074509658,89.15341114997865,147099040.86,145760882.0,148462172.0,707419.2237360438,147173265.0,Algoritmo 1
62,1.0 49558555.0 1000.0 15.0 0.89,124.61308207035067,97.40164613723749,143.75207352638202,12.490330889853581,131.7055840492245,146962122.44,145719504.0,148403428.0,684203.3544715554,146926458.5,Algoritmo 1
63,1.0 49558555.0 1000.0 15.0 0.94,234.31052052021022,182.858781814575,271.298625707626,22.808175777556013,246.83839881420147,146547523.0,145467422.0,147686590.0,574340.4254677619,146397110.5,Algoritmo 1
