,alg,T0,Tf,it,beta,cost_mean,cost_sd,time_mean,time_sd
139,2,frac{S0}{10},1000.0,30,0.99,145430994.82,31195.967,2400.729,226.885
194,2,frac{S0}{10},1000.0,25,0.99,145432406.94,75700.031,2234.053,214.937
189,2,frac{S0}{10},1000.0,20,0.99,145435890.86,92237.125,1825.086,173.8
134,2,frac{S0}{10},1000.0,25,0.99,145444145.08,39741.294,1986.887,189.371
199,2,frac{S0}{10},1000.0,30,0.99,145444299.02,47623.943,2709.156,241.328
159,2,frac{S0}{10},10000.0,30,0.99,145446676.06,54060.882,1830.787,161.945
129,2,frac{S0}{10},1000.0,20,0.99,145450363.18,42606.214,1622.783,155.077
184,2,frac{S0}{10},1000.0,15,0.99,145456595.3,60756.431,1378.815,128.7
124,2,frac{S0}{10},1000.0,15,0.99,145456607.26,92533.996,1223.066,118.483
154,2,frac{S0}{10},10000.0,25,0.99,145468869.3,60920.316,1510.657,142.018
