"","costs","x"
"1",2670175082,1
"2",2599900713,2
"3",2692302718,3
"4",2572055650,4
"5",2572055650,5
"6",2572055650,6
"7",2572055650,7
"8",2589075513,8
"9",2572055650,9
"10",2572055650,10
"11",2572055650,11
"12",2618910797,12
"13",2618058227,13
"14",2572055650,14
"15",2572055650,15
"16",2576824459,16
"17",2692908145,17
"18",2572055650,18
"19",2599318714,19
"20",2572055650,20
"21",2572055650,21
"22",2690902907,22
"23",2570982719,23
"24",2572055650,24
"25",2658772882,25
"26",2597452562,26
"27",2568300139,27
"28",2863794981,28
"29",2572055650,29
"30",2572055650,30
"31",2409438855,31
"32",2572055650,32
"33",2572055650,33
"34",2571946226,34
"35",2571946226,35
"36",2572055650,36
"37",2572055650,37
"38",2646560259,38
"39",2574744122,39
"40",2572055650,40
"41",2671581433,41
"42",2729093092,42
"43",2572055650,43
"44",2725910275,44
"45",2575623581,45
"46",2671526231,46
"47",2657968088,47
"48",2698502982,48
"49",2572055650,49
"50",2572055650,50
"51",2572309040,51
"52",2572055650,52
"53",2572055650,53
"54",2572055650,54
"55",2703333935,55
"56",2572055650,56
"57",2572055650,57
"58",2697989367,58
"59",2572055650,59
"60",2572055650,60
"61",2791993446,61
"62",2572055650,62
"63",2572055650,63
"64",2572055650,64
"65",2813998620,65
"66",2572055650,66
"67",2572055650,67
"68",2634498459,68
"69",2572055650,69
"70",2572055650,70
"71",2572055650,71
"72",2572055650,72
"73",2572055650,73
"74",2586633572,74
"75",2572055650,75
"76",2212165002,76
"77",2572055650,77
"78",2540731232,78
"79",2456352002,79
"80",2572055650,80
"81",2572055650,81
"82",2582933440,82
"83",2634408533,83
"84",2572055650,84
"85",2572055650,85
"86",2635483096,86
"87",2572055650,87
"88",2572055650,88
"89",2572055650,89
"90",2572055650,90
"91",2572055650,91
"92",2572055650,92
"93",2572055650,93
"94",2572976309,94
"95",2572055650,95
"96",2607714746,96
"97",2572055650,97
"98",2738906833,98
"99",2696254157,99
"100",2584658979,100
"101",2572055650,101
"102",2639516267,102
"103",2572055650,103
"104",2572055650,104
"105",2572055650,105
"106",2572466848,106
