"","bestCostByT","temperatures"
"1",2572055650,1273167546,75
"2",2572055650,1260435871,2825
"3",2583484413,1247831512,56967
"4",2770759638,1235353197,44398
"5",2572055650,1222999665,46954
"6",2564469745,1210769668,81484
"7",2572055650,1198661972,12669
"8",2572055650,1186675352,40543
"9",2572055650,1174808598,88137
"10",2572055650,1163060512,89256
"11",2572055650,1151429907,76363
"12",1974667235,1139915608,686
"13",2578681192,1128516452,59914
"14",2572055650,1117231288,07315
"15",2572055650,1106058975,19241
"16",2729836169,1094998385,44049
"17",2572055650,1084048401,58609
"18",2572055650,1073207917,57022
"19",2572055650,1062475838,39452
"20",2572055650,1051851080,01058
"21",2572055650,1041332569,21047
"22",2572055650,1030919243,51837
"23",2574018770,1020610051,08318
"24",2572055650,1010403950,57235
"25",2852206468,1000299911,06663
"26",2743539907,990296911,955961
"27",2666367154,980393942,836402
"28",2572055650,970590003,408038
"29",2631435629,960884103,373957
"30",2572055650,951275262,340218
"31",2537331277,941762509,716816
"32",2353158221,932344884,619647
"33",2572055650,923021435,773451
"34",2572055650,913791221,415716
"35",2602911967,904653309,201559
"36",2599584221,895606776,109543
"37",2572055650,886650708,348448
"38",2609467245,877784201,264964
"39",2572055650,869006359,252314
"40",2555350368,860316295,659791
"41",2572055650,851713132,703193
"42",2572055650,843196001,376161
"43",2572055650,834764041,362399
"44",2597708916,826416400,948775
"45",2572055650,818152236,939287
"46",2572055650,809970714,569895
"47",2563435225,801871007,424196
"48",2572055650,793852297,349954
"49",2572055650,785913774,376454
"50",2572055650,778054636,63269
"51",2572055650,770274090,266363
"52",2572055650,762571349,363699
"53",2572055650,754945635,870062
"54",2655402444,747396179,511361
"55",2572055650,739922217,716248
"56",2572055650,732522995,539085
"57",2572055650,725197765,583695
"58",2655101777,717945787,927858
"59",2616133763,710766330,048579
"60",2391847518,703658666,748093
"61",2572055650,696622080,080612
"62",2705555520,689655859,279806
"63",3086432714,682759300,687008
"64",2565498846,675931707,680138
"65",2543352651,669172390,603337
"66",2607400820,662480666,697303
"67",2572055650,655855860,03033
"68",2572055650,649297301,430027
"69",2572055650,642804328,415727
"70",2648418114,636376285,131569
"71",2619668631,630012522,280254
"72",2654772816,623712397,057451
"73",2572055650,617475273,086877
"74",2572055650,611300520,356008
"75",2572055650,605187515,152448
"76",2572055650,599135640,000923
"77",2572055650,593144283,600914
"78",2572055650,587212840,764905
"79",2572484008,581340712,357256
"80",2572055650,575527305,233683
"81",2572055650,569772032,181346
"82",2572055650,564074311,859533
"83",2572055650,558433568,740938
"84",2696592025,552849233,053528
"85",2619806327,547320740,722993
"86",2572055650,541847533,315763
"87",2504534377,536429057,982605
"88",2572055650,531064767,402779
"89",2557787257,525754119,728751
"90",2598427094,520496578,531464
"91",2572266907,515291612,746149
"92",2610786894,510138696,618688
"93",2793589577,505037309,652501
"94",2651876492,499986936,555976
"95",2622012434,494987067,190416
"96",2572055650,490037196,518512
"97",2571342749,485136824,553327
"98",2572055650,480285456,307794
"99",2572055650,475482601,744716
"100",2572055650,470727775,727269
"101",2572055650,466020497,969996
"102",2640566903,461360292,990296
"103",2572055650,456746690,060393
"104",2572055650,452179223,159789
"105",2615765997,447657430,928191
"106",2584845243,443180856,618909
"107",2581043677,438749048,05272
"108",2572055650,434361557,572193
"109",2572055650,430017941,996471
"110",2566286322,425717762,576506
"111",2572055650,421460584,950741
"112",2702643588,417245979,101234
"113",2660879418,413073519,310221
"114",2572055650,408942784,117119
"115",2583338341,404853356,275948
"116",2630196432,400804822,713189
"117",2572055650,396796774,486057
"118",2572055650,392828806,741196
"119",2572055650,388900518,673784
"120",2622667463,385011513,487046
"121",2582414589,381161398,352176
"122",1798320233,377349784,368654
"123",2626641195,373576286,524967
"124",2572433748,369840523,659718
"125",2747126314,366142118,423121
"126",2572055650,362480697,238889
"127",2572055650,358855890,2665
"128",2572055650,355267331,363835
"129",2654358052,351714658,050197
"130",2572055650,348197511,469695
"131",2703529808,344715536,354998
"132",2865970221,341268380,991448
"133",2572055650,337855697,181534
"134",2657507538,334477140,209718
"135",2572055650,331132368,807621
"136",2572055650,327821045,119545
"137",2572055650,324542834,66835
"138",2572055650,321297406,321666
"139",2655707903,318084432,258449
"140",2572055650,314903587,935865
"141",2572055650,311754552,056506
"142",2598573879,308637006,535941
"143",2680409787,305550636,470582
"144",2575016008,302495130,105876
"145",2649216666,299470178,804817
"146",2572055650,296475477,016769
"147",2572055650,293510722,246601
"148",2578717449,290575615,024135
"149",2680871201,287669858,873894
"150",2572055650,284793160,285155
"151",2572055650,281945228,682303
"152",2419742704,279125776,39548
"153",2572055650,276334518,631526
"154",2572055650,273571173,44521
"155",2575921851,270835461,710758
"156",2572055650,268127107,093651
"157",2615907876,265445836,022714
"158",2572055650,262791377,662487
"159",2575361300,260163463,885862
"160",2448782121,257561829,247003
"161",2572055650,254986210,954533
"162",2668355544,252436348,844988
"163",2572055650,249911985,356538
"164",2622621081,247412865,502973
"165",2652699174,244938736,847943
"166",2591195300,242489349,479464
"167",2735111010,240064455,984669
"168",2671179233,237663811,424822
"169",2572055650,235287173,310574
"170",2572055650,232934301,577468
"171",2652360387,230604958,561694
"172",2572055650,228298908,976077
"173",2607656739,226015919,886316
"174",2572055650,223755760,687453
"175",2572055650,221518203,080578
"176",2572055650,219303021,049772
"177",2572055650,217109990,839275
"178",2721259310,214938890,930882
"179",2572055650,212789502,021573
"180",2752830445,210661607,001357
"181",2572055650,208554990,931344
"182",1619983172,206469441,02203
"183",1619983172,204404746,61181
"184",1619983172,202360699,145692
"185",1619983172,200337092,154235
"186",1619983172,198333721,232693
"187",1619983172,196350384,020366
"188",1619983172,194386880,180162
"189",1619983172,192443011,378361
"190",1619983172,190518581,264577
"191",1619983172,188613395,451931
"192",1619983172,186727261,497412
"193",1619983172,184859988,882438
"194",1619983172,183011388,993613
"195",1619983172,181181275,103677
"196",1619983172,179369462,35264
"197",1619983172,177575767,729114
"198",1619983172,175800010,051823
"199",1619983172,174042009,951305
"200",1619983172,172301589,851792
"201",1619983172,170578573,953274
"202",1619983172,168872788,213741
"203",1619983172,167184060,331604
"204",1619983172,165512219,728288
"205",1619983172,163857097,531005
"206",1619983172,162218526,555695
"207",1619983172,160596341,290138
"208",1619983172,158990377,877236
"209",1619983172,157400474,098464
"210",1619983172,155826469,357479
"211",1619983172,154268204,663904
"212",1619983172,152725522,617265
"213",1619983172,151198267,391093
"214",1619983172,149686284,717182
"215",1619983172,148189421,87001
"216",1619983172,146707527,65131
"217",1619983172,145240452,374797
"218",1619983172,143788047,851049
"219",1619983172,142350167,372538
"220",1619983172,140926665,698813
"221",1619983172,139517399,041825
"222",1619983172,138122225,051407
"223",1619983172,136741002,800892
"224",1619983172,135373592,772884
"225",1619983172,134019856,845155
"226",1619983172,132679658,276703
"227",1619983172,131352861,693936
"228",1619983172,130039333,076997
"229",1619983172,128738939,746227
"230",1619983172,127451550,348765
"231",1619983172,126177034,845277
"232",1619983172,124915264,496824
"233",1619983172,123666111,851856
"234",1619983172,122429450,733337
"235",2037438889,121205156,226004
"236",2037438889,119993104,663744
"237",2037438889,118793173,617106
"238",2037438889,117605241,880935
"239",2037438889,116429189,462126
"240",2037438889,115264897,567505
"241",2037438889,114112248,59183
"242",2037438889,112971126,105911
"243",2037438889,111841414,844852
"244",2037438889,110723000,696404
"245",2037438889,109615770,68944
"246",2037438889,108519612,982545
"247",2037438889,107434416,85272
"248",2037438889,106360072,684193
"249",2037438889,105296471,957351
