"","bestCostByT","temperatures"
"1",2640393831,1273167546,75
"2",2976081314,1260435871,2825
"3",2572055650,1247831512,56967
"4",2574000762,1235353197,44398
"5",2572055650,1222999665,46954
"6",2572055650,1210769668,81484
"7",2732019273,1198661972,12669
"8",2680157239,1186675352,40543
"9",2572055650,1174808598,88137
"10",2673168283,1163060512,89256
"11",2572055650,1151429907,76363
"12",2748069777,1139915608,686
"13",2587487376,1128516452,59914
"14",2562740742,1117231288,07315
"15",2677187812,1106058975,19241
"16",2572055650,1094998385,44049
"17",2619010617,1084048401,58609
"18",2572055650,1073207917,57022
"19",2749414790,1062475838,39452
"20",2583113897,1051851080,01058
"21",2596022745,1041332569,21047
"22",2880905776,1030919243,51837
"23",3143855594,1020610051,08318
"24",2605904430,1010403950,57235
"25",2572055650,1000299911,06663
"26",2572055650,990296911,955961
"27",2572055650,980393942,836402
"28",2572055650,970590003,408038
"29",2651435624,960884103,373957
"30",2572055650,951275262,340218
"31",2572055650,941762509,716816
"32",2572055650,932344884,619647
"33",2572055650,923021435,773451
"34",2585883640,913791221,415716
"35",2640472312,904653309,201559
"36",2572055650,895606776,109543
"37",2776082571,886650708,348448
"38",2572055650,877784201,264964
"39",2572055650,869006359,252314
"40",2603391181,860316295,659791
"41",2694814933,851713132,703193
"42",2572055650,843196001,376161
"43",2709411137,834764041,362399
"44",2572055650,826416400,948775
"45",2596455545,818152236,939287
"46",2572055650,809970714,569895
"47",2683763981,801871007,424196
"48",2572055650,793852297,349954
"49",2124186472,785913774,376454
"50",2567909599,778054636,63269
"51",2572055650,770274090,266363
"52",2572055650,762571349,363699
"53",2628501091,754945635,870062
"54",2572055650,747396179,511361
"55",2668695478,739922217,716248
"56",2572055650,732522995,539085
"57",2572055650,725197765,583695
"58",2572055650,717945787,927858
"59",2747471860,710766330,048579
"60",2572055650,703658666,748093
"61",2900040018,696622080,080612
"62",2581690095,689655859,279806
"63",2581201300,682759300,687008
"64",2579793134,675931707,680138
"65",2572055650,669172390,603337
"66",2572055650,662480666,697303
"67",2572055650,655855860,03033
"68",2584498699,649297301,430027
"69",2572055650,642804328,415727
"70",2572055650,636376285,131569
"71",2804600807,630012522,280254
"72",2572055650,623712397,057451
"73",2594751956,617475273,086877
"74",2545767511,611300520,356008
"75",2572055650,605187515,152448
