"","costs","x"
"1",149358718,1
"2",149365443,2
"3",149365443,3
"4",149726845,4
"5",149726845,5
"6",149642977,6
"7",149642977,7
"8",148978549,8
"9",148978549,9
"10",149961812,10
"11",149146975,11
"12",149847235,12
"13",151741619,13
"14",148886958,14
"15",149238748,15
"16",154317314,16
"17",149648902,17
"18",150182627,18
"19",149353606,19
"20",148961429,20
"21",148961429,21
"22",148496088,22
"23",148617485,23
"24",153449185,24
"25",148497413,25
"26",155993658,26
"27",148811928,27
"28",149363986,28
"29",148809669,29
"30",150258937,30
"31",150868387,31
"32",148587561,32
"33",149270958,33
"34",150022821,34
"35",149739708,35
"36",148950078,36
"37",149233600,37
"38",155364360,38
"39",151086172,39
"40",148932687,40
"41",151321525,41
"42",151009584,42
"43",151167528,43
"44",149135784,44
"45",149523451,45
"46",152247526,46
"47",148828260,47
"48",148828260,48
"49",149310997,49
"50",150599658,50
"51",149090062,51
"52",149142269,52
"53",149408844,53
"54",149241252,54
"55",148916096,55
"56",148916096,56
"57",148458717,57
"58",151222621,58
"59",150379974,59
"60",161182124,60
"61",148586281,61
"62",154973416,62
"63",148840708,63
"64",148840708,64
"65",148726242,65
"66",149140759,66
"67",149805771,67
"68",149805771,68
"69",157020302,69
"70",154591187,70
"71",153774654,71
"72",148900910,72
"73",151485348,73
"74",149056710,74
"75",148653399,75
"76",148757754,76
"77",151060784,77
"78",151060784,78
"79",150369844,79
"80",152137596,80
"81",151794157,81
"82",149734691,82
"83",149734691,83
"84",151288686,84
"85",151828821,85
"86",149593987,86
"87",153092317,87
"88",150166293,88
"89",149029592,89
"90",149080815,90
"91",149080815,91
"92",148973336,92
"93",148946999,93
"94",149137433,94
"95",151158551,95
"96",151429733,96
"97",149443647,97
"98",149085225,98
"99",149726379,99
"100",150988277,100
"101",149831616,101
"102",148742475,102
"103",149182904,103
"104",149600183,104
"105",149355450,105
"106",148891052,106
"107",151640218,107
"108",152459850,108
"109",149229367,109
"110",148935394,110
"111",149552824,111
"112",151577606,112
"113",159596332,113
"114",150054619,114
"115",150038998,115
"116",149283321,116
"117",149283321,117
"118",148694856,118
"119",149222888,119
"120",149222888,120
"121",150165707,121
"122",151187615,122
"123",149087827,123
"124",149087827,124
"125",149446181,125
"126",150545366,126
"127",150545366,127
"128",150295673,128
"129",149646314,129
"130",149865317,130
"131",154443790,131
"132",149825245,132
"133",150631946,133
"134",152311339,134
"135",148972588,135
"136",154839088,136
"137",150068231,137
"138",148701980,138
"139",149078624,139
"140",149078624,140
"141",149303191,141
"142",150532823,142
"143",150737829,143
"144",150660902,144
"145",151191495,145
"146",150640705,146
"147",149475379,147
"148",148744562,148
"149",148744562,149
"150",148707651,150
"151",149992242,151
"152",150036355,152
"153",148966572,153
"154",154878457,154
"155",149414640,155
"156",149078337,156
"157",148689663,157
"158",152723937,158
"159",151667215,159
"160",149313857,160
"161",148755961,161
"162",150047420,162
"163",149159623,163
"164",148721425,164
"165",157291867,165
"166",149001927,166
"167",158997278,167
"168",153852348,168
"169",150313061,169
"170",149639667,170
"171",149104487,171
"172",149049742,172
"173",150445499,173
"174",154988088,174
"175",150364201,175
"176",151960734,176
"177",153194616,177
"178",150104938,178
"179",151653901,179
"180",150147825,180
"181",151800458,181
"182",150882292,182
"183",153695648,183
"184",148713405,184
"185",155857838,185
"186",153998540,186
"187",150261596,187
"188",148801263,188
"189",153418830,189
"190",153030560,190
"191",149444403,191
"192",151626737,192
"193",150238519,193
"194",149970318,194
"195",149574789,195
"196",150717072,196
"197",148796194,197
"198",148968834,198
"199",148853610,199
"200",149402835,200
"201",151478634,201
"202",151495087,202
"203",153693952,203
"204",158023404,204
"205",150542264,205
"206",149383384,206
"207",150562886,207
"208",146540140,208
"209",148736418,209
"210",149401779,210
"211",149266145,211
"212",149579777,212
"213",150763309,213
"214",151045283,214
"215",149073970,215
"216",151833467,216
"217",152442837,217
"218",149092971,218
"219",148980990,219
"220",149833242,220
"221",148830398,221
"222",148647278,222
"223",150595581,223
"224",148480669,224
"225",148480669,225
"226",148754545,226
"227",148778602,227
"228",151447713,228
"229",151704670,229
"230",149422799,230
"231",154202335,231
"232",149446656,232
"233",147689781,233
"234",150926466,234
"235",150490024,235
"236",154467637,236
"237",152188002,237
"238",150264062,238
"239",147984622,239
"240",153557463,240
"241",149733225,241
"242",149331622,242
"243",149570466,243
"244",152082539,244
"245",149868470,245
"246",152102273,246
"247",154488128,247
"248",151832979,248
"249",150524778,249
"250",148722292,250
"251",148722292,251
"252",148117666,252
"253",151956203,253
"254",153288922,254
"255",153288922,255
"256",150713375,256
"257",149878197,257
"258",152278734,258
"259",148256604,259
"260",148256604,260
"261",150585407,261
"262",151098468,262
"263",150978730,263
"264",151563430,264
"265",148918191,265
"266",149588567,266
"267",151142599,267
"268",150700624,268
"269",148916919,269
"270",149702502,270
"271",148730993,271
"272",157313332,272
"273",154210537,273
"274",152022987,274
"275",148921315,275
"276",148921315,276
"277",149047041,277
"278",155983890,278
"279",149965354,279
"280",149664991,280
"281",152069305,281
"282",150727485,282
"283",148580554,283
"284",151019002,284
"285",151285309,285
"286",149187613,286
"287",152621405,287
"288",147805880,288
"289",149629479,289
"290",149629479,290
"291",149664338,291
"292",149771630,292
"293",151758178,293
"294",157772203,294
"295",148416297,295
"296",149258098,296
"297",152550981,297
"298",150880815,298
"299",152592262,299
"300",149698212,300
"301",149698212,301
"302",149698212,302
"303",148139492,303
"304",149656172,304
"305",150502521,305
"306",151705273,306
"307",148981285,307
"308",150403611,308
"309",148796582,309
"310",148988440,310
"311",150722261,311
"312",149026456,312
"313",152010357,313
"314",150504867,314
"315",149119944,315
"316",149022946,316
"317",152372156,317
"318",148729288,318
"319",148729288,319
"320",149544843,320
"321",152998764,321
"322",148701782,322
"323",148350286,323
"324",152493423,324
"325",151708492,325
"326",150819626,326
"327",149363837,327
"328",149178894,328
"329",155866190,329
"330",150702849,330
"331",148707015,331
"332",155273771,332
"333",148566828,333
"334",148951393,334
"335",150689871,335
"336",148948088,336
"337",148948088,337
"338",150048174,338
"339",149941294,339
"340",149941294,340
"341",151806442,341
"342",151603373,342
"343",150571272,343
"344",149453589,344
"345",152846917,345
"346",148813344,346
"347",148813344,347
"348",149000007,348
"349",149876209,349
"350",150358634,350
"351",150071032,351
"352",148742566,352
"353",148941309,353
"354",148888778,354
"355",148888778,355
"356",148888778,356
"357",149939058,357
"358",149227499,358
"359",149627299,359
"360",158374705,360
"361",148961671,361
"362",149079488,362
"363",149940413,363
"364",159580881,364
"365",148969649,365
"366",150130944,366
"367",151972152,367
"368",148946807,368
"369",148946807,369
"370",150698229,370
"371",148947407,371
"372",148347141,372
"373",149364917,373
"374",149081086,374
"375",149181162,375
"376",148576857,376
"377",149452338,377
"378",151377553,378
"379",148788995,379
"380",152461175,380
"381",151221145,381
"382",151180496,382
"383",149076441,383
"384",148700842,384
"385",148949764,385
"386",148305458,386
