"","costs","x"
"1",150316351,1
"2",148692465,2
"3",149836171,3
"4",150494061,4
"5",148825819,5
"6",156755748,6
"7",149814650,7
"8",152430285,8
"9",148680890,9
"10",148730908,10
"11",149238427,11
"12",151945293,12
"13",150080049,13
"14",150331299,14
"15",149372675,15
"16",149598720,16
"17",148760497,17
"18",148731998,18
"19",148773722,19
"20",152360020,20
"21",148648433,21
"22",148921317,22
"23",148921317,23
"24",150368999,24
"25",150962899,25
"26",149040795,26
"27",149067410,27
"28",150353309,28
"29",148711907,29
"30",149480393,30
"31",149248517,31
"32",149248517,32
"33",148742493,33
"34",148993954,34
"35",148968807,35
"36",148986045,36
"37",152639489,37
"38",148999940,38
"39",149018289,39
"40",150658298,40
"41",150181067,41
"42",149204030,42
"43",149483877,43
"44",150120578,44
"45",149911840,45
"46",150643494,46
"47",150122888,47
"48",149067046,48
"49",149542047,49
"50",148763742,50
"51",147929553,51
"52",150690018,52
"53",149010633,53
"54",148671779,54
"55",149388127,55
"56",148703218,56
"57",150201894,57
"58",148857433,58
"59",158193519,59
"60",148682783,60
"61",153776389,61
"62",150391873,62
"63",150297608,63
"64",149370432,64
"65",148698831,65
"66",149173664,66
"67",148884032,67
"68",149847807,68
"69",151028098,69
"70",148740371,70
"71",150277762,71
"72",149604041,72
"73",148436549,73
"74",148975162,74
"75",149185638,75
"76",152291513,76
"77",148728669,77
"78",148945681,78
"79",151851278,79
"80",151881159,80
"81",148698611,81
"82",151993309,82
"83",149076237,83
"84",148961830,84
"85",149944621,85
"86",154176109,86
"87",149031606,87
"88",149082905,88
"89",149057288,89
"90",154515802,90
"91",148803179,91
"92",148610947,92
"93",148987252,93
"94",148989607,94
"95",151480566,95
"96",149119520,96
"97",148762973,97
"98",148934940,98
"99",152286444,99
"100",149411692,100
"101",148691419,101
"102",148728897,102
"103",148782847,103
"104",149582286,104
"105",148779205,105
"106",149741575,106
"107",149104733,107
"108",148951048,108
"109",149819122,109
"110",148733151,110
"111",148638901,111
"112",148949746,112
"113",149409432,113
"114",149710991,114
"115",150442623,115
"116",148847953,116
"117",148755018,117
"118",149548762,118
"119",149070028,119
"120",148844064,120
"121",149362730,121
"122",151761205,122
"123",149665248,123
"124",149609940,124
"125",150325305,125
"126",150668037,126
"127",154791387,127
"128",150648472,128
"129",150979099,129
"130",151224410,130
"131",150402099,131
"132",151252765,132
"133",148804009,133
"134",148876428,134
"135",149550379,135
"136",149450238,136
"137",148797289,137
"138",148768151,138
"139",149353230,139
"140",151422684,140
"141",149280391,141
"142",148833690,142
