"","bestCostByT","temperatures"
"1",149480393,46585041.7
"2",148682783,43789939.198
"3",154515802,41162542.84612
"4",148844064,38692790.2753528
"5",148872934,36371222.8588316
"6",151077454,34188949.4873017
"7",150830256,32137612.5180636
"8",148946207,30209355.7669798
"9",149230238,28396794.420961
"10",150401000,26692986.7557033
"11",151677740,25091407.5503611
"12",150089371,23585923.0973395
"13",149483273,22170767.7114991
"14",150019223,20840521.6488091
"15",148990867,19590090.3498806
"16",149058198,18414684.9288878
"17",148871296,17309803.8331545
"18",149386122,16271215.6031652
"19",148765753,15294942.6669753
"20",150311847,14377246.1069568
"21",149682807,13514611.3405394
"22",148766540,12703734.660107
"23",148676230,11941510.5805006
"24",148779357,11225019.9456706
"25",156805593,10551518.7489303
"26",150193060,9918427.62399451
"27",150903371,9323321.96655484
"28",148694346,8763922.64856154
"29",149337468,8238087.28964785
"30",149240983,7743802.05226898
"31",148686663,7279173.92913284
"32",149033880,6842423.49338487
"33",149420688,6431878.08378178
"34",148776707,6045965.39875487
"35",149195159,5683207.47482958
"36",149097533,5342215.0263398
"37",149179455,5021682.12475941
"38",148803587,4720381.19727385
"39",148946715,4437158.32543742
"40",149415650,4170928.82591117
"41",148749388,3920673.0963565
"42",148706542,3685432.71057511
"43",148872015,3464306.7479406
"44",148782067,3256448.34306417
"45",148779714,3061061.44248032
"46",148712607,2877397.7559315
"47",148690998,2704753.89057561
"48",153693028,2542468.65714107
"49",148713999,2389920.53771261
"50",148986286,2246525.30544985
"51",149311107,2111733.78712286
"52",148722422,1985029.75989549
"53",147433093,1865927.97430176
"54",149806659,1753972.29584365
"55",149162518,1648733.95809303
"56",150291843,1549809.92060745
"57",148715845,1456821.325371
"58",148679551,1369412.04584874
"59",151224682,1287247.32309782
"60",148679900,1210012.48371195
"61",149304177,1137411.73468923
"62",149641465,1069167.03060788
"63",150592827,1005017.00877141
"64",147613715,944715.988245122
"65",148799217,888033.028950414
"66",148971909,834751.047213389
"67",148810515,784665.984380586
"68",150139269,737586.025317751
"69",146676263,693330.863798686
"70",146676263,651731.011970764
"71",147774236,612627.151252519
"72",148687841,575869.522177367
"73",149101350,541317.350846725
"74",148642245,508838.309795922
"75",148880764,478308.011208166
"76",148360561,449609.530535676
"77",148808319,422632.958703536
"78",148916682,397274.981181324
"79",148675888,373438.482310444
"80",148675665,351032.173371818
"81",148675965,329970.242969509
"82",148332515,310172.028391338
"83",149306381,291561.706687858
"84",149000492,274068.004286586
"85",148846820,257623.924029391
"86",149734596,242166.488587628
"87",146220813,227636.49927237
"88",146220813,213978.309316028
"89",146220813,201139.610757066
"90",146220813,189071.234111642
"91",146220813,177726.960064944
"92",146220813,167063.342461047
"93",146220813,157039.541913384
"94",146220813,147617.169398581
"95",146220813,138760.139234666
"96",146220813,130434.530880586
"97",146220813,122608.459027751
"98",146220813,115251.951486086
"99",146220813,108336.834396921
"100",146220813,101836.624333106
"101",146220813,95726.4268731192
"102",146220813,89982.841260732
"103",146220813,84583.8707850881
"104",146220813,79508.8385379828
"105",146220813,74738.3082257038
"106",146220813,70254.0097321616
"107",146220813,66038.7691482319
"108",146220813,62076.442999338
"109",146220813,58351.8564193777
"110",146220813,54850.745034215
"111",146220813,51559.7003321621
"112",146220813,48466.1183122324
"113",146220813,45558.1512134985
"114",146220813,42824.6621406885
"115",146220813,40255.1824122472
"116",146220813,37839.8714675124
"117",146220813,35569.4791794617
"118",146220813,33435.310428694
"119",146220813,31429.1918029723
"120",146220813,29543.440294794
"121",146220813,27770.8338771063
"122",146220813,26104.58384448
"123",146220813,24538.3088138112
"124",146220813,23066.0102849825
"125",146220813,21682.0496678835
"126",146220813,20381.1266878105
"127",146220813,19158.2590865419
"128",146220813,18008.7635413494
"129",146220813,16928.2377288684
"130",146220813,15912.5434651363
"131",146220813,14957.7908572281
"132",146220813,14060.3234057944
"133",146220813,13216.7040014468
"134",146220813,12423.70176136
"135",146220813,11678.2796556784
"136",146220813,10977.5828763377
"137",146220813,10318.9279037574
"138",146220813,9699.79222953196
"139",146220813,9117.80469576004
"140",146220813,8570.73641401444
"141",146220813,8056.49222917357
"142",146220813,7573.10269542315
"143",146220813,7118.71653369777
"144",146220813,6691.5935416759
"145",146220813,6290.09792917534
"146",146220813,5912.69205342482
"147",146220813,5557.93053021933
"148",146220813,5224.45469840617
"149",146220813,4910.9874165018
"150",146220813,4616.32817151169
"151",146220813,4339.34848122099
"152",146220813,4078.98757234773
"153",146220813,3834.24831800687
"154",146220813,3604.19341892646
"155",146220813,3387.94181379087
"156",146220813,3184.66530496342
"157",146220813,2993.58538666561
"158",146220813,2813.97026346567
"159",146220813,2645.13204765773
"160",146220813,2486.42412479827
"161",146220813,2337.23867731037
"162",146220813,2197.00435667175
"163",146220813,2065.18409527145
"164",146220813,1941.27304955516
"165",146220813,1824.79666658185
"166",146220813,1715.30886658694
"167",146220813,1612.39033459172
"168",146220813,1515.64691451622
"169",146220813,1424.70809964524
"170",146220813,1339.22561366653
"171",146220813,1258.87207684654
"172",146220813,1183.33975223575
"173",146220813,1112.3393671016
"174",146220813,1045.5990050755
"175",146220813,982.863064770975
