"","bestCostByT","temperatures"
"1",197198079,14718890.835
"2",197541565,14571701.92665
"3",198316956,14425984.9073835
"4",196646253,14281725.0583097
"5",198274203,14138907.8077266
"6",201969660,13997518.7296493
"7",197707222,13857543.5423528
"8",197080350,13718968.1069293
"9",199405212,13581778.42586
"10",198294914,13445960.6416014
"11",197741779,13311501.0351854
"12",196995899,13178386.0248335
"13",196588256,13046602.1645852
"14",197436007,12916136.1429393
"15",196581183,12786974.7815099
"16",196794564,12659105.0336948
"17",196738208,12532513.9833579
"18",195229811,12407188.8435243
"19",198023418,12283116.9550891
"20",197136588,12160285.7855382
"21",196665298,12038682.9276828
"22",196968702,11918296.098406
"23",198408776,11799113.1374219
"24",197419764,11681122.0060477
"25",199829589,11564310.7859872
"26",205213686,11448667.6781273
"27",198475505,11334181.0013461
"28",200325672,11220839.1913326
"29",197085755,11108630.7994193
"30",199489467,10997544.4914251
"31",196607501,10887569.0465108
"32",196629828,10778693.3560457
"33",196790240,10670906.4224853
"34",199054353,10564197.3582604
"35",199957924,10458555.3846778
"36",195261763,10353969.830831
"37",197599763,10250430.1325227
"38",200856685,10147925.8311975
"39",198127794,10046446.5728855
"40",195527110,9945982.10715667
"41",199459905,9846522.2860851
"42",198805888,9748057.06322425
"43",196536111,9650576.49259201
"44",198756405,9554070.72766609
"45",195268951,9458530.02038943
"46",195571530,9363944.72018553
"47",202581275,9270305.27298368
"48",199766043,9177602.22025384
"49",196748119,9085826.1980513
"50",196661744,8994967.93607079
"51",196877141,8905018.25671008
"52",199756148,8815968.07414298
"53",196621482,8727808.39340155
"54",198331511,8640530.30946754
"55",198555100,8554125.00637286
"56",196853518,8468583.75630913
"57",202372355,8383897.91874604
"58",200777192,8300058.93955858
"59",198002014,8217058.35016299
"60",196966214,8134887.76666136
"61",197161969,8053538.88899475
"62",196650166,7973003.5001048
"63",197093881,7893273.46510375
"64",196879293,7814340.73045272
"65",199469837,7736197.32314819
"66",196776308,7658835.34991671
"67",197126489,7582246.99641754
"68",196882615,7506424.52645336
"69",196799618,7431360.28118883
"70",197902533,7357046.67837694
"71",197174030,7283476.21159317
"72",198743019,7210641.44947724
"73",197180980,7138535.03498247
"74",196786728,7067149.68463264
"75",200650708,6996478.18778632
"76",200279803,6926513.40590845
"77",197478553,6857248.27184937
"78",198242407,6788675.78913087
"79",196618391,6720789.03123957
"80",197068192,6653581.14092717
"81",197076036,6587045.3295179
"82",198198960,6521174.87622272
"83",199192388,6455963.12746049
"84",197288790,6391403.49618589
"85",199547056,6327489.46122403
"86",197022026,6264214.56661179
"87",197396035,6201572.42094567
"88",197199612,6139556.69673621
"89",196587893,6078161.12976885
"90",196984414,6017379.51847116
"91",198261004,5957205.72328645
"92",197327918,5897633.66605359
"93",195632457,5838657.32939305
"94",197416166,5780270.75609912
"95",197458682,5722468.04853813
"96",197722495,5665243.36805275
"97",196619386,5608590.93437222
"98",197200346,5552505.0250285
"99",200866169,5496979.97477821
"100",198046353,5442010.17503043
"101",197683636,5387590.07328012
"102",196942454,5333714.17254732
"103",196725275,5280377.03082185
"104",197310025,5227573.26051363
"105",198816960,5175297.5279085
"106",196685416,5123544.55262941
"107",198163738,5072309.10710312
"108",201594960,5021586.01603208
"109",196688162,4971370.15587176
"110",201942114,4921656.45431305
"111",200667290,4872439.88976992
"112",198996894,4823715.49087222
"113",196733432,4775478.33596349
"114",199339424,4727723.55260386
"115",197370196,4680446.31707782
"116",196662378,4633641.85390704
"117",196820052,4587305.43536797
"118",196082111,4541432.38101429
"119",197787025,4496018.05720415
"120",196445676,4451057.87663211
"121",196728834,4406547.29786579
"122",197576581,4362481.82488713
"123",196658121,4318857.00663826
"124",196423553,4275668.43657188
"125",197063790,4232911.75220616
"126",197847733,4190582.6346841
"127",198299860,4148676.80833725
"128",197856222,4107190.04025388
"129",196608541,4066118.13985134
"130",197672784,4025456.95845283
"131",200772293,3985202.3888683
"132",196935868,3945350.36497962
"133",200580314,3905896.86132982
"134",197597911,3866837.89271652
"135",196961357,3828169.51378936
"136",199162957,3789887.81865146
"137",196676597,3751988.94046495
"138",201956167,3714469.0510603
"139",197040998,3677324.3605497
"140",197714792,3640551.1169442
"141",196836790,3604145.60577476
"142",196761807,3568104.14971701
"143",196782141,3532423.10821984
"144",196214110,3497098.87713764
"145",197834997,3462127.88836627
"146",197087108,3427506.6094826
"147",196760590,3393231.54338778
"148",197194622,3359299.2279539
"149",197956180,3325706.23567436
"150",199316877,3292449.17331762
"151",201525664,3259524.68158444
"152",198691635,3226929.4347686
"153",197256058,3194660.14042091
"154",202292916,3162713.5390167
"155",197122462,3131086.40362653
"156",197004340,3099775.53959027
"157",201786755,3068777.78419437
"158",197025087,3038090.00635242
"159",197908158,3007709.1062889
"160",197070356,2977632.01522601
"161",198983683,2947855.69507375
"162",199643607,2918377.13812301
"163",196639110,2889193.36674178
"164",196213309,2860301.43307436
"165",201047621,2831698.41874362
"166",197706337,2803381.43455618
"167",197239322,2775347.62021062
"168",193497651,2747594.14400852
"169",197289123,2720118.20256843
"170",197031622,2692917.02054275
"171",197154374,2665987.85033732
"172",197969769,2639327.97183395
"173",196635311,2612934.69211561
"174",198255147,2586805.34519445
"175",196535150,2560937.29174251
"176",196624071,2535327.91882508
"177",196626943,2509974.63963683
"178",196416620,2484874.89324046
"179",197467211,2460026.14430806
"180",199403427,2435425.88286498
"181",197215887,2411071.62403633
"182",197039020,2386960.90779596
"183",196305155,2363091.298718
"184",197113909,2339460.38573082
"185",199751476,2316065.78187352
"186",197106266,2292905.12405478
"187",197720152,2269976.07281423
"188",196741303,2247276.31208609
"189",196792117,2224803.54896523
"190",197145467,2202555.51347558
"191",199341004,2180529.95834082
"192",196849113,2158724.65875741
"193",196957572,2137137.41216984
"194",196817192,2115766.03804814
"195",197211021,2094608.37766766
"196",197895233,2073662.29389098
"197",196556233,2052925.67095207
"198",197759884,2032396.41424255
"199",197076582,2012072.45010013
"200",197200069,1991951.72559913
"201",197123419,1972032.20834313
"202",196533797,1952311.8862597
"203",196592926,1932788.76739711
"204",196678950,1913460.87972313
"205",196604758,1894326.2709259
"206",196997478,1875383.00821664
"207",196779543,1856629.17813448
"208",196700895,1838062.88635313
"209",198103128,1819682.2574896
"210",199323588,1801485.43491471
"211",197125383,1783470.58056556
"212",196482602,1765635.8747599
"213",196563893,1747979.5160123
"214",197556012,1730499.72085218
"215",195963735,1713194.72364366
"216",196389898,1696062.77640722
"217",197256267,1679102.14864315
"218",198079091,1662311.12715672
"219",199431470,1645688.01588515
"220",196648596,1629231.1357263
"221",193815522,1612938.82436904
"222",198290508,1596809.43612535
"223",197944044,1580841.34176409
"224",195890724,1565032.92834645
"225",196258322,1549382.59906299
"226",197074182,1533888.77307236
"227",197109762,1518549.88534163
"228",196666326,1503364.38648822
"229",197670516,1488330.74262334
"230",196732706,1473447.4351971
"231",196688036,1458712.96084513
"232",196855631,1444125.83123668
"233",198730209,1429684.57292431
"234",198086923,1415387.72719507
"235",196613972,1401233.84992312
"236",193784406,1387221.51142389
"237",197491678,1373349.29630965
"238",195007158,1359615.80334655
"239",196813998,1346019.64531309
"240",196881448,1332559.44885996
"241",196640006,1319233.85437136
"242",196847474,1306041.51582764
"243",197048052,1292981.10066937
"244",196631347,1280051.28966267
"245",199099888,1267250.77676605
"246",197024046,1254578.26899839
"247",198374237,1242032.4863084
"248",197072527,1229612.16144532
"249",197802682,1217316.03983086
"250",196911761,1205142.87943256
"251",198376914,1193091.45063823
"252",196670906,1181160.53613185
"253",197647429,1169348.93077053
"254",196650640,1157655.44146282
"255",197333890,1146078.8870482
"256",196693064,1134618.09817771
"257",196649818,1123271.91719594
"258",196376675,1112039.19802398
"259",197508351,1100918.80604374
"260",198514217,1089909.6179833
"261",196766664,1079010.52180347
"262",196727968,1068220.41658543
"263",193790373,1057538.21241958
"264",193790373,1046962.83029538
"265",193790373,1036493.20199243
"266",193790373,1026128.2699725
"267",197108742,1015866.98727278
"268",196864413,1005708.31740005
"269",197320729,995651.234226051
"270",196592088,985694.72188379
"271",195354414,975837.774664952
"272",197664441,966079.396918303
"273",197628053,956418.60294912
"274",196940288,946854.416919629
"275",196915531,937385.872750432
"276",196526038,928012.014022928
"277",196617590,918731.893882699
"278",194039708,909544.574943872
"279",194039708,900449.129194433
"280",197069178,891444.637902489
"281",197961204,882530.191523464
"282",196325568,873704.889608229
"283",196895888,864967.840712147
"284",196987728,856318.162305025
"285",196859198,847754.980681975
"286",196785560,839277.430875155
"287",197166132,830884.656566404
"288",196910752,822575.81000074
"289",196478773,814350.051900732
"290",196765094,806206.551381725
"291",196967841,798144.485867908
"292",196074424,790163.041009229
"293",196659866,782261.410599136
"294",197231123,774438.796493145
"295",196912519,766694.408528214
"296",197053680,759027.464442931
"297",196645705,751437.189798502
"298",195958779,743922.817900517
"299",196841406,736483.589721512
"300",194815273,729118.753824297
"301",194815273,721827.566286054
"302",195756804,714609.290623193
"303",196649818,707463.197716961
"304",194061152,700388.565739791
"305",197595430,693384.680082394
"306",196775830,686450.83328157
"307",196466379,679586.324948754
"308",196971561,672790.461699266
"309",196879413,666062.557082274
"310",196652766,659401.931511451
"311",196682223,652807.912196336
"312",197202168,646279.833074373
"313",194486770,639817.034743629
"314",194486770,633418.864396193
"315",197136734,627084.675752231
"316",196577130,620813.828994709
"317",196542722,614605.690704762
"318",196234428,608459.633797714
"319",195493086,602375.037459737
"320",198082834,596351.28708514
"321",196963291,590387.774214288
"322",196256459,584483.896472145
"323",197535122,578639.057507424
"324",196006206,572852.66693235
"325",196493390,567124.140263026
"326",196661407,561452.898860396
"327",196703049,555838.369871792
"328",193956878,550279.986173074
"329",193956878,544777.186311343
"330",193956878,539329.41444823
"331",193956878,533936.120303748
"332",193956878,528596.75910071
"333",193956878,523310.791509703
"334",193956878,518077.683594606
"335",193956878,512896.90675866
"336",193956878,507767.937691073
"337",193956878,502690.258314163
"338",193956878,497663.355731021
"339",193956878,492686.722173711
"340",193956878,487759.854951974
"341",193956878,482882.256402454
"342",193956878,478053.433838429
"343",193956878,473272.899500045
"344",193956878,468540.170505045
"345",194956725,463854.768799994
"346",194956725,459216.221111994
"347",194956725,454624.058900874
"348",196024145,450077.818311866
"349",195498891,445577.040128747
"350",195498891,441121.269727459
"351",194873998,436710.057030185
"352",194883199,432342.956459883
"353",194883199,428019.526895284
