"","costs","x"
"1",148685312,1
"2",148687770,2
"3",149596016,3
"4",150048687,4
"5",150048687,5
"6",149559538,6
"7",151314034,7
"8",149232020,8
"9",149232020,9
"10",148748709,10
"11",148748709,11
"12",148684121,12
"13",148703341,13
"14",149334512,14
"15",149334512,15
"16",149541841,16
"17",149561252,17
"18",149561252,18
"19",149561252,19
"20",148723877,20
"21",148723877,21
"22",148703046,22
"23",149639370,23
"24",149299422,24
"25",149576485,25
"26",148860622,26
"27",148860622,27
"28",148847775,28
"29",148788466,29
"30",149375227,30
"31",149058090,31
"32",148788704,32
"33",148788704,33
"34",149250930,34
"35",149250930,35
"36",149250930,36
"37",149118289,37
"38",148733955,38
"39",148733955,39
"40",148733955,40
"41",148733955,41
"42",148840508,42
"43",148840508,43
"44",148650339,44
"45",148650339,45
"46",148650339,46
"47",148650339,47
"48",148632796,48
"49",149720974,49
"50",149577596,50
"51",149577596,51
"52",149045953,52
"53",149206811,53
"54",149459319,54
"55",148732417,55
"56",148732417,56
"57",148734938,57
"58",148734938,58
"59",148743194,59
"60",148743194,60
"61",148743194,61
"62",148902722,62
"63",148803705,63
"64",148803705,64
"65",148793508,65
"66",148978605,66
"67",148978605,67
"68",148596329,68
"69",148596329,69
"70",148596329,70
"71",148789762,71
"72",149010870,72
"73",148990809,73
"74",149606738,74
"75",149508284,75
"76",149412153,76
"77",149412153,77
"78",149262801,78
"79",149530175,79
"80",149466860,80
"81",148849742,81
"82",148849742,82
"83",148849742,83
"84",148849742,84
"85",148849742,85
"86",148849742,86
"87",148849742,87
"88",148849742,88
"89",148844668,89
"90",148844668,90
"91",148844668,91
"92",149332131,92
"93",148753602,93
"94",148753602,94
"95",148753602,95
"96",148753602,96
"97",148753602,97
"98",148753602,98
"99",149105651,99
"100",148763292,100
"101",148915290,101
"102",148915290,102
"103",148915290,103
"104",148772414,104
"105",148624941,105
"106",148624941,106
"107",148624941,107
"108",148624941,108
"109",148809783,109
"110",149050039,110
"111",149050039,111
"112",149309370,112
"113",151983626,113
"114",148483668,114
"115",148483668,115
"116",148785315,116
"117",148802216,117
"118",148862417,118
"119",148876830,119
"120",149695020,120
"121",148997646,121
"122",148997646,122
"123",148914965,123
"124",148914965,124
"125",148698959,125
"126",148698959,126
"127",149383293,127
"128",148861336,128
"129",148684595,129
"130",148684595,130
"131",148684595,131
"132",148684595,132
"133",148785047,133
"134",148801327,134
"135",148766342,135
"136",148766342,136
"137",148766342,137
"138",148766342,138
"139",148749202,139
"140",148749202,140
"141",148846398,141
"142",148846398,142
"143",148846398,143
"144",148746673,144
"145",148746673,145
"146",148746673,146
"147",148746673,147
"148",148746673,148
"149",148853225,149
"150",148745408,150
"151",148745408,151
"152",148698339,152
"153",148808523,153
"154",148808523,154
"155",148763825,155
"156",148763825,156
"157",148900477,157
"158",148900477,158
"159",148693095,159
"160",148807623,160
"161",148708537,161
"162",148778139,162
"163",148700769,163
"164",148745815,164
"165",148745815,165
"166",148745815,166
"167",148745815,167
"168",148699413,168
"169",149208235,169
"170",149208235,170
"171",149208235,171
"172",148932243,172
"173",148932243,173
"174",148747861,174
"175",148898862,175
"176",148898862,176
"177",148737053,177
"178",148737053,178
"179",148737053,179
"180",148737053,180
"181",148737053,181
"182",148737053,182
"183",148705128,183
"184",148705128,184
"185",148705128,185
"186",148705128,186
"187",148932103,187
"188",148704872,188
"189",148704872,189
"190",148703277,190
"191",148703277,191
"192",148703277,192
"193",148703277,193
"194",148703277,194
"195",148703277,195
"196",148703277,196
"197",148622641,197
"198",148622641,198
"199",148622641,199
"200",148622641,200
"201",148622641,201
"202",148622641,202
"203",148713807,203
"204",148713807,204
"205",148713807,205
"206",148713807,206
"207",148747985,207
"208",148747985,208
"209",148628663,209
"210",148628663,210
"211",148628663,211
"212",148628663,212
"213",148628663,213
"214",148628663,214
"215",148914288,215
