"","costs","x"
"1",148675665,1
"2",148742219,2
"3",149085068,3
"4",148680890,4
"5",149146425,5
"6",149430959,6
"7",152374572,7
"8",149101083,8
"9",148758785,9
"10",148729531,10
"11",148729531,11
"12",149251603,12
"13",149539464,13
"14",148700163,14
"15",148700163,15
"16",149005260,16
"17",148731332,17
"18",148802701,18
"19",148802701,19
"20",148635134,20
"21",148635134,21
"22",149212697,22
"23",149212697,23
"24",149208607,24
"25",149075436,25
"26",149075436,26
"27",149027285,27
"28",149054482,28
"29",149054482,29
"30",149054482,30
"31",148770295,31
"32",148770295,32
"33",148682280,33
"34",148682280,34
"35",148682280,35
"36",148682280,36
"37",148772468,37
"38",148774111,38
"39",151025462,39
"40",148654810,40
"41",148654810,41
"42",148907998,42
"43",148907998,43
"44",148556771,44
"45",146549115,45
"46",146549115,46
"47",146549115,47
"48",146549115,48
"49",148328880,49
"50",148328880,50
"51",148328880,51
"52",148328880,52
"53",148796529,53
"54",151071140,54
"55",149406470,55
"56",148777446,56
"57",148790011,57
"58",149012788,58
"59",149012788,59
"60",148654773,60
"61",148654773,61
"62",148654773,62
"63",148654773,63
"64",148710125,64
"65",150780006,65
"66",149513311,66
"67",148815211,67
"68",148815211,68
"69",148934551,69
"70",148934551,70
"71",148934551,71
"72",148934551,72
"73",149436906,73
"74",148708703,74
"75",148778084,75
"76",148778084,76
"77",150728265,77
"78",148946388,78
"79",148946388,79
"80",148946388,80
"81",148946388,81
"82",148946388,82
"83",148708473,83
"84",148597557,84
"85",148912048,85
"86",148912048,86
"87",149060836,87
"88",147185373,88
"89",147185373,89
"90",147185373,90
"91",147185373,91
"92",147185373,92
"93",147185373,93
"94",147185373,94
"95",147185373,95
"96",148924203,96
"97",148924203,97
"98",148924203,98
"99",148924203,99
"100",148924203,100
"101",148924203,101
"102",149105117,102
"103",149105117,103
"104",149364204,104
"105",149234315,105
"106",149794057,106
"107",148688132,107
"108",149832662,108
"109",149832662,109
"110",148681841,110
"111",149750914,111
"112",149110006,112
"113",148836140,113
"114",148836140,114
"115",149404609,115
"116",149341009,116
"117",149803234,117
"118",149803234,118
"119",149817235,119
"120",148709199,120
"121",148709199,121
"122",148818090,122
"123",148818090,123
"124",148818090,124
"125",148698742,125
"126",149180215,126
"127",149546504,127
"128",148983186,128
"129",149034927,129
"130",148698714,130
"131",148844257,131
"132",148844257,132
"133",148736499,133
"134",148736499,134
"135",148877128,135
"136",148579770,136
"137",149264062,137
"138",148676773,138
"139",148722708,139
"140",148722708,140
"141",148722708,141
"142",148722708,142
"143",148722708,143
"144",149176039,144
"145",148711212,145
"146",148711212,146
"147",148724050,147
"148",149403489,148
"149",149233985,149
"150",148882417,150
"151",148882417,151
"152",148882417,152
"153",148814392,153
"154",149324643,154
"155",149525739,155
"156",148611427,156
