"","bestCostByT","temperatures"
"1",148722281,990000
"2",149208980,980100
"3",149483857,970299
"4",148780464,960596,01
"5",148857709,950990,0499
"6",148872278,941480,149401
"7",149477940,932065,34790699
"8",148688583,922744,69442792
"9",148654335,913517,247483641
"10",148815023,904382,075008804
"11",148727049,895338,254258716
"12",148763641,886384,871716129
"13",148691163,877521,022998968
"14",148808243,868745,812768978
"15",148788647,860058,354641288
"16",148868391,851457,771094875
"17",148694655,842943,193383927
"18",149237079,834513,761450087
"19",148837208,826168,623835587
"20",148659000,817906,937597231
"21",148701748,809727,868221259
"22",148679809,801630,589539046
"23",148721908,793614,283643655
"24",148746217,785678,140807219
"25",148929866,777821,359399147
"26",149020708,770043,145805155
"27",148691436,762342,714347104
"28",148742733,754719,287203633
"29",149627868,747172,094331596
"30",148704606,739700,37338828
"31",149151718,732303,369654397
"32",148681491,724980,335957853
"33",148743111,717730,532598275
"34",148696305,710553,227272292
"35",148891331,703447,694999569
"36",148675990,696413,218049573
"37",148828276,689449,085869078
"38",148836710,682554,595010387
"39",149460429,675729,049060283
"40",148902947,668971,75856968
"41",148685160,662282,040983983
"42",148694538,655659,220574143
"43",148740786,649102,628368402
"44",148823638,642611,602084718
"45",146932974,636185,486063871
"46",146932974,629823,631203232
"47",146932974,623525,3948912
"48",146154542,617290,140942288
"49",146154542,611117,239532865
"50",146154542,605006,067137536
"51",148373363,598956,006466161
"52",148711874,592966,446401499
"53",148316974,587036,781937484
"54",148894300,581166,414118109
"55",148796401,575354,749976928
"56",148241370,569601,202477159
"57",148778589,563905,190452387
"58",147615387,558266,138547863
"59",148652911,552683,477162385
"60",148705022,547156,642390761
"61",148756199,541685,075966853
"62",148855321,536268,225207185
"63",148880674,530905,542955113
"64",147507331,525596,487525562
"65",148731497,520340,522650306
"66",148920600,515137,117423803
"67",148835565,509985,746249565
"68",148994409,504885,888787069
"69",148678890,499837,029899199
"70",148387239,494838,659600207
"71",148790144,489890,273004205
"72",148702979,484991,370274163
"73",147483869,480141,456571421
"74",149055110,475340,042005707
"75",148794112,470586,64158565
"76",148572533,465880,775169793
"77",148843091,461221,967418095
"78",148843756,456609,747743914
"79",148773013,452043,650266475
"80",148683953,447523,21376381
"81",145719673,443047,981626172
"82",145719673,438617,501809911
"83",145719673,434231,326791811
"84",145719673,429889,013523893
"85",145719673,425590,123388654
"86",145719673,421334,222154768
"87",145719673,417120,87993322
"88",145719673,412949,671133888
"89",145719673,408820,174422549
"90",145719673,404731,972678324
"91",145719673,400684,65295154
"92",145719673,396677,806422025
"93",145719673,392711,028357805
"94",145719673,388783,918074227
"95",145719673,384896,078893484
"96",145719673,381047,118104549
"97",145719673,377236,646923504
"98",145719673,373464,280454269
"99",145719673,369729,637649726
"100",145719673,366032,341273229
"101",145719673,362372,017860497
"102",145719673,358748,297681892
"103",145719673,355160,814705073
"104",145719673,351609,206558022
"105",145719673,348093,114492442
"106",145719673,344612,183347517
"107",145719673,341166,061514042
"108",145719673,337754,400898902
"109",145719673,334376,856889913
"110",145719673,331033,088321014
"111",145719673,327722,757437804
"112",145719673,324445,529863426
"113",145719673,321201,074564791
"114",145719673,317989,063819143
"115",145719673,314809,173180952
"116",145719673,311661,081449142
"117",145719673,308544,470634651
"118",145719673,305459,025928305
"119",145719673,302404,435669022
"120",145719673,299380,391312331
"121",145719673,296386,587399208
"122",145719673,293422,721525216
"123",145719673,290488,494309964
"124",145719673,287583,609366864
"125",145719673,284707,773273195
"126",145719673,281860,695540463
"127",145719673,279042,088585059
"128",145719673,276251,667699208
"129",145719673,273489,151022216
"130",145719673,270754,259511994
"131",145719673,268046,716916874
"132",145719673,265366,249747705
"133",145719673,262712,587250228
"134",145719673,260085,461377726
"135",145719673,257484,606763949
"136",145719673,254909,760696309
"137",145719673,252360,663089346
"138",145719673,249837,056458453
"139",145719673,247338,685893868
"140",145719673,244865,299034929
"141",145719673,242416,64604458
"142",145719673,239992,479584134
"143",145719673,237592,554788293
"144",145719673,235216,62924041
"145",145719673,232864,462948006
"146",145719673,230535,818318526
"147",145719673,228230,460135341
"148",145719673,225948,155533987
"149",145719673,223688,673978647
"150",145719673,221451,787238861
"151",145719673,219237,269366472
"152",145719673,217044,896672808
"153",145719673,214874,447706079
"154",145719673,212725,703229019
"155",145719673,210598,446196729
"156",145719673,208492,461734761
"157",145719673,206407,537117414
"158",145719673,204343,461746239
"159",145719673,202300,027128777
"160",145719673,200277,026857489
"161",145719673,198274,256588914
"162",145719673,196291,514023025
"163",145719673,194328,598882795
"164",145719673,192385,312893967
"165",145719673,190461,459765027
"166",145719673,188556,845167377
"167",145719673,186671,276715703
"168",145719673,184804,563948546
"169",145719673,182956,518309061
"170",145719673,181126,95312597
"171",145719673,179315,683594711
"172",145719673,177522,526758763
"173",145719673,175747,301491176
"174",145719673,173989,828476264
"175",145719673,172249,930191501
"176",145719673,170527,430889586
"177",145719673,168822,15658069
"178",145719673,167133,935014884
"179",145719673,165462,595664735
"180",145719673,163807,969708087
"181",145719673,162169,890011007
"182",145719673,160548,191110896
"183",145719673,158942,709199787
"184",145719673,157353,28210779
"185",145719673,155779,749286712
"186",145719673,154221,951793845
"187",145719673,152679,732275906
"188",145719673,151152,934953147
"189",145719673,149641,405603616
"190",145719673,148144,991547579
"191",145719673,146663,541632104
"192",145719673,145196,906215783
"193",145719673,143744,937153625
"194",145719673,142307,487782088
"195",145719673,140884,412904268
"196",145719673,139475,568775225
"197",145719673,138080,813087473
"198",145719673,136700,004956598
"199",145719673,135333,004907032
"200",145719673,133979,674857962
"201",145719673,132639,878109382
"202",145719673,131313,479328288
"203",145719673,130000,344535005
"204",145719673,128700,341089655
"205",145719673,127413,337678759
"206",145719673,126139,204301971
"207",145719673,124877,812258951
"208",145719673,123629,034136362
"209",145719673,122392,743794998
"210",145719673,121168,816357048
"211",145719673,119957,128193478
"212",145719673,118757,556911543
"213",145719673,117569,981342428
"214",145719673,116394,281529003
"215",145719673,115230,338713713
"216",145719673,114078,035326576
"217",145719673,112937,25497331
"218",145719673,111807,882423577
"219",145719673,110689,803599342
"220",145719673,109582,905563348
"221",145719673,108487,076507715
"222",145719673,107402,205742637
"223",145719673,106328,183685211
"224",145719673,105264,901848359
"225",145719673,104212,252829875
"226",145719673,103170,130301577
"227",145719673,102138,428998561
"228",145719673,101117,044708575
"229",145719673,100105,87426149
"230",145719673,99104,8155188746
"231",145719673,98113,7673636859
"232",145719673,97132,629690049
"233",145719673,96161,3033931485
"234",145719673,95199,690359217
"235",145719673,94247,6934556249
"236",145719673,93305,2165210686
"237",145719673,92372,1643558579
"238",145719673,91448,4427122993
"239",145719673,90533,9582851763
"240",145719673,89628,6187023246
"241",145719673,88732,3325153013
"242",145719673,87845,0091901483
"243",145719673,86966,5590982468
"244",145719673,86096,8935072644
"245",145719673,85235,9245721917
"246",145719673,84383,5653264698
"247",145719673,83539,7296732051
"248",145719673,82704,332376473
"249",145719673,81877,2890527083
"250",145719673,81058,5161621812
"251",145719673,80247,9310005594
"252",145719673,79445,4516905538
"253",145719673,78650,9971736483
"254",145719673,77864,4872019118
"255",145719673,77085,8423298927
"256",145719673,76314,9839065938
"257",145719673,75551,8340675278
"258",145719673,74796,3157268525
"259",145719673,74048,352569584
