"","bestCostByT","temperatures"
"1",148789410,950000
"2",149825977,902500
"3",148641893,857375
"4",148748599,814506,25
"5",149240012,773780,9375
"6",148939545,735091,890625
"7",148668442,698337,29609375
"8",148751260,663420,431289062
"9",149195134,630249,409724609
"10",149089908,598736,939238379
"11",148689586,568800,09227646
"12",148456898,540360,087662637
"13",148774801,513342,083279505
"14",148830441,487674,97911553
"15",148681050,463291,230159753
"16",148787589,440126,668651765
"17",148745267,418120,335219177
"18",148673863,397214,318458218
"19",148651296,377353,602535307
"20",148701153,358485,922408542
"21",148910763,340561,626288115
"22",148778838,323533,544973709
"23",148793074,307356,867725024
"24",148680890,291989,024338772
"25",149006733,277389,573121834
"26",148682581,263520,094465742
"27",148947042,250344,089742455
"28",148789703,237826,885255332
"29",148032955,225935,540992566
"30",148723570,214638,763942937
"31",148725021,203906,82574579
"32",148693332,193711,484458501
"33",148704921,184025,910235576
"34",148609664,174824,614723797
"35",146873551,166083,383987607
"36",146873551,157779,214788227
"37",146873551,149890,254048815
"38",146873551,142395,741346375
"39",146873551,135275,954279056
"40",146873551,128512,156565103
"41",146873551,122086,548736848
"42",146873551,115982,221300006
"43",146873551,110183,110235005
"44",146873551,104673,954723255
"45",146873551,99440,2569870922
