"","bestCostByT","temperatures"
"1",148681700,990000
"2",148707964,980100
"3",150484583,970299
"4",148528940,960596,01
"5",148674448,950990,0499
"6",148746206,941480,149401
"7",148713625,932065,34790699
"8",148860435,922744,69442792
"9",148729553,913517,247483641
"10",148738883,904382,075008804
"11",148954068,895338,254258716
"12",149375967,886384,871716129
"13",149448619,877521,022998968
"14",148817176,868745,812768978
"15",149586515,860058,354641288
"16",148782299,851457,771094875
"17",148705176,842943,193383927
"18",148779437,834513,761450087
"19",149477725,826168,623835587
"20",148727002,817906,937597231
"21",148760703,809727,868221259
"22",149074481,801630,589539046
"23",149075644,793614,283643655
"24",148706530,785678,140807219
"25",148762021,777821,359399147
"26",148776974,770043,145805155
"27",148683058,762342,714347104
"28",149493211,754719,287203633
"29",148703277,747172,094331596
"30",148693845,739700,37338828
"31",148820534,732303,369654397
"32",147362454,724980,335957853
"33",148824791,717730,532598275
"34",146027244,710553,227272292
"35",148753113,703447,694999569
"36",149784916,696413,218049573
"37",148687761,689449,085869078
"38",148638075,682554,595010387
"39",148663401,675729,049060283
"40",149266990,668971,75856968
"41",149180566,662282,040983983
"42",148713124,655659,220574143
"43",148828554,649102,628368402
"44",148985035,642611,602084718
"45",148913314,636185,486063871
"46",148701796,629823,631203232
"47",148764027,623525,3948912
"48",148174383,617290,140942288
"49",148704370,611117,239532865
"50",148526088,605006,067137536
"51",148704652,598956,006466161
"52",149585908,592966,446401499
"53",148680950,587036,781937484
"54",148736760,581166,414118109
"55",148865553,575354,749976928
"56",148767540,569601,202477159
"57",149516230,563905,190452387
"58",148626857,558266,138547863
"59",149486749,552683,477162385
"60",148698514,547156,642390761
"61",148687609,541685,075966853
"62",149039605,536268,225207185
"63",148788669,530905,542955113
"64",149184840,525596,487525562
"65",148857330,520340,522650306
"66",148498523,515137,117423803
"67",148878383,509985,746249565
"68",148679897,504885,888787069
"69",149103847,499837,029899199
"70",148858597,494838,659600207
"71",149531903,489890,273004205
"72",148679025,484991,370274163
"73",148815616,480141,456571421
"74",148687891,475340,042005707
"75",148772958,470586,64158565
"76",148866161,465880,775169793
"77",149048346,461221,967418095
"78",148720349,456609,747743914
"79",148955555,452043,650266475
"80",148451838,447523,21376381
"81",148966477,443047,981626172
"82",149815920,438617,501809911
"83",146467503,434231,326791811
"84",146467503,429889,013523893
"85",146467503,425590,123388654
"86",146467503,421334,222154768
"87",148808214,417120,87993322
"88",148688840,412949,671133888
"89",147533813,408820,174422549
"90",147533813,404731,972678324
"91",147533813,400684,65295154
"92",147533813,396677,806422025
"93",147533813,392711,028357805
"94",147955665,388783,918074227
"95",148770266,384896,078893484
"96",148663083,381047,118104549
"97",149248120,377236,646923504
"98",148721645,373464,280454269
"99",148965355,369729,637649726
"100",148263209,366032,341273229
"101",148575116,362372,017860497
"102",148978393,358748,297681892
"103",148638527,355160,814705073
"104",148920380,351609,206558022
"105",148541344,348093,114492442
"106",148812960,344612,183347517
"107",148686489,341166,061514042
"108",148984786,337754,400898902
"109",145772554,334376,856889913
"110",145772554,331033,088321014
"111",145772554,327722,757437804
"112",145772554,324445,529863426
"113",145772554,321201,074564791
"114",145772554,317989,063819143
"115",145772554,314809,173180952
"116",145772554,311661,081449142
"117",145772554,308544,470634651
"118",145772554,305459,025928305
"119",145772554,302404,435669022
"120",145772554,299380,391312331
"121",145772554,296386,587399208
"122",145772554,293422,721525216
"123",145772554,290488,494309964
"124",145772554,287583,609366864
"125",145772554,284707,773273195
"126",145772554,281860,695540463
"127",145772554,279042,088585059
"128",145772554,276251,667699208
"129",145772554,273489,151022216
"130",145772554,270754,259511994
"131",145772554,268046,716916874
"132",145772554,265366,249747705
"133",145772554,262712,587250228
"134",145772554,260085,461377726
"135",145772554,257484,606763949
"136",145772554,254909,760696309
"137",145772554,252360,663089346
"138",145772554,249837,056458453
"139",145772554,247338,685893868
"140",145772554,244865,299034929
"141",145772554,242416,64604458
"142",145772554,239992,479584134
"143",145772554,237592,554788293
"144",145772554,235216,62924041
"145",145772554,232864,462948006
"146",145772554,230535,818318526
"147",145772554,228230,460135341
"148",145772554,225948,155533987
"149",145772554,223688,673978647
"150",145772554,221451,787238861
"151",145772554,219237,269366472
"152",145772554,217044,896672808
"153",145772554,214874,447706079
"154",145772554,212725,703229019
"155",145772554,210598,446196729
"156",145772554,208492,461734761
"157",145772554,206407,537117414
"158",145772554,204343,461746239
"159",145772554,202300,027128777
"160",145772554,200277,026857489
"161",145772554,198274,256588914
"162",145772554,196291,514023025
"163",145772554,194328,598882795
"164",145772554,192385,312893967
"165",145772554,190461,459765027
"166",145772554,188556,845167377
"167",145772554,186671,276715703
"168",145772554,184804,563948546
"169",145772554,182956,518309061
"170",145772554,181126,95312597
"171",145772554,179315,683594711
"172",145772554,177522,526758763
"173",145772554,175747,301491176
"174",145772554,173989,828476264
"175",145772554,172249,930191501
"176",145772554,170527,430889586
"177",145772554,168822,15658069
"178",145772554,167133,935014884
"179",145772554,165462,595664735
"180",145772554,163807,969708087
"181",145772554,162169,890011007
"182",145772554,160548,191110896
"183",145772554,158942,709199787
"184",145772554,157353,28210779
"185",145772554,155779,749286712
"186",145772554,154221,951793845
"187",145772554,152679,732275906
"188",145772554,151152,934953147
"189",145772554,149641,405603616
"190",145772554,148144,991547579
"191",145772554,146663,541632104
"192",145772554,145196,906215783
"193",145772554,143744,937153625
"194",145772554,142307,487782088
"195",145772554,140884,412904268
"196",145772554,139475,568775225
"197",145772554,138080,813087473
