"","bestCostByT","temperatures"
"1",6329735820,9e+05
"2",6329735820,810000
"3",6329735820,729000
"4",6329735820,656100
"5",6329735820,590490
"6",6329735820,531441
"7",6329735820,478296,9
"8",6329735820,430467,21
"9",6329735820,387420,489
"10",6329735820,348678,4401
"11",6329735820,313810,59609
"12",6329735820,282429,536481
"13",6329735820,254186,5828329
"14",6329735820,228767,92454961
"15",6329735820,205891,132094649
"16",6329735820,185302,018885184
"17",6329735820,166771,816996666
"18",6329735820,150094,635296999
"19",6329735820,135085,171767299
"20",6293005844,121576,654590569
"21",6293005844,109418,989131512
"22",6293005844,98477,0902183612
"23",6293005844,88629,381196525
"24",6293005844,79766,4430768725
"25",6293005844,71789,7987691853
"26",6293005844,64610,8188922668
"27",6293005844,58149,7370030401
"28",6293005844,52334,7633027361
"29",6293005844,47101,2869724625
"30",6293005844,42391,1582752162
"31",6293005844,38152,0424476946
"32",6293005844,34336,8382029251
"33",6293005844,30903,1543826326
"34",6293005844,27812,8389443694
"35",6293005844,25031,5550499324
"36",6293005844,22528,3995449392
"37",6293005844,20275,5595904453
"38",6293005844,18248,0036314007
"39",6266416221,16423,2032682607
"40",6266416221,14780,8829414346
"41",6266416221,13302,7946472911
"42",6266416221,11972,515182562
"43",6266416221,10775,2636643058
"44",6266416221,9697,73729787524
