"","costs","x"
"1",198432556,1
"2",197154233,2
"3",196973908,3
"4",196706382,4
"5",200624605,5
"6",198658101,6
"7",197618679,7
"8",197701556,8
"9",197483352,9
"10",196602512,10
"11",197013259,11
"12",196600037,12
"13",197849450,13
"14",196592757,14
"15",198647201,15
"16",197580090,16
"17",196714858,17
"18",196682117,18
"19",196636825,19
"20",196709826,20
"21",196574949,21
"22",196611706,22
"23",196663802,23
"24",197038893,24
"25",196563585,25
"26",196718452,26
"27",196682504,27
"28",199707886,28
"29",197915451,29
"30",200660329,30
"31",198140497,31
"32",197466821,32
"33",197332724,33
"34",197940050,34
"35",197894373,35
"36",198421604,36
"37",197424365,37
"38",196261686,38
"39",196900010,39
"40",197494186,40
"41",196744821,41
"42",197115117,42
"43",196632762,43
"44",198791575,44
"45",196596116,45
"46",196830442,46
"47",200053241,47
"48",196677671,48
"49",197662846,49
"50",197631890,50
"51",196832112,51
"52",197274765,52
"53",196593920,53
"54",196583160,54
"55",196738260,55
"56",199914594,56
"57",196686585,57
"58",197711425,58
"59",196802058,59
"60",196941210,60
"61",196772947,61
"62",197495718,62
"63",196649182,63
"64",196813859,64
"65",196608160,65
"66",196535713,66
"67",198180202,67
"68",197525919,68
"69",196464283,69
"70",198308207,70
"71",196899430,71
"72",196814334,72
"73",197360423,73
"74",196584872,74
"75",196584872,75
"76",196988929,76
"77",197565244,77
"78",199984762,78
"79",197659311,79
"80",197885209,80
"81",197309159,81
"82",196693297,82
"83",196663159,83
"84",200620429,84
"85",197293424,85
"86",196703304,86
"87",196709631,87
"88",196916452,88
"89",196706447,89
"90",200488450,90
"91",197234145,91
"92",196667087,92
"93",198702277,93
"94",198666858,94
"95",196716115,95
"96",196808911,96
"97",202696406,97
"98",198394164,98
"99",196596434,99
"100",202566359,100
"101",196589304,101
"102",198636739,102
"103",197051170,103
"104",197067127,104
"105",196797165,105
"106",198892606,106
"107",196677659,107
"108",200522822,108
"109",196925065,109
"110",196863302,110
"111",196647486,111
"112",198490072,112
"113",198340273,113
"114",199338244,114
"115",197814291,115
"116",200340011,116
"117",197712357,117
"118",196659235,118
"119",199045096,119
"120",201510595,120
"121",197441799,121
"122",196732282,122
"123",196794460,123
"124",199040842,124
"125",197735394,125
"126",197169333,126
"127",197169333,127
"128",201242793,128
"129",196602842,129
"130",197187846,130
"131",198132010,131
"132",197306195,132
"133",196650218,133
"134",203590050,134
"135",197279630,135
"136",196891697,136
"137",202652705,137
"138",199435295,138
"139",198134418,139
"140",197854535,140
"141",196604241,141
"142",196981933,142
"143",199442274,143
"144",198456988,144
"145",196637796,145
"146",199291998,146
"147",196915970,147
"148",196728103,148
"149",196610341,149
"150",199797641,150
"151",198202178,151
"152",197078799,152
"153",196585864,153
"154",196586698,154
"155",197004508,155
"156",196626616,156
"157",197959604,157
"158",196596044,158
"159",196604751,159
"160",196694727,160
"161",196694727,161
"162",198178118,162
"163",197874597,163
"164",196779507,164
"165",196749007,165
"166",197427653,166
"167",196593714,167
"168",196658907,168
"169",197317463,169
"170",196578445,170
"171",196868498,171
"172",200537333,172
"173",197773450,173
"174",196781901,174
"175",196593438,175
"176",195930900,176
"177",196679547,177
"178",197269696,178
"179",196612576,179
"180",197088911,180
"181",197016101,181
"182",196591569,182
"183",196617011,183
"184",196504222,184
"185",196819348,185
"186",196595212,186
"187",196595212,187
"188",196619569,188
"189",197240434,189
"190",197604696,190
"191",197519871,191
"192",196734648,192
"193",196746408,193
"194",196760479,194
"195",196924955,195
"196",199062345,196
"197",196200123,197
"198",196200123,198
"199",196893695,199
"200",196832717,200
"201",197443667,201
"202",198724076,202
"203",197002113,203
"204",196596103,204
"205",196646580,205
"206",196700234,206
"207",196353499,207
"208",197273942,208
"209",198774093,209
"210",197070807,210
"211",198549406,211
"212",196788702,212
"213",196681727,213
"214",198982118,214
"215",199505993,215
"216",197003712,216
"217",196610075,217
"218",197280770,218
"219",198687604,219
"220",196816590,220
"221",198646028,221
"222",196643173,222
"223",196799072,223
"224",196587624,224
"225",196208972,225
"226",196208972,226
"227",197261884,227
"228",197162517,228
"229",197208737,229
"230",197493373,230
"231",196595755,231
"232",198438262,232
"233",196661641,233
"234",197128473,234
"235",196599869,235
"236",196701883,236
"237",196845917,237
"238",198793270,238
"239",197825282,239
"240",196596660,240
"241",196754158,241
"242",198097939,242
"243",200086947,243
"244",197122748,244
"245",198178511,245
"246",196635850,246
"247",196712026,247
"248",199044097,248
"249",199025925,249
"250",196922193,250
"251",196787942,251
"252",196614056,252
"253",196871896,253
"254",196620529,254
"255",197213756,255
"256",196776348,256
"257",197014325,257
"258",196630745,258
"259",196891708,259
"260",196923128,260
"261",196890558,261
"262",196714803,262
"263",196591447,263
"264",196758177,264
"265",197073656,265
"266",197910140,266
"267",199913240,267
"268",196086991,268
"269",197838078,269
"270",197157718,270
"271",196630004,271
"272",196823954,272
"273",197442728,273
"274",198964974,274
"275",197622183,275
"276",196832106,276
"277",196709783,277
"278",200342069,278
"279",197118255,279
"280",195323042,280
"281",196604794,281
"282",198299334,282
"283",197820162,283
"284",196596434,284
"285",197253884,285
"286",196920851,286
"287",197166497,287
"288",196902739,288
"289",199162814,289
"290",198263674,290
"291",197211488,291
"292",196594673,292
"293",196592546,293
"294",196700480,294
"295",197225820,295
"296",197362965,296
"297",196879238,297
"298",196603366,298
"299",197060351,299
"300",197748040,300
"301",196593326,301
"302",198945957,302
"303",197321735,303
"304",196646903,304
"305",196665760,305
"306",196608774,306
"307",197360753,307
"308",197230314,308
"309",197011943,309
"310",196608526,310
"311",196829850,311
"312",198661043,312
"313",196674756,313
"314",197254140,314
"315",196621056,315
"316",196624506,316
"317",198034507,317
"318",196754281,318
"319",196837472,319
"320",196566935,320
"321",196638120,321
"322",196757648,322
"323",197981071,323
"324",196653242,324
"325",198357203,325
"326",197261232,326
"327",197675708,327
"328",196594997,328
"329",196786746,329
"330",196616558,330
"331",196601521,331
"332",196611397,332
"333",196655251,333
"334",196576886,334
"335",196576886,335
"336",196625246,336
"337",196604946,337
"338",197857820,338
"339",197509569,339
"340",197328886,340
"341",199072433,341
"342",197807985,342
"343",197412277,343
"344",197185455,344
"345",196571064,345
"346",197108097,346
"347",196536705,347
"348",197472964,348
"349",196821838,349
"350",197103804,350
"351",196829530,351
"352",197283281,352
"353",197183014,353
"354",196920808,354
"355",196769753,355
"356",198672516,356
"357",199865820,357
"358",196600226,358
"359",197144080,359
"360",196870234,360
"361",196933689,361
"362",196577278,362
"363",198143142,363
"364",196634787,364
"365",199654262,365
"366",196660975,366
"367",197014771,367
"368",197690531,368
"369",196620691,369
"370",196540016,370
"371",196745361,371
"372",196574153,372
"373",196574153,373
"374",196912716,374
"375",197745003,375
"376",197580180,376
"377",196780162,377
"378",197072287,378
"379",196714698,379
"380",196598886,380
"381",199581901,381
"382",197162389,382
"383",196727792,383
"384",196687771,384
"385",197037495,385
"386",200281397,386
"387",196813866,387
"388",196508144,388
"389",196587626,389
"390",200350252,390
"391",196642300,391
"392",197794488,392
"393",197936743,393
"394",197102391,394
"395",199039647,395
"396",197221198,396
"397",196500850,397
"398",196668324,398
"399",196638897,399
"400",196616866,400
"401",196653027,401
"402",197453934,402
"403",196673480,403
"404",196780981,404
"405",196730144,405
"406",197068086,406
"407",196710470,407
"408",197713939,408
"409",198702754,409
"410",196590473,410
"411",199975941,411
"412",197072508,412
"413",197493512,413
"414",197854039,414
"415",197227114,415
"416",197665798,416
