"","costs","x"
"1",196587626,1
"2",196587626,2
"3",196606818,3
"4",196606818,4
"5",196606818,5
"6",196807753,6
"7",197725573,7
"8",196740280,8
"9",196740280,9
"10",197997959,10
"11",197997959,11
"12",196684767,12
"13",196592661,13
"14",196609538,14
"15",196609538,15
"16",196603068,16
"17",197698594,17
"18",196949075,18
"19",196730940,19
"20",196730940,20
"21",196605012,21
"22",196605012,22
"23",197699368,23
"24",197367580,24
"25",197335490,25
"26",197973784,26
"27",197973784,27
"28",197973784,28
"29",198000719,29
"30",196794154,30
"31",196569551,31
"32",197694600,32
"33",196671352,33
"34",196795760,34
"35",196795760,35
"36",197514217,36
"37",197514217,37
"38",197514217,38
"39",196611722,39
"40",196611722,40
"41",196611722,41
"42",196611722,42
"43",197134791,43
"44",197134791,44
"45",197134791,45
"46",197134791,46
"47",196583254,47
"48",196578422,48
"49",196617680,49
"50",196617680,50
"51",196714454,51
"52",197167377,52
"53",196821241,53
"54",197093084,54
"55",196648510,55
"56",196650893,56
"57",197949234,57
"58",196756068,58
"59",196599926,59
"60",196722211,60
"61",196614760,61
"62",196614760,62
"63",196614760,63
"64",196614760,64
"65",197305664,65
"66",197305664,66
"67",197305664,67
"68",196659123,68
"69",196659123,69
"70",196683861,70
"71",196974133,71
"72",195407901,72
"73",195407901,73
"74",195407901,74
"75",195407901,75
"76",195407901,76
"77",195407901,77
"78",197098015,78
"79",196599491,79
"80",196636143,80
"81",196636143,81
"82",196636143,82
"83",196636143,83
"84",196636143,84
"85",196980873,85
"86",196916882,86
"87",196916882,87
"88",196391636,88
"89",196391636,89
"90",196928577,90
"91",197622858,91
"92",196592125,92
"93",196592125,93
"94",196737779,94
"95",196629318,95
"96",197598892,96
"97",197651417,97
"98",197220602,98
"99",197916737,99
"100",196610864,100
"101",196740183,101
"102",196740183,102
"103",197870511,103
"104",197870511,104
"105",196679177,105
"106",196705010,106
"107",196705010,107
"108",197086109,108
"109",196630713,109
"110",196874224,110
"111",197225405,111
"112",196633631,112
"113",196633631,113
"114",196605671,114
"115",196605671,115
"116",196605671,116
"117",196595658,117
"118",196595658,118
"119",197179437,119
"120",197179437,120
"121",196958858,121
"122",197060874,122
"123",196578436,123
"124",196527149,124
"125",196705924,125
"126",196705924,126
"127",196705924,127
"128",197137719,128
"129",196763877,129
"130",197183924,130
"131",197196234,131
"132",196787786,132
"133",197043519,133
"134",198402763,134
"135",198402763,135
"136",196666823,136
"137",196314133,137
"138",196692245,138
"139",196692245,139
"140",196692245,140
"141",196810477,141
"142",197081051,142
"143",196675348,143
"144",196679393,144
"145",196679393,145
"146",196594525,146
"147",197132086,147
"148",196664306,148
"149",196664306,149
"150",196664306,150
"151",197124686,151
"152",196835255,152
"153",196835255,153
"154",197425477,154
"155",196708256,155
"156",196647990,156
"157",196608731,157
"158",198119085,158
"159",199160151,159
"160",197576597,160
"161",197108401,161
"162",196695593,162
"163",196885466,163
"164",196543813,164
"165",196543813,165
"166",196767261,166
"167",196596759,167
"168",196596333,168
"169",196816647,169
"170",196635051,170
"171",197300487,171
"172",196819157,172
"173",198480522,173
"174",197998807,174
"175",197998807,175
"176",196710910,176
"177",197075907,177
"178",197075907,178
"179",196609802,179
"180",197458633,180
"181",197163670,181
"182",196477832,182
"183",196477832,183
"184",196584862,184
"185",197779975,185
"186",197783678,186
"187",197783678,187
"188",196794717,188
"189",198112781,189
"190",196603206,190
"191",196483283,191
"192",197169488,192
"193",196664191,193
"194",196790865,194
"195",197134128,195
"196",196524182,196
"197",196524182,197
"198",196524182,198
"199",196717720,199
"200",196717720,200
"201",196717720,201
"202",196636371,202
"203",196633895,203
"204",196633895,204
"205",197398782,205
"206",197398782,206
"207",196596860,207
"208",196596860,208
"209",196596860,209
"210",196596860,210
"211",197321671,211
"212",196553893,212
"213",197792728,213
"214",196714681,214
"215",196714681,215
"216",196686873,216
"217",196686873,217
"218",196766669,218
"219",196656108,219
"220",196626640,220
"221",196626640,221
"222",196626640,222
"223",196626640,223
"224",196887106,224
"225",196887106,225
"226",196707181,226
"227",196626308,227
"228",197907446,228
"229",198467745,229
"230",197356083,230
"231",197356083,231
"232",197356083,232
"233",197356083,233
"234",197002935,234
"235",196641341,235
"236",196641341,236
"237",196641341,237
"238",196516883,238
"239",196516883,239
"240",196516883,240
"241",196914236,241
"242",196914236,242
"243",197039386,243
"244",196674411,244
"245",196674411,245
"246",196674411,246
"247",196674411,247
"248",196599284,248
"249",197691106,249
"250",197691106,250
"251",197691106,251
"252",197691106,252
"253",198383893,253
"254",196598438,254
"255",196646789,255
"256",196646789,256
"257",196646789,257
"258",196603939,258
"259",196611352,259
"260",196611352,260
"261",196611352,261
"262",196587626,262
"263",196787650,263
"264",196709329,264
"265",197364084,265
"266",196577946,266
"267",196577946,267
"268",196674347,268
"269",196583270,269
"270",196712224,270
"271",197253492,271
"272",197253492,272
"273",197253492,273
"274",197253492,274
"275",196598373,275
"276",196586460,276
"277",196591614,277
"278",197256306,278
"279",196785248,279
"280",196891946,280
"281",196891946,281
"282",197020832,282
"283",197020832,283
"284",197020832,284
"285",196786651,285
"286",197192672,286
"287",196600032,287
"288",196600032,288
"289",196609194,289
"290",196609194,290
"291",196606452,291
"292",196606058,292
"293",197347378,293
"294",197053297,294
"295",197050308,295
"296",196882437,296
"297",196679650,297
"298",196594369,298
"299",196695814,299
"300",197843915,300
"301",196810899,301
"302",196814242,302
"303",196814242,303
"304",196590132,304
"305",196753634,305
"306",196932110,306
"307",196900983,307
"308",197318730,308
"309",197881743,309
"310",197881743,310
"311",197881743,311
"312",197359431,312
"313",197359431,313
"314",197359431,314
"315",197207934,315
"316",197219529,316
"317",197219529,317
"318",197257767,318
"319",196588022,319
"320",196581230,320
"321",196352139,321
"322",196734182,322
"323",196734182,323
"324",197325252,324
"325",196779748,325
"326",196779748,326
"327",196779748,327
"328",196779748,328
"329",196323582,329
"330",196343945,330
"331",196343945,331
"332",196343945,332
"333",196812212,333
"334",196840299,334
"335",196840299,335
"336",196577696,336
"337",196577696,337
"338",196125157,338
"339",196125157,339
"340",196125157,340
"341",196909583,341
"342",196947440,342
"343",196616342,343
"344",195408633,344
"345",195408633,345
"346",195408633,346
"347",195408633,347
"348",195408633,348
"349",195408633,349
"350",195408633,350
"351",195408633,351
"352",195408633,352
"353",196591063,353
"354",196612640,354
"355",196758484,355
"356",196758484,356
"357",196758484,357
"358",196946755,358
"359",196946755,359
"360",196697290,360
"361",196603954,361
"362",196729820,362
"363",196729820,363
"364",196919126,364
"365",196682943,365
"366",196583503,366
"367",196658073,367
"368",196658073,368
"369",196621505,369
"370",196621505,370
"371",196621505,371
"372",196621505,372
"373",196537967,373
