"","bestCostByT","temperatures"
"1",196695476,990000
"2",196625124,980100
"3",196594948,970299
"4",196593733,960596,01
"5",196632636,950990,0499
"6",196650261,941480,149401
"7",196688401,932065,34790699
"8",197384486,922744,69442792
"9",196674349,913517,247483641
"10",196593286,904382,075008804
"11",197066422,895338,254258716
"12",197009254,886384,871716129
"13",196595094,877521,022998968
"14",196700999,868745,812768978
"15",196749356,860058,354641288
"16",196634908,851457,771094875
"17",196658122,842943,193383927
"18",196779927,834513,761450087
"19",198006785,826168,623835587
"20",196602198,817906,937597231
"21",196638497,809727,868221259
"22",196769679,801630,589539046
"23",196884448,793614,283643655
"24",196595755,785678,140807219
"25",196688446,777821,359399147
"26",196596385,770043,145805155
"27",197567890,762342,714347104
"28",197854113,754719,287203633
"29",196794423,747172,094331596
"30",196592530,739700,37338828
"31",197219909,732303,369654397
"32",196667744,724980,335957853
"33",197050625,717730,532598275
"34",196996100,710553,227272292
"35",197209948,703447,694999569
"36",196587864,696413,218049573
"37",196613530,689449,085869078
"38",197053624,682554,595010387
"39",196586920,675729,049060283
"40",195511156,668971,75856968
"41",196616949,662282,040983983
"42",196775000,655659,220574143
"43",196631234,649102,628368402
"44",196840044,642611,602084718
"45",196683052,636185,486063871
"46",196591786,629823,631203232
"47",196599076,623525,3948912
"48",196641431,617290,140942288
"49",193470359,611117,239532865
"50",193470359,605006,067137536
"51",193470359,598956,006466161
"52",193470359,592966,446401499
"53",193470359,587036,781937484
"54",193470359,581166,414118109
"55",193470359,575354,749976928
"56",193470359,569601,202477159
"57",193470359,563905,190452387
"58",193470359,558266,138547863
"59",193470359,552683,477162385
"60",193470359,547156,642390761
"61",196893093,541685,075966853
"62",196665867,536268,225207185
"63",196511570,530905,542955113
"64",196596376,525596,487525562
"65",196744356,520340,522650306
"66",194782466,515137,117423803
"67",194782466,509985,746249565
"68",194782466,504885,888787069
"69",194782466,499837,029899199
"70",194782466,494838,659600207
"71",194782466,489890,273004205
"72",194782466,484991,370274163
"73",194782466,480141,456571421
"74",196604456,475340,042005707
"75",196627805,470586,64158565
"76",196621874,465880,775169793
"77",196914435,461221,967418095
"78",196558378,456609,747743914
"79",197125617,452043,650266475
"80",196902013,447523,21376381
"81",196469874,443047,981626172
"82",196370628,438617,501809911
"83",196834928,434231,326791811
"84",196796887,429889,013523893
"85",196846061,425590,123388654
"86",196782140,421334,222154768
"87",195805146,417120,87993322
"88",197898198,412949,671133888
"89",196589053,408820,174422549
"90",197355994,404731,972678324
"91",196654697,400684,65295154
"92",196605647,396677,806422025
"93",196599579,392711,028357805
"94",196604073,388783,918074227
"95",195475332,384896,078893484
"96",195475332,381047,118104549
"97",195475332,377236,646923504
"98",195475332,373464,280454269
"99",196892279,369729,637649726
"100",196749880,366032,341273229
"101",196736173,362372,017860497
"102",197307015,358748,297681892
"103",196613095,355160,814705073
"104",196617950,351609,206558022
"105",196611488,348093,114492442
"106",196594010,344612,183347517
"107",196824999,341166,061514042
"108",196658628,337754,400898902
"109",196595966,334376,856889913
"110",196715656,331033,088321014
"111",196785022,327722,757437804
"112",197050956,324445,529863426
"113",196547867,321201,074564791
"114",196590090,317989,063819143
"115",196681523,314809,173180952
"116",196600788,311661,081449142
"117",196046583,308544,470634651
"118",196046583,305459,025928305
"119",196492493,302404,435669022
"120",195884378,299380,391312331
"121",196612209,296386,587399208
"122",196590710,293422,721525216
"123",196640774,290488,494309964
"124",196063934,287583,609366864
"125",196063934,284707,773273195
"126",196063934,281860,695540463
"127",196063934,279042,088585059
"128",196607186,276251,667699208
"129",194855772,273489,151022216
"130",194855772,270754,259511994
"131",194855772,268046,716916874
"132",194855772,265366,249747705
"133",194855772,262712,587250228
"134",194855772,260085,461377726
"135",194855772,257484,606763949
"136",194855772,254909,760696309
"137",194855772,252360,663089346
"138",194855772,249837,056458453
"139",194855772,247338,685893868
"140",194855772,244865,299034929
"141",194855772,242416,64604458
"142",194855772,239992,479584134
"143",194855772,237592,554788293
"144",194855772,235216,62924041
"145",194855772,232864,462948006
"146",194855772,230535,818318526
"147",194855772,228230,460135341
"148",194855772,225948,155533987
"149",194855772,223688,673978647
"150",194855772,221451,787238861
"151",194855772,219237,269366472
"152",194855772,217044,896672808
"153",194855772,214874,447706079
"154",194855772,212725,703229019
"155",194855772,210598,446196729
"156",194855772,208492,461734761
"157",194855772,206407,537117414
"158",194855772,204343,461746239
"159",194855772,202300,027128777
"160",194855772,200277,026857489
"161",194855772,198274,256588914
"162",194855772,196291,514023025
"163",194855772,194328,598882795
"164",194855772,192385,312893967
"165",194855772,190461,459765027
"166",194855772,188556,845167377
"167",194855772,186671,276715703
"168",194855772,184804,563948546
"169",194855772,182956,518309061
"170",194855772,181126,95312597
"171",194855772,179315,683594711
"172",194855772,177522,526758763
"173",194855772,175747,301491176
"174",194855772,173989,828476264
"175",194855772,172249,930191501
"176",194855772,170527,430889586
"177",194855772,168822,15658069
"178",194855772,167133,935014884
"179",194855772,165462,595664735
"180",194855772,163807,969708087
"181",194855772,162169,890011007
"182",194855772,160548,191110896
"183",194855772,158942,709199787
"184",194855772,157353,28210779
"185",194855772,155779,749286712
"186",194855772,154221,951793845
"187",194855772,152679,732275906
"188",194855772,151152,934953147
"189",194855772,149641,405603616
"190",194855772,148144,991547579
"191",194855772,146663,541632104
"192",194855772,145196,906215783
"193",194855772,143744,937153625
"194",194855772,142307,487782088
"195",194855772,140884,412904268
"196",194855772,139475,568775225
"197",194855772,138080,813087473
"198",194855772,136700,004956598
"199",194855772,135333,004907032
"200",194855772,133979,674857962
"201",194855772,132639,878109382
"202",194855772,131313,479328288
"203",194855772,130000,344535005
"204",194855772,128700,341089655
"205",194855772,127413,337678759
"206",194855772,126139,204301971
"207",194855772,124877,812258951
"208",194855772,123629,034136362
"209",194855772,122392,743794998
"210",194855772,121168,816357048
"211",194855772,119957,128193478
"212",194855772,118757,556911543
"213",194855772,117569,981342428
"214",194855772,116394,281529003
"215",194855772,115230,338713713
"216",194855772,114078,035326576
"217",194855772,112937,25497331
"218",194855772,111807,882423577
"219",194855772,110689,803599342
"220",194855772,109582,905563348
"221",194855772,108487,076507715
"222",194855772,107402,205742637
"223",194855772,106328,183685211
"224",194855772,105264,901848359
"225",194855772,104212,252829875
"226",194855772,103170,130301577
"227",194855772,102138,428998561
"228",194855772,101117,044708575
"229",194855772,100105,87426149
"230",194855772,99104,8155188746
"231",194855772,98113,7673636859
"232",194855772,97132,629690049
"233",194855772,96161,3033931485
"234",194855772,95199,690359217
"235",194855772,94247,6934556249
"236",194855772,93305,2165210686
"237",194855772,92372,1643558579
"238",194855772,91448,4427122993
"239",194855772,90533,9582851763
"240",194855772,89628,6187023246
"241",194855772,88732,3325153013
"242",194855772,87845,0091901483
"243",194855772,86966,5590982468
"244",194855772,86096,8935072644
"245",194845913,85235,9245721917
"246",194845913,84383,5653264698
"247",194845913,83539,7296732051
"248",194845913,82704,332376473
"249",194845913,81877,2890527083
"250",194845913,81058,5161621812
"251",194845913,80247,9310005594
"252",194845913,79445,4516905538
"253",194845913,78650,9971736483
"254",194845913,77864,4872019118
"255",194845913,77085,8423298927
"256",194845913,76314,9839065938
"257",194845913,75551,8340675278
"258",194845913,74796,3157268525
"259",194845913,74048,352569584
"260",194845913,73307,8690438882
"261",194845913,72574,7903534493
"262",194845913,71849,0424499148
"263",194845913,71130,5520254156
"264",194845913,70419,2465051615
"265",194845913,69715,0540401099
"266",194845913,69017,9034997088
"267",194845913,68327,7244647117
"268",194845913,67644,4472200646
"269",194845913,66968,0027478639
"270",194845913,66298,3227203853
"271",194845913,65635,3394931814
"272",194845913,64978,9860982496
"273",194845913,64329,1962372671
"274",194845913,63685,9042748945
"275",194845913,63049,0452321455
"276",194845913,62418,5547798241
"277",194845913,61794,3692320258
"278",194845913,61176,4255397056
"279",194845913,60564,6612843085
"280",194845913,59959,0146714654
"281",194845913,59359,4245247508
"282",194845913,58765,8302795033
"283",194845913,58178,1719767082
"284",194845913,57596,3902569411
"285",194845913,57020,4263543717
"286",194845913,56450,222090828
"287",194845913,55885,7198699197
"288",194845913,55326,8626712205
"289",194845913,54773,5940445083
"290",194845913,54225,8581040632
"291",194845913,53683,5995230226
"292",194805462,53146,7635277924
"293",194805462,52615,2958925145
"294",194805462,52089,1429335893
"295",194805462,51568,2515042534
"296",194805462,51052,5689892109
"297",194805462,50542,0432993188
"298",194805462,50036,6228663256
"299",194805462,49536,2566376623
"300",194805462,49040,8940712857
"301",194805462,48550,4851305729
"302",194805462,48064,9802792671
"303",194805462,47584,3304764745
"304",194805462,47108,4871717097
"305",194805462,46637,4022999926
"306",194805462,46171,0282769927
"307",194805462,45709,3179942228
"308",194805462,45252,2248142805
"309",194805462,44799,7025661377
"310",194805462,44351,7055404764
"311",194805462,43908,1884850716
"312",194805462,43469,1066002209
"313",194805462,43034,4155342187
"314",194805462,42604,0713788765
"315",194805462,42178,0306650877
"316",194805462,41756,2503584368
"317",194805462,41338,6878548525
"318",194805462,40925,3009763039
"319",194805462,40516,0479665409
"320",194805462,40110,8874868755
"321",194805462,39709,7786120067
"322",194805462,39312,6808258867
"323",194805462,38919,5540176278
"324",194805462,38530,3584774515
"325",194805462,38145,054892677
"326",194805462,37763,6043437503
"327",194805462,37385,9683003128
"328",194805462,37012,1086173096
"329",194805462,36641,9875311365
"330",194805462,36275,5676558252
"331",194805462,35912,8119792669
"332",194805462,35553,6838594742
"333",194805462,35198,1470208795
"334",194805462,34846,1655506707
"335",194805462,34497,703895164
"336",194805462,34152,7268562123
"337",194805462,33811,1995876502
"338",194805462,33473,0875917737
"339",194805462,33138,356715856
"340",194805462,32806,9731486974
"341",194805462,32478,9034172104
"342",194805462,32154,1143830383
"343",194805462,31832,573239208
"344",194805462,31514,2475068159
"345",194805462,31199,1050317477
"346",194805462,30887,1139814302
"347",194805462,30578,2428416159
"348",194805462,30272,4604131998
"349",194805462,29969,7358090678
"350",194805462,29670,0384509771
"351",194805462,29373,3380664673
"352",194805462,29079,6046858027
"353",194805462,28788,8086389446
"354",194805462,28500,9205525552
"355",194805462,28215,9113470296
"356",194805462,27933,7522335593
"357",194805462,27654,4147112237
"358",194805462,27377,8705641115
"359",194805462,27104,0918584704
