"","bestCostByT","temperatures"
"1",200624605,194621749,74
"2",196602512,192675532,2426
"3",198647201,190748776,920174
"4",196709826,188841289,150972
"5",196563585,186952876,259463
"6",200660329,185083347,496868
"7",197894373,183232514,021899
"8",197494186,181400188,88168
"9",196596116,179586186,992863
"10",197631890,177790325,122935
"11",196738260,176012421,871705
"12",196941210,174252297,652988
"13",196608160,172509774,676458
"14",198308207,170784676,929694
"15",196584872,169076830,160397
"16",197885209,167386061,858793
"17",197293424,165712201,240205
"18",200488450,164055079,227803
"19",196716115,162414528,435525
"20",202566359,160790383,15117
"21",196797165,159182479,319658
"22",196863302,157590654,526461
"23",197814291,156014747,981197
"24",201510595,154454600,501385
"25",197735394,152910054,496371
"26",197187846,151380953,951407
"27",197279630,149867144,411893
"28",197854535,148368472,967774
"29",196637796,146884788,238097
"30",199797641,145415940,355716
"31",197004508,143961780,952158
"32",196694727,142522163,142637
"33",196749007,141096941,51121
"34",196578445,139685972,096098
"35",196593438,138289112,375137
"36",197088911,136906221,251386
"37",196819348,135537159,038872
"38",197604696,134181787,448483
"39",196924955,132839969,573999
"40",196832717,131511569,878259
"41",196646580,130196454,179476
"42",197070807,128894489,637681
"43",199505993,127605544,741304
"44",196816590,126329489,293891
"45",196208972,125066194,400952
"46",197493373,123815532,456943
"47",196599869,122577377,132373
"48",196596660,121351603,36105
"49",198178511,120138087,327439
"50",196922193,118936706,454165
"51",197213756,117747339,389623
"52",196923128,116569865,995727
"53",197073656,115404167,33577
"54",197157718,114250125,662412
"55",197622183,113107624,405788
"56",195323042,111976548,16173
"57",197253884,110856782,680113
"58",198263674,109748214,853312
"59",197225820,108650732,704778
"60",197748040,107564225,377731
"61",196665760,106488583,123953
"62",196608526,105423697,292714
"63",196621056,104369460,319787
"64",196566935,103325765,716589
"65",198357203,102292508,059423
"66",196616558,101269582,978829
"67",196576886,100256887,14904
"68",197328886,99254318,27755
"69",196571064,98261775,0947745
"70",197103804,97279157,3438268
"71",196769753,96306365,7703885
"72",196870234,95343302,1126846
"73",199654262,94389869,0915578
"74",196540016,93445970,4006422
"75",197745003,92511510,6966358
"76",196598886,91586395,5896694
"77",197037495,90670531,6337727
"78",200350252,89763826,317435
"79",199039647,88866188,0542606
"80",196616866,87977526,173718
"81",196730144,87097750,9119808
"82",196590473,86226773,402861
"83",197227114,85364505,6688324
"84",196892611,84510860,6121441
"85",199134627,83665752,0060227
"86",197507126,82829094,4859624
"87",196923611,82000803,5411028
"88",196905146,81180795,5056918
"89",196642853,80368987,5506349
"90",196738341,79565297,6751285
"91",196854854,78769644,6983772
"92",198502198,77981948,2513935
"93",196699693,77202128,7688795
"94",200106548,76430107,4811907
"95",196636936,75665806,4063788
"96",196649651,74909148,342315
"97",196630656,74160056,8588919
"98",197643422,73418456,290303
"99",196635165,72684271,7273999
"100",198211038,71957429,0101259
"101",196579934,71237854,7200247
"102",197383814,70525476,1728244
"103",197091877,69820221,4110962
"104",198898354,69122019,1969852
"105",197741616,68430799,0050154
"106",196599402,67746491,0149652
"107",197290234,67069026,1048156
"108",196788826,66398335,8437674
"109",197737078,65734352,4853298
"110",196899914,65077008,9604765
