"","bestCostByT","temperatures"
"1",196626916,9e+05
"2",196730104,810000
"3",197207475,729000
"4",196855498,656100
"5",196593677,590490
"6",196497418,531441
"7",196451624,478296,9
"8",196599665,430467,21
"9",196590526,387420,489
"10",196587617,348678,4401
"11",197118905,313810,59609
"12",196390757,282429,536481
"13",196777294,254186,5828329
"14",196517695,228767,92454961
"15",196400728,205891,132094649
"16",196400728,185302,018885184
"17",196618436,166771,816996666
"18",196768134,150094,635296999
"19",196623633,135085,171767299
"20",196580660,121576,654590569
"21",196611206,109418,989131512
"22",196593236,98477,0902183612
"23",195198903,88629,381196525
"24",195198903,79766,4430768725
"25",195198903,71789,7987691853
"26",195198903,64610,8188922668
"27",195198903,58149,7370030401
"28",195198903,52334,7633027361
"29",195198903,47101,2869724625
"30",195198903,42391,1582752162
"31",195198903,38152,0424476946
"32",195198903,34336,8382029251
"33",195198903,30903,1543826326
"34",195198903,27812,8389443694
"35",195198903,25031,5550499324
"36",195198903,22528,3995449392
"37",195198903,20275,5595904453
"38",195198903,18248,0036314007
"39",195198903,16423,2032682607
"40",195198903,14780,8829414346
"41",195198903,13302,7946472911
"42",195198903,11972,515182562
"43",195198903,10775,2636643058
"44",195198903,9697,73729787524
"45",195198903,8727,96356808772
"46",195198903,7855,16721127895
"47",195198903,7069,65049015105
"48",194662291,6362,68544113595
"49",194662291,5726,41689702235
"50",194662291,5153,77520732012
"51",194662291,4638,3976865881
"52",194662291,4174,55791792929
"53",194662291,3757,10212613637
"54",194662291,3381,39191352273
"55",194662291,3043,25272217046
"56",194662291,2738,92744995341
"57",194662291,2465,03470495807
"58",194662291,2218,53123446226
"59",194662291,1996,67811101604
"60",194662291,1797,01029991443
"61",194662291,1617,30926992299
"62",194662291,1455,57834293069
"63",194662291,1310,02050863762
"64",194662291,1179,01845777386
"65",194662291,1061,11661199647
"66",194662291,955,004950796826
