"","bestCostByT","temperatures"
"1",197997959,990000
"2",196730940,980100
"3",196794154,970299
"4",196611722,960596,01
"5",196617680,950990,0499
"6",196722211,941480,149401
"7",196683861,932065,34790699
"8",196636143,922744,69442792
"9",196928577,913517,247483641
"10",196610864,904382,075008804
"11",196874224,895338,254258716
"12",197179437,886384,871716129
"13",197183924,877521,022998968
"14",196692245,868745,812768978
"15",196664306,860058,354641288
"16",197576597,851457,771094875
"17",196635051,842943,193383927
"18",197458633,834513,761450087
"19",196603206,826168,623835587
"20",196717720,817906,937597231
"21",196596860,809727,868221259
"22",196626640,801630,589539046
"23",197356083,793614,283643655
"24",196516883,785678,140807219
"25",197691106,777821,359399147
"26",196611352,770043,145805155
"27",196712224,762342,714347104
"28",196891946,754719,287203633
"29",196609194,747172,094331596
"30",197843915,739700,37338828
"31",197881743,732303,369654397
"32",196581230,724980,335957853
"33",196343945,717730,532598275
"34",196125157,710553,227272292
"35",195408633,703447,694999569
"36",196697290,696413,218049573
"37",196621505,689449,085869078
"38",197212109,682554,595010387
"39",196713207,675729,049060283
"40",196432937,668971,75856968
"41",196704289,662282,040983983
"42",196600936,655659,220574143
"43",196609156,649102,628368402
"44",196655876,642611,602084718
"45",198690466,636185,486063871
"46",196588485,629823,631203232
"47",196770933,623525,3948912
"48",196888494,617290,140942288
"49",196599290,611117,239532865
"50",196871111,605006,067137536
"51",196651214,598956,006466161
"52",196587413,592966,446401499
"53",197246446,587036,781937484
"54",196586216,581166,414118109
"55",196604320,575354,749976928
"56",196589305,569601,202477159
"57",196822387,563905,190452387
"58",196615285,558266,138547863
"59",196569602,552683,477162385
"60",195509100,547156,642390761
"61",195509100,541685,075966853
"62",195509100,536268,225207185
"63",195509100,530905,542955113
"64",196593628,525596,487525562
"65",196697909,520340,522650306
"66",196730139,515137,117423803
"67",196409551,509985,746249565
"68",196875462,504885,888787069
"69",196647981,499837,029899199
"70",196767610,494838,659600207
"71",196892990,489890,273004205
"72",196619274,484991,370274163
"73",196596830,480141,456571421
"74",196645320,475340,042005707
"75",196732736,470586,64158565
"76",196540500,465880,775169793
"77",196632605,461221,967418095
"78",196751094,456609,747743914
"79",196347280,452043,650266475
"80",196618056,447523,21376381
"81",196252205,443047,981626172
"82",196622060,438617,501809911
"83",196760843,434231,326791811
"84",197006449,429889,013523893
"85",196599440,425590,123388654
"86",196602112,421334,222154768
"87",196789508,417120,87993322
"88",195398193,412949,671133888
"89",195398193,408820,174422549
"90",195398193,404731,972678324
"91",195398193,400684,65295154
"92",195398193,396677,806422025
"93",195398193,392711,028357805
"94",195398193,388783,918074227
"95",195398193,384896,078893484
"96",195398193,381047,118104549
"97",195398193,377236,646923504
"98",195398193,373464,280454269
"99",196635493,369729,637649726
"100",196615529,366032,341273229
"101",196733178,362372,017860497
"102",195729359,358748,297681892
"103",196733578,355160,814705073
"104",196727389,351609,206558022
"105",196595186,348093,114492442
"106",196967746,344612,183347517
"107",196815811,341166,061514042
"108",196473203,337754,400898902
"109",196925513,334376,856889913
"110",196524062,331033,088321014
"111",195275661,327722,757437804
"112",195275661,324445,529863426
"113",195275661,321201,074564791
"114",195275661,317989,063819143
"115",195275661,314809,173180952
"116",195275661,311661,081449142
"117",195275661,308544,470634651
"118",195275661,305459,025928305
"119",195275661,302404,435669022
"120",195275661,299380,391312331
"121",195275661,296386,587399208
"122",195275661,293422,721525216
"123",196279057,290488,494309964
"124",195905722,287583,609366864
"125",195905722,284707,773273195
"126",195905722,281860,695540463
"127",195905722,279042,088585059
"128",196609523,276251,667699208
"129",197192012,273489,151022216
"130",196664887,270754,259511994
"131",196755949,268046,716916874
"132",196995351,265366,249747705
"133",196606668,262712,587250228
"134",196621672,260085,461377726
"135",196601496,257484,606763949
"136",197099279,254909,760696309
"137",196592228,252360,663089346
"138",196615172,249837,056458453
"139",196743863,247338,685893868
"140",196739108,244865,299034929
"141",196593690,242416,64604458
"142",196616169,239992,479584134
"143",196428836,237592,554788293
"144",196765856,235216,62924041
"145",196827562,232864,462948006
"146",196570796,230535,818318526
"147",196597043,228230,460135341
"148",196069622,225948,155533987
"149",196599076,223688,673978647
"150",196528053,221451,787238861
"151",196566555,219237,269366472
"152",196587758,217044,896672808
"153",196600261,214874,447706079
"154",196590071,212725,703229019
"155",196621286,210598,446196729
"156",196131866,208492,461734761
"157",196262280,206407,537117414
"158",196697424,204343,461746239
"159",196123023,202300,027128777
"160",196123023,200277,026857489
"161",196123023,198274,256588914
"162",196123023,196291,514023025
"163",196123023,194328,598882795
"164",196123023,192385,312893967
"165",195928875,190461,459765027
"166",195928875,188556,845167377
"167",195928875,186671,276715703
"168",195928875,184804,563948546
"169",196562018,182956,518309061
"170",196119886,181126,95312597
"171",196119886,179315,683594711
"172",196119886,177522,526758763
"173",196119886,175747,301491176
"174",196119886,173989,828476264
"175",196119886,172249,930191501
"176",196119886,170527,430889586
"177",196119886,168822,15658069
"178",196601656,167133,935014884
"179",196669193,165462,595664735
"180",195707412,163807,969708087
"181",195707412,162169,890011007
"182",195707412,160548,191110896
"183",195707412,158942,709199787
"184",195707412,157353,28210779
"185",195707412,155779,749286712
"186",195707412,154221,951793845
"187",195707412,152679,732275906
"188",195707412,151152,934953147
"189",195707412,149641,405603616
"190",195707412,148144,991547579
"191",195707412,146663,541632104
"192",195707412,145196,906215783
"193",195707412,143744,937153625
"194",195707412,142307,487782088
"195",195707412,140884,412904268
"196",195196919,139475,568775225
"197",195196919,138080,813087473
"198",195196919,136700,004956598
"199",195196919,135333,004907032
"200",195196919,133979,674857962
"201",195196919,132639,878109382
"202",195196919,131313,479328288
"203",195196919,130000,344535005
"204",195196919,128700,341089655
"205",195196919,127413,337678759
"206",195196919,126139,204301971
"207",195196919,124877,812258951
"208",195196919,123629,034136362
"209",195196919,122392,743794998
"210",195196919,121168,816357048
"211",195196919,119957,128193478
"212",195196919,118757,556911543
"213",195196919,117569,981342428
"214",195196919,116394,281529003
"215",195196919,115230,338713713
"216",195196919,114078,035326576
"217",195196919,112937,25497331
"218",195196919,111807,882423577
"219",195196919,110689,803599342
"220",195196919,109582,905563348
"221",195196919,108487,076507715
"222",195196919,107402,205742637
"223",195196919,106328,183685211
"224",195196919,105264,901848359
"225",195196919,104212,252829875
"226",195196919,103170,130301577
"227",195196919,102138,428998561
"228",195196919,101117,044708575
"229",195196919,100105,87426149
"230",195196919,99104,8155188746
"231",195196919,98113,7673636859
"232",195196919,97132,629690049
"233",195196919,96161,3033931485
"234",195196919,95199,690359217
"235",195196919,94247,6934556249
"236",195196919,93305,2165210686
"237",195196919,92372,1643558579
"238",195196919,91448,4427122993
"239",195196919,90533,9582851763
"240",195196919,89628,6187023246
"241",195196919,88732,3325153013
"242",195196919,87845,0091901483
"243",195196919,86966,5590982468
"244",195196919,86096,8935072644
"245",195196919,85235,9245721917
"246",195196919,84383,5653264698
"247",195196919,83539,7296732051
"248",195196919,82704,332376473
"249",195196919,81877,2890527083
"250",195196919,81058,5161621812
"251",195196919,80247,9310005594
"252",195196919,79445,4516905538
"253",195196919,78650,9971736483
"254",195196919,77864,4872019118
"255",195196919,77085,8423298927
"256",195196919,76314,9839065938
"257",195196919,75551,8340675278
"258",195196919,74796,3157268525
"259",195196919,74048,352569584
"260",195196919,73307,8690438882
"261",195196919,72574,7903534493
"262",195196919,71849,0424499148
"263",195196919,71130,5520254156
"264",195196919,70419,2465051615
"265",195196919,69715,0540401099
"266",195196919,69017,9034997088
"267",195196919,68327,7244647117
"268",195196919,67644,4472200646
"269",195196919,66968,0027478639
"270",195196919,66298,3227203853
"271",195196919,65635,3394931814
"272",195196919,64978,9860982496
"273",195196919,64329,1962372671
"274",195196919,63685,9042748945
"275",195196919,63049,0452321455
"276",195196919,62418,5547798241
"277",195196919,61794,3692320258
"278",195196919,61176,4255397056
"279",195196919,60564,6612843085
"280",195196919,59959,0146714654
"281",195196919,59359,4245247508
"282",195196919,58765,8302795033
"283",195196919,58178,1719767082
"284",195196919,57596,3902569411
"285",195196919,57020,4263543717
"286",195196919,56450,222090828
"287",195196919,55885,7198699197
"288",195196919,55326,8626712205
"289",195196919,54773,5940445083
"290",195196919,54225,8581040632
"291",195196919,53683,5995230226
"292",195196919,53146,7635277924
"293",195196919,52615,2958925145
"294",195196919,52089,1429335893
"295",195196919,51568,2515042534
"296",195196919,51052,5689892109
"297",195196919,50542,0432993188
"298",195196919,50036,6228663256
"299",195196919,49536,2566376623
"300",195196919,49040,8940712857
"301",195196919,48550,4851305729
"302",195196919,48064,9802792671
"303",195196919,47584,3304764745
"304",195196919,47108,4871717097
"305",195196919,46637,4022999926
"306",195196919,46171,0282769927
"307",195196919,45709,3179942228
"308",195196919,45252,2248142805
"309",195196919,44799,7025661377
"310",195196919,44351,7055404764
"311",195196919,43908,1884850716
"312",195196919,43469,1066002209
"313",195196919,43034,4155342187
"314",195196919,42604,0713788765
"315",195196919,42178,0306650877
"316",195196919,41756,2503584368
"317",195196919,41338,6878548525
"318",195196919,40925,3009763039
"319",195196919,40516,0479665409
"320",195196919,40110,8874868755
"321",195196919,39709,7786120067
"322",195196919,39312,6808258867
"323",195196919,38919,5540176278
"324",195196919,38530,3584774515
"325",195196919,38145,054892677
"326",195196919,37763,6043437503
"327",195196919,37385,9683003128
"328",195196919,37012,1086173096
"329",195196919,36641,9875311365
"330",195196919,36275,5676558252
"331",195196919,35912,8119792669
"332",195196919,35553,6838594742
"333",195196919,35198,1470208795
"334",195196919,34846,1655506707
"335",195196919,34497,703895164
"336",195196919,34152,7268562123
"337",195196919,33811,1995876502
"338",195196919,33473,0875917737
"339",195196919,33138,356715856
"340",195196919,32806,9731486974
"341",195196919,32478,9034172104
"342",195196919,32154,1143830383
"343",195196919,31832,573239208
"344",195196919,31514,2475068159
"345",195196919,31199,1050317477
"346",195196919,30887,1139814302
"347",195196919,30578,2428416159
"348",195196919,30272,4604131998
"349",195196919,29969,7358090678
"350",195196919,29670,0384509771
"351",195196919,29373,3380664673
"352",195196919,29079,6046858027
"353",195196919,28788,8086389446
"354",195196919,28500,9205525552
"355",195196919,28215,9113470296
"356",195196919,27933,7522335593
"357",195196919,27654,4147112237
"358",195196919,27377,8705641115
"359",195196919,27104,0918584704
"360",195196919,26833,0509398857
"361",195196919,26564,7204304868
"362",195196919,26299,073226182
"363",195196919,26036,0824939201
"364",195196919,25775,7216689809
"365",195196919,25517,9644522911
"366",195196919,25262,7848077682
"367",195196919,25010,1569596905
"368",195196919,24760,0553900936
"369",195196919,24512,4548361927
"370",195196919,24267,3302878308
"371",195196919,24024,6569849525
"372",195196919,23784,4104151029
"373",195196919,23546,5663109519
"374",195196919,23311,1006478424
"375",195196919,23077,989641364
"376",195196919,22847,2097449503
"377",195196919,22618,7376475008
"378",195196919,22392,5502710258
"379",195196919,22168,6247683155
"380",195196919,21946,9385206324
"381",195196919,21727,4691354261
"382",195196919,21510,1944440718
"383",195196919,21295,0924996311
"384",193914503,21082,1415746348
"385",193914503,20871,3201588884
"386",193914503,20662,6069572995
"387",193914503,20455,9808877265
"388",193914503,20251,4210788493
"389",193914503,20048,9068680608
"390",193914503,19848,4177993802
"391",193914503,19649,9336213864
"392",193914503,19453,4342851725
"393",193914503,19258,8999423208
"394",193914503,19066,3109428976
"395",193914503,18875,6478334686
"396",193914503,18686,8913551339
"397",193914503,18500,0224415826
"398",193914503,18315,0222171668
"399",193914503,18131,8719949951
"400",193914503,17950,5532750451
"401",193914503,17771,0477422947
"402",193914503,17593,3372648717
"403",193914503,17417,403892223
"404",193914503,17243,2298533008
"405",193914503,17070,7975547678
"406",193914503,16900,0895792201
"407",193914503,16731,0886834279
"408",193914503,16563,7777965936
"409",193914503,16398,1400186277
"410",193914503,16234,1586184414
"411",193914503,16071,817032257
"412",193914503,15911,0988619344
"413",193914503,15751,9878733151
"414",193914503,15594,4679945819
"415",193914503,15438,5233146361
"416",193914503,15284,1380814897
"417",193914503,15131,2967006748
"418",193914503,14979,9837336681
"419",193914503,14830,1838963314
"420",193914503,14681,8820573681
"421",193914503,14535,0632367944
"422",193914503,14389,7126044265
"423",193914503,14245,8154783822
"424",193914503,14103,3573235984
"425",193914503,13962,3237503624
"426",193914503,13822,7005128588
"427",193914503,13684,4735077302
"428",193914503,13547,6287726529
"429",193914503,13412,1524849264
"430",193914503,13278,0309600771
"431",193914503,13145,2506504763
"432",193914503,13013,7981439716
"433",193914503,12883,6601625318
"434",193914503,12754,8235609065
"435",193914503,12627,2753252975
"436",193914503,12501,0025720445
"437",193914503,12375,992546324
"438",193914503,12252,2326208608
"439",193914503,12129,7102946522
"440",193914503,12008,4131917057
"441",193914503,11888,3290597886
"442",193914503,11769,4457691907
"443",193914503,11651,7513114988
"444",193914503,11535,2337983838
"445",193914503,11419,8814604
"446",193914503,11305,682645796
"447",193914503,11192,625819338
"448",193914503,11080,6995611447
"449",193914503,10969,8925655332
"450",193914503,10860,1936398779
"451",193914503,10751,5917034791
"452",193914503,10644,0757864443
"453",193914503,10537,6350285799
"454",193914503,10432,2586782941
"455",193914503,10327,9360915111
"456",193914503,10224,656730596
"457",193914503,10122,4101632901
"458",193914503,10021,1860616572
"459",193914503,9920,97420104058
"460",193914503,9821,76445903018
"461",193914503,9723,54681443987
"462",193914503,9626,31134629548
"463",193914503,9530,04823283252
"464",193914503,9434,7477505042
"465",193820242,9340,40027299915
"466",193820242,9246,99627026916
"467",193820242,9154,52630756647
"468",193820242,9062,98104449081
"469",193820242,8972,3512340459
"470",193820242,8882,62772170544
"471",193820242,8793,80144448838
"472",193820242,8705,8634300435
"473",193820242,8618,80479574306
"474",193820242,8532,61674778563
"475",193820242,8447,29058030778
"476",193820242,8362,8176745047
"477",193820242,8279,18949775965
"478",193820242,8196,39760278206
"479",193820242,8114,43362675424
"480",193820242,8033,28929048669
"481",193820242,7952,95639758183
"482",193820242,7873,42683360601
"483",193820242,7794,69256526995
"484",193820242,7716,74563961725
"485",193820242,7639,57818322108
"486",193820242,7563,18240138887
"487",193820242,7487,55057737498
"488",193820242,7412,67507160123
"489",193820242,7338,54832088521
"490",193820242,7265,16283767636
"491",193820242,7192,5112092996
"492",193820242,7120,5860972066
"493",193820242,7049,38023623454
"494",193820242,6978,88643387219
"495",193820242,6909,09756953347
"496",193820242,6840,00659383813
"497",193820242,6771,60652789975
"498",193820242,6703,89046262076
"499",193820242,6636,85155799455
"500",193820242,6570,4830424146
"501",193820242,6504,77821199046
"502",193820242,6439,73042987055
"503",193820242,6375,33312557185
"504",193820242,6311,57979431613
"505",193820242,6248,46399637297
"506",193820242,6185,97935640924
"507",193820242,6124,11956284514
"508",193820242,6062,87836721669
"509",193820242,6002,24958354453
"510",193820242,5942,22708770908
"511",193820242,5882,80481683199
"512",193820242,5823,97676866367
"513",193820242,5765,73700097703
"514",193820242,5708,07963096726
"515",193820242,5650,99883465759
"516",193820242,5594,48884631101
"517",193820242,5538,5439578479
"518",193820242,5483,15851826942
"519",193820242,5428,32693308673
"520",193820242,5374,04366375586
"521",193820242,5320,3032271183
"522",193820242,5267,10019484712
"523",193820242,5214,42919289865
"524",193820242,5162,28490096966
"525",193820242,5110,66205195997
"526",193820242,5059,55543144037
"527",193820242,5008,95987712596
"528",193820242,4958,8702783547
"529",193820242,4909,28157557116
"530",193820242,4860,18875981544
"531",193820242,4811,58687221729
"532",193820242,4763,47100349512
"533",193820242,4715,83629346017
"534",193820242,4668,67793052556
"535",193820242,4621,99115122031
"536",193820242,4575,7712397081
"537",193820242,4530,01352731102
"538",193820242,4484,71339203791
"539",193820242,4439,86625811753
"540",193820242,4395,46759553636
"541",193820242,4351,512919581
"542",193820242,4307,99779038519
"543",193820242,4264,91781248133
"544",193820242,4222,26863435652
"545",193820242,4180,04594801296
"546",193820242,4138,24548853283
"547",193820242,4096,8630336475
"548",193820242,4055,89440331102
"549",193820242,4015,33545927791
"550",193820242,3975,18210468513
"551",193820242,3935,43028363828
"552",193820242,3896,0759808019
"553",193820242,3857,11522099388
"554",193820242,3818,54406878394
"555",193820242,3780,3586280961
"556",193820242,3742,55504181514
"557",193820242,3705,12949139699
"558",193820242,3668,07819648302
"559",193820242,3631,39741451819
"560",193820242,3595,08344037301
"561",193820242,3559,13260596928
"562",193820242,3523,54127990958
"563",193820242,3488,30586711049
"564",193820242,3453,42280843938
"565",193820242,3418,88858035499
"566",193820242,3384,69969455144
"567",193820242,3350,85269760593
"568",193820242,3317,34417062987
"569",193820242,3284,17072892357
"570",193820242,3251,32902163433
"571",193820242,3218,81573141799
"572",193820242,3186,62757410381
"573",193820242,3154,76129836277
"574",193820242,3123,21368537914
"575",193820242,3091,98154852535
"576",193820242,3061,0617330401
"577",193820242,3030,4511157097
"578",193820242,3000,1466045526
"579",193820242,2970,14513850707
"580",193820242,2940,443687122
"581",193820242,2911,03925025078
"582",193820242,2881,92885774828
"583",193820242,2853,10956917079
"584",193820242,2824,57847347909
"585",193820242,2796,33268874429
"586",193820242,2768,36936185685
"587",193820242,2740,68566823828
"588",193820242,2713,2788115559
"589",193820242,2686,14602344034
"590",193820242,2659,28456320594
"591",193820242,2632,69171757388
"592",193820242,2606,36480039814
"593",193820242,2580,30115239416
"594",193820242,2554,49814087022
"595",193820242,2528,95315946151
"596",193820242,2503,6636278669
"597",193820242,2478,62699158823
"598",193820242,2453,84072167235
"599",193820242,2429,30231445562
"600",193820242,2405,00929131107
"601",193820242,2380,95919839796
"602",193820242,2357,14960641398
"603",193820242,2333,57811034984
"604",193820242,2310,24232924634
"605",193820242,2287,13990595387
"606",193820242,2264,26850689434
"607",193820242,2241,62582182539
"608",193820242,2219,20956360714
"609",193820242,2197,01746797107
"610",193820242,2175,04729329136
"611",193820242,2153,29682035844
"612",193820242,2131,76385215486
"613",193820242,2110,44621363331
"614",193820242,2089,34175149698
"615",193820242,2068,44833398201
"616",193820242,2047,76385064219
"617",193820242,2027,28621213576
"618",193820242,2007,01335001441
"619",193820242,1986,94321651426
"620",193820242,1967,07378434912
"621",193820242,1947,40304650563
"622",193820242,1927,92901604057
"623",193820242,1908,64972588017
"624",193820242,1889,56322862137
"625",193820242,1870,66759633515
"626",193820242,1851,9609203718
"627",193820242,1833,44131116808
"628",193820242,1815,1068980564
"629",193820242,1796,95582907584
"630",193820242,1778,98627078508
"631",193820242,1761,19640807723
"632",193820242,1743,58444399646
"633",193820242,1726,14859955649
"634",193820242,1708,88711356093
"635",193820242,1691,79824242532
"636",193820242,1674,88026000106
"637",193820242,1658,13145740105
"638",193820242,1641,55014282704
"639",193820242,1625,13464139877
