"","bestCostByT","temperatures"
"1",194566072,950000
"2",196615976,902500
"3",196978807,857375
"4",196623792,814506,25
"5",196750221,773780,9375
"6",196610958,735091,890625
"7",194359122,698337,29609375
"8",194359122,663420,431289062
"9",194359122,630249,409724609
"10",194359122,598736,939238379
"11",194359122,568800,09227646
"12",194359122,540360,087662637
"13",194359122,513342,083279505
"14",194359122,487674,97911553
"15",194359122,463291,230159753
"16",194359122,440126,668651765
"17",194359122,418120,335219177
"18",194359122,397214,318458218
"19",194359122,377353,602535307
"20",196406964,358485,922408542
"21",192880904,340561,626288115
"22",192880904,323533,544973709
"23",192880904,307356,867725024
"24",192880904,291989,024338772
"25",192880904,277389,573121834
"26",192880904,263520,094465742
"27",192880904,250344,089742455
"28",192880904,237826,885255332
"29",192880904,225935,540992566
"30",192880904,214638,763942937
"31",192880904,203906,82574579
"32",192880904,193711,484458501
"33",192880904,184025,910235576
"34",192880904,174824,614723797
"35",192880904,166083,383987607
"36",192880904,157779,214788227
"37",192880904,149890,254048815
"38",192880904,142395,741346375
"39",192880904,135275,954279056
"40",192880904,128512,156565103
"41",192880904,122086,548736848
"42",192880904,115982,221300006
"43",192880904,110183,110235005
"44",192880904,104673,954723255
"45",192880904,99440,2569870922
