"","bestCostByT","temperatures"
"1",196833847,9e+05
"2",196325762,810000
"3",197347331,729000
"4",197078525,656100
"5",196988062,590490
"6",197103133,531441
"7",196308488,478296,9
"8",196761496,430467,21
"9",197268850,387420,489
"10",196596490,348678,4401
"11",196646500,313810,59609
"12",197223752,282429,536481
"13",196726553,254186,5828329
"14",195818970,228767,92454961
"15",196652044,205891,132094649
"16",196592432,185302,018885184
"17",196662152,166771,816996666
"18",196451075,150094,635296999
"19",196527852,135085,171767299
"20",195929363,121576,654590569
"21",195929363,109418,989131512
"22",195929363,98477,0902183612
