"","bestCostByT","temperatures"
"1",196556065,9e+05
"2",196255426,810000
"3",196676181,729000
"4",195828821,656100
"5",196543203,590490
"6",197100803,531441
"7",196524939,478296,9
"8",193502156,430467,21
"9",193502156,387420,489
"10",193502156,348678,4401
"11",193502156,313810,59609
"12",193502156,282429,536481
"13",192704704,254186,5828329
"14",192704704,228767,92454961
"15",192704704,205891,132094649
"16",192704704,185302,018885184
"17",192704704,166771,816996666
"18",192704704,150094,635296999
"19",192704704,135085,171767299
"20",192704704,121576,654590569
"21",192704704,109418,989131512
"22",192704704,98477,0902183612
