"","costs","x"
"1",194072029,1
"2",194072029,2
"3",193819954,3
"4",194145101,4
"5",194145101,5
"6",194145101,6
"7",195563304,7
"8",194318179,8
"9",194401645,9
"10",194954406,10
"11",194637064,11
"12",194397871,12
"13",194469060,13
"14",194167711,14
"15",194167711,15
"16",194196878,16
"17",194261626,17
"18",194523407,18
"19",194523407,19
"20",194354693,20
"21",194354693,21
"22",194354693,22
"23",194354693,23
"24",194354693,24
"25",194490311,25
"26",194083844,26
"27",194096742,27
"28",194096742,28
"29",194858322,29
"30",193991291,30
"31",193991291,31
"32",193601797,32
"33",193601797,33
"34",194307542,34
"35",193811479,35
"36",193811479,36
"37",194182849,37
"38",194160793,38
"39",194128951,39
"40",194128951,40
"41",194128951,41
"42",194107199,42
"43",193888325,43
"44",193888325,44
"45",194297963,45
"46",194297963,46
"47",194255119,47
"48",194255119,48
"49",194255119,49
"50",194291642,50
"51",194291642,51
"52",194033947,52
"53",194731548,53
"54",194359162,54
"55",194284621,55
"56",194102364,56
"57",194102364,57
"58",194102364,58
"59",194102364,59
"60",194102364,60
"61",194127958,61
"62",194073351,62
"63",194073351,63
"64",194073351,64
"65",194682369,65
"66",194341156,66
"67",194076416,67
"68",194076416,68
"69",194265051,69
"70",194072098,70
"71",194245450,71
"72",194292592,72
"73",194075380,73
"74",194081556,74
"75",194460793,75
"76",194365506,76
"77",194365506,77
"78",194365506,78
"79",194365506,79
"80",194365506,80
"81",194185267,81
"82",195045769,82
"83",194060961,83
"84",194125492,84
"85",194286807,85
"86",195948588,86
"87",194318239,87
"88",194318239,88
"89",194318239,89
"90",194318239,90
"91",194151121,91
"92",193536470,92
"93",193536470,93
"94",193536470,94
"95",193536470,95
"96",193536470,96
"97",193536470,97
"98",194237077,98
"99",194237077,99
"100",194237077,100
"101",194541393,101
"102",193835637,102
"103",193835637,103
"104",193835637,104
"105",194089552,105
"106",194089552,106
"107",193436101,107
"108",193436101,108
"109",193436101,109
"110",194140631,110
"111",194045447,111
"112",194112238,112
"113",194054008,113
"114",194210826,114
"115",194258472,115
"116",194258472,116
"117",194258472,117
"118",194942092,118
"119",194204289,119
"120",194204289,120
"121",194159845,121
"122",194723371,122
"123",194723371,123
"124",194242665,124
"125",194067318,125
"126",194582973,126
"127",194539095,127
"128",194510527,128
"129",194116906,129
"130",194087763,130
"131",194087763,131
"132",194332266,132
"133",195078427,133
"134",194475136,134
"135",194475136,135
"136",194375886,136
"137",193523483,137
"138",194158099,138
"139",194158099,139
"140",194220925,140
"141",194220925,141
"142",194290939,142
"143",194290939,143
"144",194180594,144
"145",194078634,145
"146",194078634,146
"147",194117351,147
"148",194415031,148
"149",194315797,149
"150",194282961,150
"151",194095198,151
"152",194095198,152
"153",193929631,153
"154",193929631,154
"155",194075843,155
"156",194075843,156
"157",195150745,157
"158",194383081,158
"159",194070432,159
"160",194070432,160
"161",194070432,161
"162",194070432,162
"163",194337118,163
"164",194337118,164
"165",194257865,165
"166",194144885,166
"167",194144885,167
"168",194069814,168
"169",194023836,169
"170",194023836,170
"171",195160038,171
"172",192967387,172
"173",192967387,173
"174",194342025,174
"175",194142757,175
"176",194142757,176
"177",194593931,177
"178",195018469,178
"179",194127385,179
"180",194585613,180
"181",194585613,181
"182",194089923,182
"183",194089923,183
"184",194765672,184
"185",194848537,185
"186",194848537,186
"187",194876560,187
"188",195137790,188
"189",194478094,189
"190",194077345,190
"191",194077345,191
"192",194077345,192
"193",194077345,193
"194",193898581,194
"195",193898581,195
"196",193941896,196
"197",193941896,197
"198",194131055,198
"199",194131055,199
"200",194106507,200
"201",194106507,201
"202",194106507,202
"203",194106507,203
"204",194636401,204
"205",195388489,205
"206",195473867,206
"207",194653501,207
"208",194110899,208
"209",194110899,209
"210",194144366,210
"211",195625073,211
"212",195625073,212
"213",194120084,213
"214",194120084,214
"215",194120084,215
"216",194084053,216
"217",194337481,217
"218",194337481,218
"219",194575978,219
"220",194575978,220
"221",194371340,221
"222",194082722,222
"223",194075898,223
"224",194107630,224
"225",193458387,225
"226",194037846,226
"227",194037846,227
"228",194347220,228
"229",194063775,229
"230",194406932,230
"231",194406932,231
"232",194406932,232
"233",194336116,233
"234",194336116,234
"235",194336116,235
"236",194453988,236
"237",193591442,237
"238",193591442,238
"239",194061572,239
"240",194125254,240
"241",194127429,241
"242",194636669,242
"243",194636669,243
"244",194086529,244
"245",194083471,245
"246",194318119,246
"247",194239239,247
"248",194065755,248
"249",194330407,249
"250",194330407,250
"251",193998486,251
"252",194328183,252
"253",194093062,253
"254",194093062,254
"255",194075408,255
"256",194075408,256
"257",194133429,257
"258",193131224,258
"259",193131224,259
"260",193131224,260
"261",193131224,261
"262",193131224,262
"263",193131224,263
"264",194078002,264
"265",194078002,265
"266",194762397,266
"267",194762397,267
"268",194347082,268
"269",194347082,269
"270",194666059,270
"271",194044479,271
"272",194044479,272
"273",193884882,273
"274",193884882,274
"275",193884882,275
"276",193884882,276
"277",193884882,277
"278",193884882,278
"279",194084901,279
"280",194393049,280
"281",194393049,281
"282",193897976,282
"283",193897976,283
"284",193897976,284
"285",194096996,285
"286",194070214,286
"287",194070214,287
"288",194070214,288
"289",194070214,289
"290",194255680,290
"291",194255680,291
"292",194255680,292
"293",194255680,293
"294",194255680,294
"295",195060677,295
"296",194557788,296
"297",195034739,297
"298",195034739,298
"299",194276672,299
"300",194276672,300
"301",194135404,301
"302",194661169,302
"303",194148399,303
"304",194084489,304
"305",194084489,305
"306",194084489,306
"307",194084489,307
"308",194084489,308
"309",194084489,309
"310",194362597,310
"311",194352110,311
"312",194078808,312
"313",194137446,313
"314",194137446,314
"315",194137446,315
"316",194137446,316
"317",194137446,317
"318",194137446,318
"319",194185925,319
"320",194081741,320
"321",194081741,321
"322",194429423,322
"323",194421988,323
"324",194582111,324
"325",194582111,325
"326",194588815,326
"327",194306997,327
"328",193635208,328
"329",193635208,329
"330",193635208,330
"331",194210750,331
"332",194210750,332
"333",194210750,333
"334",194210750,334
"335",194210750,335
"336",194210750,336
"337",194210750,337
"338",194044261,338
"339",194044261,339
"340",194847444,340
"341",194233933,341
"342",194217547,342
"343",194353528,343
"344",194353528,344
"345",194393361,345
"346",194393361,346
"347",194122540,347
"348",194161519,348
"349",194161519,349
"350",194161519,350
"351",194145685,351
"352",194145685,352
"353",194087446,353
"354",194087446,354
"355",194087446,355
"356",194283699,356
"357",195622528,357
"358",194266301,358
"359",193816909,359
"360",193816909,360
"361",192358204,361
"362",192358204,362
"363",192358204,363
"364",192358204,364
"365",192358204,365
"366",192358204,366
"367",192358204,367
"368",192358204,368
"369",192358204,369
"370",192358204,370
"371",192358204,371
"372",192358204,372
"373",192358204,373
"374",192358204,374
"375",192358204,375
"376",192358204,376
"377",192358204,377
"378",192358204,378
"379",192358204,379
"380",192358204,380
"381",192358204,381
"382",192358204,382
"383",192358204,383
"384",192358204,384
"385",192358204,385
"386",192358204,386
"387",192358204,387
"388",192358204,388
"389",192358204,389
"390",192358204,390
"391",192358204,391
"392",192358204,392
"393",192358204,393
"394",192358204,394
"395",192358204,395
"396",192358204,396
"397",192358204,397
"398",192358204,398
"399",192358204,399
"400",192358204,400
"401",192358204,401
"402",192358204,402
"403",192358204,403
"404",192358204,404
"405",192358204,405
"406",192358204,406
"407",192358204,407
"408",192358204,408
"409",192358204,409
"410",192358204,410
"411",192358204,411
