"","costs","x"
"1",139869413,1
"2",139053403,2
"3",139556579,3
"4",139813489,4
"5",139241544,5
"6",139448712,6
"7",138682139,7
"8",139304416,8
"9",139405265,9
"10",140111275,10
"11",140845147,11
"12",139010225,12
"13",139082518,13
"14",140232200,14
"15",140149628,15
"16",141607917,16
"17",138961055,17
"18",139346188,18
"19",140924407,19
"20",139684984,20
"21",140814065,21
"22",139080591,22
"23",139118239,23
"24",139133137,24
"25",139480300,25
"26",139348346,26
"27",139273456,27
"28",139074705,28
"29",139004374,29
"30",139554250,30
"31",138620380,31
"32",138971679,32
"33",139668763,33
"34",141040158,34
"35",140293387,35
"36",139203003,36
"37",139187370,37
"38",139250092,38
"39",138947284,39
"40",139900517,40
"41",139623270,41
"42",139352107,42
"43",139116827,43
"44",139188878,44
"45",139293432,45
"46",140620788,46
"47",140052526,47
"48",139376747,48
"49",139393259,49
"50",138832685,50
"51",139077621,51
"52",139045518,52
"53",138425221,53
"54",139134151,54
"55",139542906,55
"56",139736333,56
"57",140248971,57
"58",139678804,58
"59",138939404,59
"60",139315256,60
"61",141090262,61
"62",139433574,62
"63",140226044,63
"64",138964856,64
"65",139781273,65
"66",139421308,66
"67",139785743,67
"68",139037407,68
"69",139105719,69
"70",143705534,70
"71",139060489,71
"72",140795240,72
"73",138474681,73
"74",140762607,74
"75",138953581,75
"76",139938185,76
"77",140466565,77
"78",141458322,78
"79",139187459,79
"80",139058039,80
"81",139079011,81
"82",139632878,82
"83",139470112,83
"84",139071308,84
"85",141180910,85
"86",140617567,86
"87",139002184,87
"88",138819312,88
"89",139579343,89
"90",139220257,90
"91",139053401,91
"92",138998614,92
"93",138990527,93
"94",139568231,94
"95",141256998,95
"96",139046461,96
"97",143803569,97
"98",139349899,98
"99",138953331,99
"100",139516991,100
"101",141174411,101
"102",138988893,102
"103",139941483,103
"104",140057719,104
"105",139647844,105
"106",139452713,106
"107",144621702,107
"108",139020392,108
"109",143585446,109
"110",139964620,110
"111",139867657,111
"112",139342420,112
"113",139782699,113
"114",139050048,114
"115",140115020,115
"116",139150187,116
"117",140973356,117
"118",139806551,118
"119",139084000,119
"120",140476933,120
"121",139796257,121
"122",144871439,122
"123",139130816,123
"124",138969407,124
"125",139334905,125
"126",139693859,126
"127",140391518,127
"128",138993906,128
"129",139172940,129
"130",140534887,130
"131",140346405,131
"132",139503683,132
"133",139208883,133
"134",139420255,134
"135",139018657,135
"136",142002157,136
"137",139915505,137
"138",138996305,138
"139",139079407,139
"140",140178709,140
"141",139249905,141
"142",140061987,142
"143",139331594,143
"144",140272277,144
"145",138961531,145
"146",139478070,146
"147",139323070,147
"148",139128630,148
"149",139261735,149
"150",139241308,150
"151",139161268,151
"152",138940969,152
"153",139135023,153
"154",138997762,154
"155",139178366,155
"156",139912624,156
"157",139461093,157
"158",139064245,158
"159",139189961,159
"160",139066271,160
"161",138846269,161
"162",139185067,162
"163",139070460,163
"164",138951903,164
"165",139379192,165
"166",140301227,166
"167",139631779,167
"168",138977492,168
"169",139602734,169
"170",139200722,170
"171",139255343,171
"172",142501208,172
"173",138947207,173
"174",141394400,174
"175",138936119,175
"176",138989276,176
"177",139117367,177
"178",139238886,178
"179",139411458,179
"180",139398487,180
"181",143603112,181
"182",139971800,182
"183",141695976,183
"184",139062993,184
"185",140725883,185
"186",139661606,186
"187",139246828,187
"188",139224544,188
"189",139068303,189
"190",145855150,190
"191",139800726,191
"192",142076492,192
"193",139247213,193
"194",139089453,194
"195",139106773,195
"196",139013447,196
"197",139368750,197
"198",139371274,198
"199",139101079,199
"200",139032199,200
"201",138936551,201
"202",141399594,202
"203",139362526,203
"204",142801474,204
"205",139034634,205
"206",138608952,206
"207",139071498,207
"208",139059657,208
"209",139289788,209
"210",140479014,210
"211",139215964,211
"212",140805030,212
"213",139685966,213
"214",140203244,214
"215",139220966,215
"216",139278511,216
"217",140705556,217
"218",140130074,218
"219",138722074,219
"220",138937134,220
"221",139653675,221
"222",139287565,222
"223",138576663,223
"224",138915069,224
"225",138954821,225
"226",139158185,226
"227",139938342,227
"228",139589526,228
"229",139070397,229
"230",138936813,230
"231",141483590,231
"232",140839277,232
"233",139030627,233
"234",139338267,234
"235",139176984,235
"236",145537681,236
"237",140545723,237
"238",152241489,238
"239",139254254,239
"240",139346433,240
"241",139499750,241
"242",139052471,242
"243",139302431,243
"244",139387799,244
"245",138945018,245
"246",146920713,246
"247",139104627,247
"248",144193625,248
"249",139002955,249
"250",139744519,250
"251",142863671,251
"252",138711696,252
"253",139647725,253
"254",139956568,254
"255",140663341,255
"256",139447920,256
"257",141607984,257
"258",138958880,258
"259",139214786,259
"260",140984365,260
"261",138879366,261
"262",139573878,262
"263",142868486,263
"264",139089005,264
"265",139093708,265
"266",139621370,266
"267",138991188,267
"268",138968720,268
"269",138957291,269
"270",143542479,270
"271",140040127,271
"272",142432005,272
"273",143284859,273
"274",139313428,274
"275",139738092,275
"276",139093785,276
"277",139286388,277
"278",140953560,278
"279",139197232,279
"280",139413182,280
"281",138948767,281
"282",139062133,282
"283",139198892,283
"284",139285523,284
"285",139380785,285
"286",139040130,286
"287",139568638,287
"288",140946362,288
"289",141230898,289
"290",139180130,290
"291",139027065,291
"292",139158992,292
"293",139769001,293
"294",139363414,294
"295",140236341,295
"296",139042535,296
"297",141403180,297
"298",139307095,298
"299",139266249,299
"300",140221767,300
"301",139212231,301
"302",139535941,302
"303",144896493,303
"304",140021637,304
"305",141283175,305
"306",139140493,306
"307",139071826,307
"308",138143395,308
"309",139982813,309
"310",139227645,310
"311",139879555,311
"312",138946776,312
"313",139971197,313
"314",138948487,314
"315",139311630,315
"316",139084432,316
"317",139040731,317
"318",138927785,318
"319",139036344,319
"320",139188099,320
"321",139592956,321
"322",138974903,322
"323",138925922,323
"324",139202969,324
"325",139172173,325
"326",138941218,326
"327",140811602,327
"328",140243917,328
"329",141202198,329
"330",139085926,330
"331",139494084,331
"332",142501379,332
"333",140090099,333
"334",139059566,334
"335",138971358,335
"336",139275142,336
"337",139277882,337
"338",139558045,338
"339",141289462,339
"340",139101827,340
"341",141113413,341
"342",139587378,342
"343",142046324,343
"344",139666549,344
"345",140068946,345
"346",138960960,346
"347",140042472,347
"348",140443880,348
"349",138976734,349
"350",140221876,350
"351",142595230,351
"352",139270235,352
"353",138946944,353
"354",139128761,354
"355",141987856,355
"356",141841335,356
"357",140789413,357
"358",138987060,358
"359",139167446,359
"360",140573458,360
"361",140523374,361
"362",141544710,362
"363",139118343,363
"364",140056202,364
"365",139408245,365
"366",139128435,366
"367",140150277,367
"368",139659389,368
"369",139278874,369
"370",139674780,370
"371",139741625,371
"372",141091183,372
"373",139439472,373
"374",139553444,374
"375",139405290,375
"376",140053437,376
"377",140200172,377
"378",140668683,378
"379",139036273,379
"380",139095933,380
"381",139205276,381
"382",139511048,382
"383",138964654,383
"384",139787824,384
"385",139320010,385
"386",139027976,386
"387",138984425,387
"388",142499394,388
"389",139654139,389
"390",141842352,390
"391",138965525,391
"392",142404286,392
"393",139438607,393
"394",138993777,394
"395",141682243,395
"396",139626435,396
"397",145713501,397
"398",138936551,398
"399",139263101,399
"400",139070974,400
"401",139503866,401
"402",139268523,402
"403",140209318,403
"404",140483356,404
"405",139298214,405
"406",142526355,406
"407",140800907,407
"408",138962455,408
"409",139485906,409
"410",138881412,410
"411",138966095,411
"412",139345162,412
"413",139234768,413
"414",140627158,414
"415",139578709,415
"416",139101255,416
"417",139016049,417
"418",139063707,418
"419",139031706,419
"420",139511905,420
"421",138977256,421
"422",138984105,422
"423",139150398,423
"424",139540557,424
"425",139710352,425
"426",138988439,426
"427",141447410,427
"428",139807049,428
"429",139104950,429
"430",139215633,430
"431",139661862,431
"432",139563323,432
"433",142733907,433
"434",141184160,434
"435",140115764,435
"436",139227961,436
"437",140368661,437
"438",139115787,438
"439",138908663,439
"440",138986529,440
"441",141692122,441
"442",142089371,442
"443",141700403,443
"444",139640259,444
"445",141451382,445
"446",141892133,446
"447",141123664,447
"448",139837628,448
"449",139060960,449
"450",139240923,450
"451",140713339,451
"452",139194910,452
"453",139646191,453
"454",140307453,454
"455",139411702,455
"456",138951808,456
"457",146087046,457
"458",140556204,458
"459",140814841,459
"460",144124419,460
"461",139710303,461
"462",139357760,462
"463",139109125,463
"464",139390940,464
"465",140544056,465
"466",138939482,466
"467",143980352,467
"468",138979753,468
"469",141886698,469
"470",141928203,470
