"","costs","x"
"1",138983015,1
"2",140721095,2
"3",138936853,3
"4",140893898,4
"5",140060482,5
"6",139638148,6
"7",139508687,7
"8",146783786,8
"9",139751239,9
"10",139419815,10
"11",139739570,11
"12",139876564,12
"13",140246231,13
"14",139097836,14
"15",150582105,15
"16",138957564,16
"17",139046868,17
"18",138960245,18
"19",138958912,19
"20",139307200,20
"21",140483619,21
"22",141786179,22
"23",140392488,23
"24",139096615,24
"25",139940105,25
"26",139009924,26
"27",139067835,27
"28",139466493,28
"29",140351036,29
"30",139098623,30
"31",138947769,31
"32",138972781,32
"33",139566806,33
"34",143853951,34
"35",139334732,35
"36",139244507,36
"37",139805474,37
"38",140509451,38
"39",141098353,39
"40",139037096,40
"41",141726161,41
"42",140739801,42
"43",139686070,43
"44",139243322,44
"45",139065956,45
"46",139463107,46
"47",142261398,47
"48",139246260,48
"49",140619342,49
"50",140377588,50
"51",139466716,51
"52",138946407,52
"53",138972534,53
"54",139301468,54
"55",139001186,55
"56",139052127,56
"57",139241049,57
"58",138939963,58
"59",142900905,59
"60",144817143,60
"61",139603109,61
"62",139094238,62
"63",139001454,63
"64",138955664,64
"65",139035372,65
"66",139568386,66
"67",139939462,67
"68",138907709,68
"69",140353901,69
"70",139515336,70
"71",140789360,71
"72",139078607,72
"73",139492510,73
"74",140201980,74
"75",140301222,75
"76",139718039,76
"77",139125314,77
"78",145898505,78
"79",139536066,79
"80",140085050,80
"81",139910127,81
"82",139505501,82
"83",138949350,83
"84",139120014,84
"85",139183860,85
"86",139235791,86
"87",139203491,87
"88",139039646,88
"89",138564796,89
"90",139076410,90
"91",139396752,91
"92",140357430,92
"93",138936551,93
"94",143511761,94
"95",139354769,95
"96",139835715,96
"97",139374414,97
"98",141122431,98
"99",139421404,99
"100",139820892,100
"101",140521822,101
"102",139426386,102
"103",138964283,103
"104",139242461,104
"105",140666286,105
"106",139824269,106
"107",139926441,107
"108",139586229,108
"109",140507754,109
"110",139139609,110
"111",138658282,111
"112",139335141,112
"113",139984250,113
"114",139414241,114
"115",139070058,115
"116",139480047,116
"117",139806900,117
"118",138956290,118
"119",139361772,119
"120",139670963,120
"121",139192432,121
"122",139400923,122
"123",139551577,123
"124",139392295,124
"125",141318861,125
"126",142203703,126
"127",139644671,127
"128",143656466,128
"129",139142455,129
"130",139271333,130
"131",139026490,131
"132",141238369,132
"133",139729892,133
"134",140131595,134
"135",139842159,135
"136",139288876,136
"137",141904494,137
"138",139191448,138
"139",139093005,139
"140",139099394,140
"141",141573654,141
"142",140793894,142
"143",138990448,143
"144",139721495,144
"145",144653681,145
"146",138878650,146
"147",139017432,147
"148",139008063,148
"149",139517816,149
"150",139007692,150
"151",140124014,151
"152",140110298,152
"153",138980875,153
"154",139924957,154
"155",139772871,155
"156",139011115,156
"157",139567529,157
"158",139488064,158
"159",139079694,159
"160",139109282,160
"161",139244216,161
"162",141153567,162
"163",139057082,163
"164",139265540,164
"165",140226334,165
"166",139063449,166
"167",139798914,167
"168",138935543,168
"169",138961484,169
"170",139249141,170
"171",140124876,171
"172",139160913,172
"173",139249786,173
"174",139505571,174
"175",139456132,175
"176",141979089,176
"177",142771285,177
"178",139250133,178
"179",143554695,179
"180",139158469,180
"181",141571469,181
"182",139948249,182
"183",140535435,183
"184",139837922,184
"185",139983198,185
"186",139117928,186
"187",141494900,187
"188",140835660,188
"189",139367479,189
"190",141539147,190
"191",139664471,191
"192",139205610,192
"193",139087907,193
"194",139008096,194
"195",139156207,195
"196",140048148,196
"197",140844586,197
"198",148802077,198
"199",143555251,199
"200",139123366,200
"201",138847534,201
"202",140063338,202
"203",139118238,203
"204",139201960,204
"205",139006185,205
"206",142074630,206
"207",139952267,207
"208",139952267,208
"209",142157530,209
"210",139307306,210
"211",139152389,211
"212",139513257,212
"213",139105554,213
"214",139246263,214
"215",139129023,215
"216",139658668,216
"217",139048439,217
"218",139897538,218
"219",141010884,219
"220",141323323,220
"221",142637067,221
"222",140054948,222
"223",140688406,223
"224",139295496,224
"225",139150380,225
"226",139776438,226
"227",144108423,227
"228",141098154,228
"229",139167697,229
"230",140592695,230
"231",139200646,231
"232",138979066,232
"233",139245722,233
"234",139008654,234
"235",139293493,235
"236",140150394,236
"237",139046440,237
"238",139491140,238
"239",138967003,239
"240",140742473,240
"241",140413355,241
"242",139246838,242
"243",138945757,243
"244",140003578,244
"245",139188988,245
"246",139188988,246
"247",140490527,247
"248",140841850,248
"249",138996052,249
"250",139525820,250
"251",139001167,251
"252",139015517,252
"253",144256766,253
"254",140690175,254
"255",138961191,255
"256",139834454,256
"257",139853289,257
"258",139834990,258
"259",142095736,259
"260",139333719,260
"261",139028119,261
"262",140574363,262
"263",142817672,263
"264",139521632,264
"265",139960934,265
"266",138993631,266
"267",139614755,267
"268",140735212,268
"269",138975913,269
"270",139269773,270
"271",140131722,271
"272",139664258,272
"273",139671020,273
"274",139370069,274
"275",139631112,275
"276",139306286,276
"277",139234684,277
"278",139357244,278
"279",139304145,279
"280",139540927,280
"281",139328503,281
"282",139204101,282
"283",138965355,283
"284",140351651,284
"285",140093823,285
"286",140023179,286
"287",138909107,287
"288",140452079,288
"289",138968319,289
"290",138952538,290
"291",140025412,291
"292",142067579,292
"293",140043570,293
"294",139332100,294
"295",139014002,295
"296",138947415,296
"297",139200145,297
"298",139092610,298
"299",140024240,299
"300",139074815,300
"301",140039972,301
"302",138941843,302
"303",139299898,303
"304",139705141,304
"305",140030482,305
"306",148714765,306
"307",139556115,307
"308",138990575,308
"309",139107106,309
"310",139030801,310
"311",140182477,311
"312",147877856,312
"313",139860625,313
"314",141872045,314
"315",139041950,315
"316",139137113,316
"317",139246276,317
"318",139153529,318
"319",140648642,319
"320",139147669,320
"321",139405992,321
"322",138984465,322
"323",139601019,323
"324",139079323,324
"325",139284077,325
"326",143106401,326
"327",139099995,327
"328",139488602,328
"329",138964909,329
"330",138945709,330
"331",140234391,331
"332",138936551,332
"333",139622054,333
"334",139748425,334
"335",138962177,335
"336",139960821,336
"337",138949318,337
"338",142326017,338
"339",138948613,339
"340",139322515,340
"341",138831927,341
"342",140375665,342
"343",139713542,343
"344",139284023,344
"345",138952409,345
"346",138952409,346
"347",139405772,347
"348",139379515,348
"349",138982910,349
"350",138943199,350
"351",140808954,351
"352",139341384,352
"353",139649833,353
"354",140918894,354
"355",140686725,355
"356",140007612,356
"357",139192239,357
"358",139263858,358
"359",139291830,359
"360",140300233,360
"361",139150399,361
"362",139207780,362
"363",140263046,363
"364",139003110,364
"365",139006154,365
"366",139459232,366
"367",139335784,367
"368",139224809,368
"369",140690513,369
"370",139022033,370
"371",139022033,371
"372",139274100,372
"373",139069665,373
"374",139069665,374
"375",143970926,375
"376",141782498,376
"377",138980221,377
"378",141146743,378
"379",139138585,379
"380",139156688,380
"381",139207568,381
"382",140297441,382
"383",139420558,383
"384",141012817,384
"385",138958809,385
"386",138977452,386
"387",139076705,387
"388",140431867,388
"389",141955606,389
"390",139196466,390
"391",139069934,391
"392",141317045,392
"393",138972795,393
"394",139013825,394
"395",140322219,395
"396",139382896,396
"397",139559072,397
"398",139030091,398
"399",139953825,399
"400",145489888,400
"401",139023654,401
"402",141264645,402
"403",138948829,403
"404",138948434,404
"405",138992293,405
"406",139240495,406
"407",139390052,407
"408",139639245,408
"409",139075315,409
"410",139109623,410
"411",139070447,411
"412",141570138,412
"413",139481961,413
"414",138939751,414
"415",144998111,415
"416",138961870,416
"417",139331412,417
"418",139186918,418
"419",139254422,419
"420",140084188,420
"421",139446069,421
"422",141829157,422
"423",139030789,423
"424",140711369,424
"425",139540228,425
"426",142865948,426
"427",138987623,427
"428",138987623,428
"429",141557831,429
"430",144760767,430
"431",140689157,431
