"","bestCostByT","temperatures"
"1",139254836,62521447,95
"2",139326881,56269303,155
"3",139405517,50642372,8395
"4",138997073,45578135,55555
"5",139770717,41020321,999995
"6",138946721,36918289,7999955
"7",139209830,33226460,819996
"8",139037263,29903814,7379964
"9",139047775,26913433,2641967
"10",139840986,24222089,9377771
"11",139020925,21799880,9439994
"12",139521540,19619892,8495994
"13",138972550,17657903,5646395
"14",139975239,15892113,2081755
"15",139066435,14302901,887358
"16",140646003,12872611,6986222
"17",139285343,11585350,52876
"18",139763877,10426815,475884
"19",139751342,9384133,92829557
"20",139145187,8445720,53546601
"21",138598018,7601148,48191941
"22",139032641,6841033,63372747
"23",139000711,6156930,27035472
"24",142946573,5541237,24331925
"25",139360815,4987113,51898733
"26",138974740,4488402,16708859
"27",140023126,4039561,95037973
"28",139189537,3635605,75534176
"29",138955098,3272045,17980758
"30",139418279,2944840,66182683
"31",139001445,2650356,59564414
"32",139426732,2385320,93607973
"33",139065847,2146788,84247176
"34",139127419,1932109,95822458
"35",139509464,1738898,96240212
"36",139958195,1565009,06616191
"37",138955805,1408508,15954572
"38",139172740,1267657,34359115
"39",138962477,1140891,60923203
"40",139075777,1026802,44830883
"41",138313268,924122,203477947
"42",138981276,831709,983130152
"43",138994011,748538,984817137
"44",139025742,673685,086335423
"45",139674309,606316,577701881
"46",139787555,545684,919931693
"47",138886410,491116,427938524
"48",139348818,442004,785144671
"49",139023481,397804,306630204
"50",139057126,358023,875967184
"51",138980400,322221,488370465
"52",138336760,289999,339533419
"53",140281356,260999,405580077
"54",139077803,234899,465022069
"55",139052328,211409,518519862
"56",139020299,190268,566667876
"57",139118215,171241,710001088
"58",138940071,154117,53900098
"59",138983531,138705,785100882
"60",138690242,124835,206590793
"61",138955530,112351,685931714
"62",139057144,101116,517338543
"63",138940956,91004,8656046884
"64",138613557,81904,3790442196
"65",138613557,73713,9411397977
"66",138613557,66342,5470258179
"67",138613557,59708,2923232361
"68",138613557,53737,4630909125
"69",138613557,48363,7167818212
"70",138223895,43527,3451036391
"71",138223895,39174,6105932752
"72",138185030,35257,1495339477
"73",138185030,31731,4345805529
"74",138185030,28558,2911224976
"75",138185030,25702,4620102479
"76",138185030,23132,2158092231
"77",138185030,20818,9942283008
"78",138185030,18737,0948054707
"79",138185030,16863,3853249236
"80",138185030,15177,0467924313
"81",138185030,13659,3421131881
"82",138185030,12293,4079018693
"83",138185030,11064,0671116824
"84",138185030,9957,66040051415
