"","bestCostByT","temperatures"
"1",140060482,68773592,745
"2",139419815,68085856,81755
"3",150582105,67404998,2493745
"4",139307200,66730948,2668808
"5",139940105,66063638,784212
"6",139098623,65403002,3963698
"7",139334732,64748972,3724061
"8",139037096,64101482,6486821
"9",139065956,63460467,8221953
"10",140377588,62825863,1439733
"11",139001186,62197604,5125336
"12",144817143,61575628,4674082
"13",139035372,60959872,1827342
"14",139515336,60350273,4609068
"15",140301222,59746770,7262977
"16",140085050,59149303,0190348
"17",139183860,58557809,9888444
"18",139076410,57972231,888956
"19",139354769,57392509,5700664
"20",139820892,56818584,4743657
"21",140666286,56250398,6296221
"22",139139609,55687894,6433259
"23",139070058,55131015,6968926
"24",139670963,54579705,5399237
"25",141318861,54033908,4845244
"26",139271333,53493569,3996792
"27",139842159,52958633,7056824
"28",139099394,52429047,3686256
"29",144653681,51904756,8949393
"30",139007692,51385709,3259899
"31",139772871,50871852,23273
"32",139109282,50363133,7104027
"33",140226334,49859502,3732987
"34",139249141,49360907,3495657
"35",139456132,48867298,27607
"36",139158469,48378625,2933093
"37",139983198,47894839,0403763
"38",141539147,47415890,6499725
"39",139156207,46941731,7434728
"40",139123366,46472314,426038
"41",139006185,46007591,2817777
"42",139307306,45547515,3689599
"43",139129023,45092040,2152703
"44",141323323,44641119,8131176
"45",139150380,44194708,6149864
"46",140592695,43752761,5288365
"47",139293493,43315233,9135482
"48",140742473,42882081,5744127
"49",139188988,42453260,7586686
"50",139525820,42028728,1510819
"51",138961191,41608440,869571
"52",139333719,41192356,4608753
"53",139960934,40780432,8962666
"54",139269773,40372628,5673039
"55",139631112,39968902,2816309
"56",139540927,39569213,2588146
"57",140093823,39173521,1262264
"58",138952538,38781785,9149642
"59",139014002,38393968,0558145
"60",139074815,38010028,3752564
"61",140030482,37629928,0915038
"62",139030801,37253628,8105888
"63",139041950,36881092,5224829
"64",139147669,36512281,5972581
"65",139284077,36147158,7812855
"66",138945709,35785687,1934726
"67",138962177,35427830,3215379
"68",139322515,35073552,0183225
"69",138952409,34722816,4981393
"70",138943199,34375588,3331579
"71",140686725,34031832,4498263
"72",140300233,33691514,125328
"73",139006154,33354598,9840748
"74",139022033,33021052,994234
"75",143970926,32690842,4642917
"76",139156688,32363934,0396488
"77",138958809,32040294,6992523
"78",139196466,31719891,7522597
"79",140322219,31402692,8347371
"80",145489888,31088665,9063898
"81",138992293,30777779,2473259
"82",139109623,30470001,4548526
"83",144998111,30165301,4403041
"84",140084188,29863648,425901
"85",139540228,29565011,941642
"86",144760767,29269361,8222256
"87",138945145,28976668,2040034
"88",138972728,28686901,5219633
"89",140161733,28400032,5067437
"90",139504611,28116032,1816763
"91",140265866,27834871,8598595
"92",139070710,27556523,1412609
"93",145094458,27280957,9098483
"94",139023903,27008148,3307498
"95",139709502,26738066,8474423
"96",139932339,26470686,1789679
"97",139069620,26205979,3171782
"98",138946721,25943919,5240064
"99",138993143,25684480,3287664
"100",139984829,25427635,5254787
"101",139200281,25173359,1702239
"102",139848976,24921625,5785217
"103",138938889,24672409,3227365
"104",147061170,24425685,2295091
"105",141007726,24181428,377214
"106",139842025,23939614,0934419
"107",138872914,23700217,9525074
"108",139196626,23463215,7729824
"109",141577186,23228583,6152525
"110",139247909,22996297,7791
"111",140057933,22766334,801309
"112",138940421,22538671,4532959
"113",139352759,22313284,738763
"114",139097878,22090151,8913753
"115",139006945,21869250,3724616
"116",139035823,21650557,868737
"117",139237181,21434052,2900496
"118",139088772,21219711,7671491
"119",138948639,21007514,6494776
"120",139816529,20797439,5029828
"121",139458255,20589465,107953
"122",139104025,20383570,4568735
"123",139162465,20179734,7523047
"124",139450075,19977937,4047817
"125",139825076,19778158,0307339
"126",138915407,19580376,4504265
