"nodes";"arcs";"algorithm";"t0";"tf";"it";"lambda";"cost";"total_time"
"300";"6320";"1";"14867566.5";"1000";"15";"0.79";"147857035";"59.4877607822418"
"300";"6320";"1";"49558555";"1000";"15";"0.79";"146470779";"66.4648132324219"
"300";"6320";"1";"14867566.5";"10000";"15";"0.79";"147239763";"44.701061964035"
"300";"6320";"1";"49558555";"10000";"15";"0.79";"145683827";"53.4727509021759"
"300";"6320";"1";"14867566.5";"1e+05";"15";"0.79";"146399554";"31.8108100891113"
"300";"6320";"1";"49558555";"1e+05";"15";"0.79";"148111269";"38.9591071605682"
"300";"6320";"1";"14867566.5";"1000";"20";"0.79";"147782217";"79.2658839225769"
"300";"6320";"1";"49558555";"1000";"20";"0.79";"146826322";"89.1069412231445"
"300";"6320";"1";"14867566.5";"10000";"20";"0.79";"148277831";"59.9709715843201"
"300";"6320";"1";"49558555";"10000";"20";"0.79";"148461121";"71.465348482132"
"300";"6320";"1";"14867566.5";"1e+05";"20";"0.79";"146150175";"42.5648782253265"
"300";"6320";"1";"49558555";"1e+05";"20";"0.79";"147769107";"52.3842532634735"
"300";"6320";"1";"14867566.5";"1000";"25";"0.79";"147378449";"98.9186899662018"
"300";"6320";"1";"49558555";"1000";"25";"0.79";"147127645";"111.002980947495"
"300";"6320";"1";"14867566.5";"10000";"25";"0.79";"147856962";"74.9541039466858"
"300";"6320";"1";"49558555";"10000";"25";"0.79";"147376244";"89.2613987922668"
"300";"6320";"1";"14867566.5";"1e+05";"25";"0.79";"148746391";"52.8345317840576"
"300";"6320";"1";"49558555";"1e+05";"25";"0.79";"148329412";"65.2395577430725"
"300";"6320";"1";"14867566.5";"1000";"30";"0.79";"147132722";"119.129073381424"
"300";"6320";"1";"49558555";"1000";"30";"0.79";"147478153";"133.158472299576"
"300";"6320";"1";"14867566.5";"10000";"30";"0.79";"147866412";"90.0518414974213"
"300";"6320";"1";"49558555";"10000";"30";"0.79";"147553633";"107.002760648727"
"300";"6320";"1";"14867566.5";"1e+05";"30";"0.79";"147704165";"64.0180876255035"
"300";"6320";"1";"49558555";"1e+05";"30";"0.79";"148571589";"78.3242695331573"
"300";"6320";"1";"14867566.5";"1000";"15";"0.84";"146598951";"81.403525352478"
"300";"6320";"1";"49558555";"1000";"15";"0.84";"146851255";"91.6369071006775"
"300";"6320";"1";"14867566.5";"10000";"15";"0.84";"147187161";"60.8502073287964"
"300";"6320";"1";"49558555";"10000";"15";"0.84";"148231283";"70.9639456272125"
"300";"6320";"1";"14867566.5";"1e+05";"15";"0.84";"148717153";"41.8857975006104"
"300";"6320";"1";"49558555";"1e+05";"15";"0.84";"148855642";"52.145414352417"
"300";"6320";"1";"14867566.5";"1000";"20";"0.84";"147794648";"108.333229064941"
"300";"6320";"1";"49558555";"1000";"20";"0.84";"147990158";"121.421335697174"
"300";"6320";"1";"14867566.5";"10000";"20";"0.84";"147422112";"81.2535755634308"
"300";"6320";"1";"49558555";"10000";"20";"0.84";"146935838";"94.392431974411"
"300";"6320";"1";"14867566.5";"1e+05";"20";"0.84";"148693006";"56.0402464866638"
"300";"6320";"1";"49558555";"1e+05";"20";"0.84";"145868287";"69.4009385108948"
"300";"6320";"1";"14867566.5";"1000";"25";"0.84";"147311205";"134.941365480423"
"300";"6320";"1";"49558555";"1000";"25";"0.84";"145569750";"152.435416698456"
"300";"6320";"1";"14867566.5";"10000";"25";"0.84";"146616924";"101.082040786743"
"300";"6320";"1";"49558555";"10000";"25";"0.84";"147227291";"118.678508520126"
"300";"6320";"1";"14867566.5";"1e+05";"25";"0.84";"147936983";"70.2240464687347"
"300";"6320";"1";"49558555";"1e+05";"25";"0.84";"148626755";"87.1256458759308"
"300";"6320";"1";"14867566.5";"1000";"30";"0.84";"146588995";"162.245178937912"
"300";"6320";"1";"49558555";"1000";"30";"0.84";"146606803";"183.03364443779"
"300";"6320";"1";"14867566.5";"10000";"30";"0.84";"147613969";"122.038275241852"
"300";"6320";"1";"49558555";"10000";"30";"0.84";"146638539";"142.224686861038"
"300";"6320";"1";"14867566.5";"1e+05";"30";"0.84";"148383217";"84.2051863670349"
"300";"6320";"1";"49558555";"1e+05";"30";"0.84";"148742171";"104.422839403152"
"300";"6320";"1";"14867566.5";"1000";"15";"0.89";"146544317";"120.33416557312"
"300";"6320";"1";"49558555";"1000";"15";"0.89";"146490045";"135.079950332642"
"300";"6320";"1";"14867566.5";"10000";"15";"0.89";"147472158";"91.4739577770233"
"300";"6320";"1";"49558555";"10000";"15";"0.89";"148027214";"107.214622020721"
"300";"6320";"1";"14867566.5";"1e+05";"15";"0.89";"148164642";"62.4168536663055"
"300";"6320";"1";"49558555";"1e+05";"15";"0.89";"147735540";"78.6208398342133"
"300";"6320";"1";"14867566.5";"1000";"20";"0.89";"146621712";"160.238179445267"
"300";"6320";"1";"49558555";"1000";"20";"0.89";"145909209";"179.311482429504"
"300";"6320";"1";"14867566.5";"10000";"20";"0.89";"148482462";"121.595651865005"
"300";"6320";"1";"49558555";"10000";"20";"0.89";"146187569";"142.677179574966"
"300";"6320";"1";"14867566.5";"1e+05";"20";"0.89";"146705589";"82.7625317573547"
"300";"6320";"1";"49558555";"1e+05";"20";"0.89";"148241709";"103.828945875168"
"300";"6320";"1";"14867566.5";"1000";"25";"0.89";"146447369";"200.096694946289"
"300";"6320";"1";"49558555";"1000";"25";"0.89";"146723017";"224.624383449554"
"300";"6320";"1";"14867566.5";"10000";"25";"0.89";"147033953";"151.970108032227"
"300";"6320";"1";"49558555";"10000";"25";"0.89";"147071476";"178.362584352493"
"300";"6320";"1";"14867566.5";"1e+05";"25";"0.89";"148762114";"103.195382595062"
"300";"6320";"1";"49558555";"1e+05";"25";"0.89";"145890674";"130.061058521271"
"300";"6320";"1";"14867566.5";"1000";"30";"0.89";"146751294";"239.669580459595"
"300";"6320";"1";"49558555";"1000";"30";"0.89";"146827474";"268.825151920319"
"300";"6320";"1";"14867566.5";"10000";"30";"0.89";"147119726";"182.056829929352"
"300";"6320";"1";"49558555";"10000";"30";"0.89";"147279650";"213.978610277176"
