tail,head,low,cap,cost,flow
1,3838,0,46,237,0
1,1409,0,3432,845,0
1,2778,0,7364,62,46
1,1302,0,668,709,0
1,2037,0,4141,595,0
1,4154,0,2046,287,0
1,4556,0,9985,189,0
1095,4113,0,46,151,0
1095,3525,0,3690,757,0
1095,2589,0,1047,393,0
1095,4619,0,134,6,63
1095,1443,0,3845,900,0
3838,1095,0,46,186,0
3838,4998,0,46,854,0
3838,3851,0,6139,472,0
3838,1819,0,2439,958,0
3838,1793,0,1842,745,0
3838,3330,0,5155,7,0
3838,2268,0,4130,15,0
3838,3176,0,2770,127,0
3838,1828,0,9003,392,0
3838,4058,0,3238,275,0
3838,4351,0,2137,113,0
3838,3054,0,3704,272,0
3838,2091,0,8298,443,0
3838,3141,0,7787,162,0
3838,1023,0,5873,208,0
3838,3998,0,2900,429,0
3838,1558,0,968,77,0
3838,3430,0,1856,868,0
3838,4249,0,3540,879,0
3838,2971,0,8523,938,0
3838,4634,0,2851,794,0
3838,2883,0,1438,925,0
3838,1535,0,5779,657,0
3838,1627,0,8778,564,0
3838,4801,0,8074,883,0
3838,2322,0,7346,965,0
2,2958,0,31,131,0
2,1547,0,7257,294,0
2,4186,0,430,681,0
2,2419,0,583,88,0
2,2199,0,6818,776,0
2,2137,0,234,296,0
2,1503,0,996,523,0
2,1874,0,2203,168,0
2,4972,0,5651,77,31
2,1130,0,2277,118,0
1731,4700,0,31,364,0
1731,3679,0,5551,904,0
1731,1427,0,2251,467,0
1731,1901,0,1087,270,0
1731,1273,0,1455,165,0
1731,3699,0,9979,684,0
1731,2660,0,32,500,0
1731,2789,0,9994,889,0
1731,3098,0,7489,59,0
1731,4551,0,9455,102,0
1731,2118,0,3407,180,0
1731,4426,0,1041,903,0
1731,2568,0,5970,555,0
1731,1081,0,4421,484,0
1731,1384,0,4,324,0
1731,1006,0,9210,719,0
1731,4044,0,8390,228,0
1731,2503,0,8714,592,0
1731,1735,0,3501,463,0
1731,1959,0,5179,682,0
1731,4785,0,625,542,0
2958,1731,0,31,185,0
2958,4977,0,31,287,0
2958,4793,0,7973,557,0
2958,4652,0,8847,59,8
2958,4309,0,4536,479,0
2958,4765,0,9696,886,0
2958,2326,0,8225,993,0
2958,4523,0,8887,415,0
2958,1696,0,3518,573,0
2958,2744,0,7197,974,0
2958,1581,0,3726,878,0
2958,4164,0,619,453,0
2958,2385,0,5476,11,0
2958,4479,0,2303,747,0
2958,4214,0,5920,479,0
2958,1849,0,9492,599,0
2958,4482,0,6271,597,0
2958,3750,0,4570,91,0
2958,2525,0,343,195,0
3,3347,0,53,965,0
3,3350,0,2599,361,0
3,4002,0,3094,982,0
3,4054,0,9500,63,51
3,4150,0,7740,167,2
3,4227,0,7266,993,0
3,2819,0,1088,377,0
3,1960,0,4659,510,0
3,2316,0,1097,604,0
3,3734,0,3994,369,0
3,3311,0,3487,287,0
3,3395,0,7226,92,0
3,3570,0,2992,230,0
3,3441,0,5355,960,0
3,2312,0,1195,239,0
3,1184,0,3800,741,0
3,2894,0,6451,375,0
3,3858,0,8060,815,0
3,3962,0,6374,212,0
3,1016,0,5542,644,0
3,4585,0,7745,312,0
3,4501,0,9820,946,0
3,1742,0,1299,813,0
3,4600,0,6834,382,0
3,2407,0,848,153,0
3,1439,0,9748,300,0
3,1712,0,85,723,0
3,2738,0,1224,91,0
3,2436,0,638,118,0
3,3088,0,5588,510,0
3,3757,0,142,667,0
1342,4267,0,53,916,0
1342,4724,0,53,605,0
1342,1828,0,6240,898,0
1342,4776,0,6181,652,0
1342,2185,0,5301,860,0
1342,3785,0,9756,716,0
1342,3638,0,316,370,0
1342,3648,0,3328,36,0
1342,3105,0,326,733,0
1342,2920,0,363,792,0
1342,2673,0,7227,284,0
1342,2682,0,1739,685,0
1342,3749,0,4947,485,0
1342,4487,0,9949,79,0
1342,1206,0,9937,70,0
1342,4170,0,6374,6,26
1342,4237,0,4308,718,0
1342,4047,0,6436,252,0
1342,3961,0,7455,554,0
1342,3587,0,9826,680,0
1342,3684,0,6190,561,0
1342,4843,0,685,680,0
1342,3924,0,6557,61,0
1342,2529,0,1404,138,0
1342,4479,0,8051,596,0
1342,4230,0,4061,775,0
1342,1009,0,4735,891,0
1342,4189,0,2725,370,0
1342,4392,0,4190,904,0
1342,4872,0,5055,632,0
1342,1702,0,8857,976,0
1342,4995,0,3023,102,0
1342,1799,0,4115,708,0
1342,1019,0,5918,199,0
1408,1342,0,53,368,0
1408,1602,0,7174,53,0
1408,4193,0,6872,137,0
1408,4159,0,9916,724,0
1408,3619,0,8087,787,0
1408,2078,0,1720,868,0
1408,1020,0,1342,470,0
1408,4518,0,6165,47,0
1408,2137,0,1284,619,0
1408,3495,0,4386,598,0
1408,4242,0,9534,196,0
1925,1408,0,53,139,0
1925,4850,0,5683,988,0
1925,4688,0,756,373,0
1925,2599,0,5784,605,0
1925,1734,0,1387,466,0
1925,1447,0,2687,465,0
1925,3438,0,5061,948,0
1925,1029,0,3885,779,0
1925,1258,0,7512,50,0
1925,2101,0,3838,271,0
1925,4231,0,2405,476,0
1925,3938,0,2411,30,6
1925,3310,0,4025,324,0
1925,4524,0,6373,94,0
1925,3499,0,2446,952,0
3347,1925,0,53,830,0
3347,4051,0,7359,433,0
3347,4376,0,8121,986,0
3347,2392,0,8842,150,0
3347,4183,0,7633,46,24
3347,3944,0,5021,971,0
3347,3442,0,399,153,0
3347,1542,0,1554,632,0
3347,2597,0,1840,319,0
3347,3532,0,5702,153,0
3347,3774,0,2755,271,0
3347,4359,0,2479,801,0
3347,4754,0,2876,259,0
3347,3954,0,6842,123,0
3347,2999,0,6331,77,34
3347,4679,0,5032,45,165
3347,4283,0,616,662,0
3347,3699,0,7300,632,0
3347,2351,0,6553,224,0
3347,1990,0,1017,565,0
3347,3368,0,1501,162,0
3347,1102,0,9058,569,0
3347,1371,0,2310,666,0
3347,2550,0,5653,520,0
3347,4313,0,2624,860,0
3347,3271,0,7455,501,0
3347,3328,0,9103,669,0
4,3930,0,151,351,0
4,3816,0,2576,273,0
4,3917,0,2509,123,151
1669,4607,0,151,327,0
1669,4941,0,4404,721,0
1669,3267,0,7077,953,0
1669,3237,0,2507,467,0
1669,1314,0,3630,120,0
1669,2010,0,3305,130,0
1669,4082,0,1831,808,0
1669,1528,0,2303,391,0
1669,2070,0,1822,16,0
1669,3981,0,4738,795,0
1669,4340,0,6633,517,0
1669,3212,0,2397,380,0
1669,4608,0,9807,786,0
1669,4288,0,8471,860,0
1669,2163,0,7318,51,0
1669,2770,0,5937,801,0
1669,4995,0,9586,222,0
1669,1216,0,4252,453,0
1669,4910,0,1896,98,0
1669,3246,0,9675,227,0
1669,3011,0,52,685,0
1669,2650,0,264,78,0
1669,2823,0,2775,715,0
1669,4986,0,2549,572,0
1669,2113,0,7218,489,0
1669,1998,0,771,994,0
1669,2060,0,9707,371,0
1669,4078,0,3028,419,0
1669,1661,0,4779,454,0
1669,1932,0,1276,254,0
1669,2694,0,8797,85,0
1669,3764,0,2904,270,0
1669,1909,0,6320,556,0
1669,4557,0,4285,866,0
1669,1446,0,4339,107,0
1669,3511,0,3533,667,0
2661,1669,0,151,305,0
2661,4333,0,151,182,0
2661,4286,0,1917,20,106
2661,3227,0,6691,588,0
2661,1078,0,8352,330,0
2661,3206,0,5303,834,0
2661,4411,0,735,848,0
2661,4760,0,6926,962,0
2661,3551,0,9184,56,0
2661,1921,0,2868,228,0
2661,3234,0,9238,234,0
2661,2651,0,4435,72,0
2661,2327,0,1769,211,0
2661,2447,0,414,747,0
2661,1371,0,2362,388,0
2661,2956,0,949,93,0
2661,2733,0,5061,697,0
2661,4331,0,2423,994,0
2661,2031,0,117,96,0
2661,1351,0,1808,437,0
2661,2687,0,1865,3,0
2661,4807,0,4298,922,0
2661,1901,0,9015,408,0
2661,4504,0,3386,950,0
2661,3773,0,1844,78,0
2661,1797,0,9562,938,0
2661,2589,0,9637,465,0
2661,2127,0,6126,703,0
2661,3682,0,4262,230,0
2661,1827,0,9413,42,0
2661,1305,0,3561,362,0
2661,2166,0,5578,266,0
2661,4679,0,8770,721,0
2661,2254,0,5236,458,0
2661,4422,0,1805,197,0
2661,4858,0,9874,786,0
3930,2661,0,151,951,0
3930,2411,0,8239,276,0
3930,4857,0,8030,695,0
3930,1008,0,2102,135,0
3930,4828,0,8751,368,0
3930,3162,0,8698,627,0
3930,3542,0,416,47,89
3930,3226,0,6695,234,0
3930,4198,0,756,913,0
3930,1110,0,1158,154,0
3930,3900,0,7095,538,0
3930,3533,0,5064,468,0
3930,3887,0,4164,254,0
3930,2312,0,9738,827,0
5,2013,0,38,730,0
5,2379,0,8209,786,0
5,3048,0,1379,420,0
5,4042,0,427,251,0
5,3394,0,2996,380,0
5,1533,0,7707,281,0
5,2841,0,4202,102,38
5,3325,0,8828,355,0
5,4548,0,4469,311,0
5,3014,0,6533,679,0
5,4759,0,7718,476,0
5,4027,0,7978,507,0
5,1274,0,1712,503,0
5,3576,0,1771,134,0
5,1071,0,576,529,0
5,1998,0,8072,542,0
5,4418,0,9570,828,0
5,1898,0,9699,847,0
5,3989,0,5593,447,0
5,1444,0,5907,897,0
5,2047,0,4622,598,0
5,1440,0,5942,675,0
5,3735,0,633,242,0
5,4628,0,8723,653,0
2013,2798,0,38,345,0
2013,2559,0,1982,144,0
2013,1264,0,7228,824,0
2013,1868,0,4446,714,0
2013,1861,0,3157,284,0
2013,2753,0,5986,328,0
2013,4550,0,1679,302,0
2013,2831,0,8235,360,0
2013,2005,0,7366,465,0
2013,3213,0,9179,793,0
2013,3616,0,4417,933,0
2013,3719,0,7700,809,0
2013,2483,0,2238,768,0
2013,3375,0,2769,185,0
2013,2203,0,3353,892,0
2013,4160,0,3188,704,0
2013,4703,0,9913,439,0
2013,4787,0,2135,927,0
2013,2759,0,7009,23,0
2013,4342,0,5350,15,0
2013,4255,0,5343,805,0
2013,3418,0,7951,381,0
2013,4085,0,7085,787,0
2013,4529,0,1857,996,0
2013,1793,0,6437,651,0
2013,1473,0,6941,941,0
2013,3037,0,6990,416,0
2013,1383,0,2377,437,0
2013,1018,0,915,781,0
2013,2108,0,5368,472,0
2013,2457,0,4534,478,0
2013,4158,0,8408,529,0
2013,1761,0,6163,668,0
2013,4410,0,7050,600,0
2013,4454,0,5305,487,0
2013,2771,0,6699,204,0
2013,4143,0,3118,588,0
2798,4601,0,38,918,0
2798,4212,0,38,449,0
2798,3035,0,5700,34,23
2798,2672,0,7233,901,0
2798,4881,0,1294,420,0
2798,4736,0,2659,943,0
2798,2742,0,718,242,0
2798,4824,0,5823,959,0
2798,2279,0,5905,501,0
2798,4338,0,3395,830,0
2798,4276,0,5660,718,0
2798,4945,0,5797,303,0
2798,2405,0,1213,975,0
2798,3063,0,2002,607,0
2798,1886,0,5722,808,0
2798,2457,0,9659,503,0
2798,1832,0,1014,33,0
2798,2777,0,3237,46,32
2798,1840,0,6796,512,0
2798,2246,0,7089,487,0
6,2740,0,14,696,0
6,1771,0,8920,689,0
6,4324,0,164,852,0
6,1480,0,2881,387,0
6,2439,0,1249,202,0
6,2219,0,1613,724,0
6,4679,0,2440,740,0
6,4421,0,8644,326,0
6,1312,0,7531,925,0
6,1371,0,5195,128,0
6,4404,0,3322,875,0
6,4142,0,7464,913,0
6,3232,0,765,279,0
6,1055,0,3474,699,0
6,4154,0,2911,172,0
6,4071,0,3909,489,0
6,4695,0,249,86,14
6,1857,0,518,887,0
6,2197,0,1853,776,0
6,3863,0,3081,352,0
6,3503,0,2363,829,0
6,4416,0,8526,808,0
6,1005,0,5904,380,0
6,2535,0,8723,28,0
6,4897,0,7752,675,0
2740,3905,0,14,414,0
2740,4751,0,14,427,0
2740,4467,0,3695,86,0
2740,4733,0,7847,287,0
2740,2572,0,3450,503,0
2740,4702,0,6861,805,0
2740,1532,0,7084,735,0
2740,1829,0,5256,258,0
2740,4793,0,6551,253,0
2740,1166,0,4054,155,0
2740,2964,0,5017,303,0
2740,2377,0,1416,943,0
2740,2343,0,5027,339,0
2740,4642,0,6099,899,0
2740,1859,0,1798,68,0
2740,4686,0,7751,52,0
2740,4656,0,850,998,0
2740,2890,0,2365,58,0
2740,2188,0,3464,302,0
2740,1592,0,4133,292,0
2740,1651,0,9882,76,0
2740,4540,0,1557,22,0
2740,3507,0,8493,881,0
2740,1333,0,1226,709,0
2740,3674,0,2271,570,0
2740,1609,0,863,666,0
2740,3723,0,2146,876,0
2740,1963,0,6281,572,0
2740,2434,0,935,245,0
2740,4110,0,1645,68,0
2740,1994,0,2160,417,0
2740,2687,0,4139,250,0
3905,4522,0,14,273,0
3905,3619,0,7333,779,0
3905,2431,0,2601,964,0
3905,3646,0,488,555,0
3905,2697,0,4008,465,0
3905,1303,0,8148,918,0
3905,4655,0,6662,880,0
3905,2755,0,4480,204,0
3905,1952,0,1095,378,0
3905,3028,0,514,88,0
3905,2779,0,7448,515,0
3905,4863,0,198,475,0
3905,3611,0,3994,528,0
3905,4525,0,2983,843,0
3905,4344,0,1725,737,0
3905,1674,0,9362,993,0
3905,4386,0,2212,353,0
3905,1557,0,8386,186,0
3905,2295,0,8658,184,0
3905,2042,0,4289,633,0
3905,1227,0,1863,251,0
7,3550,0,30,12,0
7,2393,0,1030,366,0
7,1206,0,4133,43,30
7,1294,0,6290,127,0
7,2583,0,5572,219,0
7,3792,0,3384,6,0
7,1529,0,9278,364,0
7,1075,0,8234,965,0
7,4015,0,3771,521,0
7,4732,0,8777,834,0
7,3565,0,4472,461,0
7,4101,0,6151,660,0
7,2890,0,8554,837,0
7,2545,0,4853,298,0
1631,4555,0,30,1000,0
1631,4651,0,30,324,0
1631,3152,0,5055,135,0
1631,3831,0,6036,515,0
1631,3999,0,1480,282,0
1631,1964,0,5506,326,0
1631,3251,0,2836,131,0
1631,1195,0,2048,142,0
1631,1114,0,1668,460,0
1631,4929,0,9505,481,0
1631,1129,0,372,525,0
1631,4799,0,2479,894,0
1631,4200,0,6327,828,0
1631,2543,0,6147,194,0
1631,2077,0,349,254,0
1631,4661,0,512,978,0
1631,2686,0,2637,139,0
1631,4797,0,3287,612,0
1631,1007,0,1830,273,0
1631,1426,0,8067,904,0
1631,2042,0,1996,699,0
1631,3499,0,1224,1,35
1631,4517,0,7718,410,0
1631,3997,0,9628,145,0
1631,2220,0,8750,631,0
1631,3753,0,2367,728,0
1631,3396,0,789,620,0
1631,3873,0,8899,838,0
1631,1799,0,6321,985,0
1631,4088,0,1096,943,0
1631,3537,0,3199,502,0
1631,4952,0,8731,387,0
1631,3331,0,6069,151,0
1631,4753,0,1290,826,0
3550,3867,0,30,839,0
3550,3552,0,8443,123,67
3550,1165,0,7746,897,0
3550,1526,0,4502,421,0
3550,4738,0,4062,425,15
3550,4362,0,3500,981,0
3550,1241,0,7969,931,0
3550,4339,0,3273,834,0
3550,2742,0,9708,616,0
3550,3424,0,4196,254,0
3550,4371,0,6496,601,0
3550,4956,0,5616,730,0
3550,1456,0,4424,419,107
3867,1631,0,30,636,0
3867,2899,0,538,383,0
3867,3886,0,1313,98,0
3867,1387,0,554,422,0
3867,1812,0,3437,633,0
3867,4830,0,9882,148,61
3867,2291,0,7624,935,0
3867,3792,0,9563,682,0
3867,3044,0,2599,207,0
3867,2875,0,4553,942,0
8,2990,0,83,899,0
8,3775,0,7328,715,0
8,1685,0,9632,466,0
8,2379,0,238,37,82
8,2391,0,243,607,0
8,1967,0,3005,560,0
8,4570,0,9482,68,1
8,1245,0,3061,271,0
8,1360,0,6126,118,0
8,4232,0,4917,426,0
8,4440,0,7673,860,0
8,4249,0,3250,624,0
8,2204,0,1555,348,0
8,3888,0,8053,612,0
8,1958,0,3327,658,0
2733,3731,0,83,860,0
2733,2419,0,300,94,0
2733,3666,0,4387,172,0
2733,3072,0,5716,355,0
2733,2970,0,2287,846,0
2733,4863,0,5301,786,0
2733,2747,0,18,892,0
2733,2870,0,766,741,0
2733,4760,0,2531,980,0
2733,4359,0,640,602,0
2733,3956,0,7844,538,0
2733,4588,0,3374,595,0
2733,4038,0,4921,706,0
2733,1988,0,6427,939,0
2733,4605,0,3882,686,0
2733,3529,0,5147,694,0
2733,2137,0,570,723,0
2733,4201,0,4276,630,0
2733,1016,0,1750,156,0
2733,3878,0,4919,886,0
2733,2542,0,4370,137,0
2733,1785,0,2663,677,0
2733,4525,0,3345,616,0
2733,4169,0,346,538,0
2733,1045,0,5262,291,0
2733,4443,0,9816,38,17
2733,2187,0,2028,851,0
2733,2026,0,5686,465,0
2733,3867,0,4266,427,0
2733,2131,0,2023,46,83
2733,4030,0,4066,730,0
2733,3379,0,1720,366,0
2733,3301,0,7157,488,0
2733,2978,0,2049,913,0
2990,2733,0,83,970,0
2990,1103,0,8254,234,0
2990,2608,0,2384,594,0
2990,1506,0,9879,16,0
2990,3845,0,5051,181,0
2990,2103,0,287,679,0
2990,2249,0,6637,996,0
2990,4663,0,3208,628,0
2990,3139,0,4554,370,0
2990,1197,0,5165,989,0
2990,4955,0,9567,681,0
2990,1478,0,1189,492,0
2990,1878,0,8355,327,0
2990,2007,0,9278,943,0
2990,3443,0,3377,614,0
2990,2800,0,1798,201,0
2990,3779,0,3068,925,0
3731,4544,0,83,421,0
3731,4297,0,83,103,0
3731,4057,0,7146,978,0
3731,2886,0,3019,549,0
3731,2530,0,1266,8,0
3731,2992,0,2687,944,0
3731,3193,0,831,966,0
3731,2176,0,3850,479,0
3731,2582,0,3911,988,0
3731,4862,0,6734,734,0
3731,2677,0,9555,292,0
3731,4641,0,8030,210,0
3731,1405,0,2155,802,0
3731,4548,0,2396,25,26
3731,2604,0,49,278,0
3731,4224,0,6644,370,0
3731,4448,0,1851,325,0
3731,2549,0,3387,426,0
3731,1247,0,2785,499,0
3731,1783,0,2299,853,0
3731,2527,0,2727,482,0
3731,4365,0,3801,881,0
3731,2906,0,3629,181,0
3731,4701,0,2856,533,0
9,1500,0,175,913,0
9,4255,0,1551,693,0
9,1908,0,4811,289,0
9,2416,0,2264,336,0
9,1442,0,1170,468,0
9,4982,0,6228,151,0
9,2812,0,7397,165,0
9,1207,0,1622,103,58
9,2122,0,3597,700,0
9,4070,0,3122,217,0
9,1489,0,5936,174,0
9,1401,0,6004,369,0
9,2011,0,6546,241,0
9,3359,0,3524,999,0
9,2872,0,7972,746,0
9,4770,0,6592,281,0
9,3602,0,1059,5,117
9,3738,0,8227,887,0
9,4703,0,5150,392,0
9,3701,0,2387,790,0
9,2851,0,546,237,0
9,1864,0,8314,983,0
9,2137,0,2488,636,0
9,4450,0,8683,984,0
1500,1980,0,175,834,0
1500,4845,0,175,796,0
1500,4831,0,5437,852,0
1500,1848,0,3499,194,0
1500,2540,0,7747,787,0
1500,4502,0,884,310,0
1500,4591,0,3081,325,0
1500,3837,0,6497,115,0
1500,4985,0,204,442,0
1500,2549,0,3256,419,0
1500,3182,0,1532,171,0
1500,2643,0,4407,681,0
1500,2951,0,2346,736,0
1500,3448,0,918,916,0
1500,3525,0,7804,85,0
1500,4526,0,9437,457,0
1500,2731,0,9231,598,0
1500,2616,0,7868,618,0
1500,1675,0,1398,572,0
1500,1220,0,6660,422,0
1500,4405,0,3257,99,1
1500,4282,0,1081,209,0
1500,4285,0,5974,916,0
1980,4088,0,175,967,0
1980,2273,0,4640,878,0
1980,4263,0,8810,600,0
1980,4273,0,6561,840,0
1980,4835,0,7414,980,0
10,3364,0,63,53,8
10,2949,0,572,584,0
10,4624,0,4639,960,0
10,2071,0,9585,207,0
10,4128,0,1089,489,0
10,2116,0,7008,615,0
10,3744,0,9276,851,0
10,3496,0,5894,840,0
10,2700,0,6935,685,0
10,3512,0,1915,585,0
10,1539,0,5504,698,0
10,4162,0,1206,124,48
10,4403,0,6244,217,0
10,2212,0,5671,199,0
10,1592,0,4591,984,0
10,1726,0,9115,456,0
10,1386,0,6312,642,0
10,1681,0,295,243,0
10,2863,0,1085,941,0
10,3682,0,1663,259,0
10,4204,0,1759,193,0
