tail,head,low,cap,cost,flow
1,4301,0,17290,10000,8511
1,3853,0,8779,1838,8779
49,1809,0,17290,659,0
49,3425,0,12260,7495,0
49,4639,0,5501,9497,0
49,1890,0,4275,994,0
49,2295,0,5088,8822,0
49,2909,0,14044,2764,0
49,3744,0,7296,7944,0
49,3538,0,927,1126,0
59,1926,0,17290,10000,0
59,3440,0,13823,2512,0
59,3838,0,8308,2839,0
59,2992,0,7365,6781,0
59,1690,0,600000,632,0
59,3623,0,1657,7224,0
59,4453,0,14126,4565,0
59,1748,0,13866,5162,0
59,892,0,3806,6569,0
59,2907,0,4161,666,0
59,548,0,6157,4520,0
59,1969,0,600000,2624,0
59,378,0,12731,7455,0
59,3496,0,3002,9103,0
142,1399,0,17290,10000,0
142,344,0,2384,4393,0
142,3976,0,9686,8997,0
142,1001,0,14947,6528,0
142,2575,0,12145,1657,0
142,381,0,12014,8200,0
292,1214,0,17290,10000,0
292,1303,0,12576,391,508
292,1746,0,799,1940,0
292,2951,0,7008,9264,0
292,1593,0,7274,7762,0
292,3197,0,12673,2646,0
292,1643,0,6885,8407,0
292,1140,0,6171,4784,0
292,818,0,12805,1034,0
292,4090,0,2372,2642,0
292,1543,0,8356,4159,0
292,3463,0,600000,7380,0
292,1581,0,1278,8786,0
292,3450,0,13219,860,0
293,519,0,17290,7318,0
293,2444,0,14207,4801,0
293,3583,0,3459,6222,0
293,2445,0,11003,1453,0
293,1662,0,4198,5098,0
293,978,0,14224,3227,0
293,3984,0,11526,8685,0
293,1697,0,3942,6078,0
293,96,0,600000,2775,0
293,608,0,8908,2549,0
293,4824,0,3054,7218,0
293,2802,0,9552,771,0
293,3304,0,4002,9707,0
293,3671,0,502,3028,0
342,3128,0,17290,10000,0
342,2238,0,9900,1902,0
342,4040,0,3438,8603,0
342,970,0,14615,2006,0
342,1626,0,11445,3572,0
342,2143,0,1839,8569,0
342,1980,0,5013,2753,0
342,1349,0,4752,9955,0
342,976,0,911,3855,0
342,1800,0,8033,8182,0
342,1277,0,4629,1917,0
342,1666,0,5690,6691,0
342,784,0,14786,8352,0
342,2130,0,4959,5303,0
342,2084,0,600000,4297,0
352,972,0,17290,656,0
352,1392,0,5509,2285,0
352,41,0,714,3590,0
352,2984,0,1098,4461,0
