tail,head,low,cap,cost,flow
1,300,0,1756,4509,0
1,549,0,247,7123,0
1,187,0,20000,2354,0
1,475,0,57,1738,27
1,908,0,20000,8505,0
1,60,0,620,1045,614
1,747,0,1138,3616,0
1,254,0,1200,467,1115
1,795,0,878,7898,0
1,900,0,20000,8265,0
41,127,0,20000,10000,0
41,929,0,1142,8297,0
41,639,0,425,5481,0
41,547,0,20000,3562,0
41,266,0,358,3220,0
41,365,0,348,8807,0
41,101,0,878,3701,0
41,497,0,873,5730,0
41,476,0,636,8761,0
41,970,0,656,8667,0
41,577,0,413,225,0
41,379,0,20000,3369,0
41,242,0,787,8627,0
42,682,0,20000,8995,0
42,770,0,20000,8642,0
42,437,0,20000,2579,0
52,82,0,20000,6100,0
52,566,0,1190,2674,0
52,292,0,977,6155,0
52,901,0,317,7902,0
52,228,0,26,8919,0
52,714,0,960,5499,0
52,805,0,1008,6625,0
52,860,0,792,2924,0
52,812,0,354,1271,0
52,76,0,20000,4897,0
52,686,0,400,120,0
52,85,0,840,9154,0
52,334,0,20000,4564,0
52,692,0,20000,4460,0
52,203,0,972,8753,0
52,388,0,864,7896,0
52,299,0,1008,1124,0
55,917,0,1756,9926,0
55,591,0,42,2689,0
55,613,0,20000,1825,0
55,959,0,536,2052,0
55,546,0,670,8418,0
63,992,0,1756,10000,0
63,189,0,1756,3484,0
63,396,0,897,1968,0
63,278,0,20000,6317,0
63,591,0,20000,8008,0
63,199,0,1176,9901,0
75,865,0,1756,9372,0
75,878,0,36,1268,0
75,106,0,124,2279,0
75,53,0,436,3623,0
75,881,0,868,281,0
75,723,0,1142,5912,0
75,549,0,707,5910,0
75,996,0,1188,7565,0
75,269,0,719,1226,0
75,556,0,938,8186,0
75,162,0,376,51,81
75,603,0,765,3409,0
82,689,0,1756,8172,0
82,801,0,1185,731,0
82,243,0,20000,2476,0
82,765,0,996,4115,0
82,876,0,189,5580,0
82,187,0,20000,477,0
97,52,0,20000,10000,0
97,132,0,523,4958,0
97,495,0,439,6755,0
97,255,0,1079,1597,0
97,251,0,526,1670,482
97,556,0,836,2204,599
97,861,0,588,7778,0
97,596,0,337,3573,0
97,123,0,20000,3541,0
97,282,0,859,2000,0
97,284,0,245,4278,0
97,447,0,381,9717,0
97,353,0,875,6300,0
107,657,0,1756,10000,0
107,651,0,20000,137,0
107,161,0,438,7928,0
107,859,0,1074,9162,0
107,97,0,20000,383,0
107,19,0,362,7699,0
127,750,0,1756,10000,0
127,557,0,153,9767,0
127,1000,0,673,4494,0
127,161,0,1180,7460,0
127,204,0,639,1839,0
127,776,0,59,3758,0
127,922,0,485,9823,0
127,920,0,506,6167,0
127,827,0,233,716,0
127,240,0,651,4930,0
127,901,0,349,4685,0
127,670,0,20000,4484,0
127,975,0,1004,7343,0
127,833,0,449,7584,0
146,494,0,20000,7393,0
146,786,0,731,7338,0
146,516,0,1161,4532,0
146,217,0,845,2377,0
146,859,0,1200,6930,0
146,384,0,555,7303,0
146,479,0,1077,7763,0
146,674,0,1005,2765,0
146,887,0,1151,4286,0
146,313,0,689,3702,0
146,84,0,560,75,0
146,715,0,1198,3762,0
146,472,0,102,6047,0
148,960,0,1756,7003,0
148,427,0,744,6239,0
148,837,0,1068,4810,0
148,858,0,917,4736,0
148,546,0,351,7974,0
148,308,0,494,5806,0
148,582,0,842,2993,0
148,705,0,551,5425,0
148,85,0,1172,4556,0
148,907,0,92,5449,0
148,35,0,20000,2226,0
148,45,0,369,1432,0
148,351,0,20000,2013,0
148,363,0,20000,5863,0
148,658,0,838,9408,0
148,563,0,107,388,0
148,855,0,20000,1153,0
148,927,0,523,3228,0
189,405,0,1756,5343,0
189,729,0,844,4830,0
189,279,0,579,6521,0
189,763,0,821,9171,0
189,557,0,937,7319,0
189,975,0,636,904,0
189,907,0,1100,1920,0
189,879,0,984,9237,0
189,52,0,1145,1008,0
189,471,0,1016,6684,0
189,408,0,202,8448,0
189,501,0,288,4098,0
189,73,0,20000,2396,0
189,657,0,494,8043,0
189,806,0,906,4794,0
196,473,0,1756,7643,0
196,530,0,20000,1152,0
196,706,0,367,3561,0
196,758,0,479,5441,0
196,588,0,782,6694,0
196,22,0,1160,7864,0
196,88,0,440,5652,0
196,639,0,384,5838,0
196,29,0,485,273,247
196,66,0,590,996,0
196,241,0,697,6238,0
200,315,0,1756,9524,0
200,482,0,20000,7371,0
200,169,0,404,4679,0
200,859,0,1073,1905,0
200,824,0,545,7150,0
200,815,0,555,7780,0
200,835,0,340,3445,0
200,734,0,20000,8534,0
200,142,0,71,1609,0
200,205,0,370,506,0
256,452,0,20000,592,0
256,90,0,860,6068,0
256,512,0,20000,2295,0
256,703,0,651,3234,0
256,269,0,596,5361,0
260,696,0,1756,8892,0
260,462,0,410,2348,0
260,318,0,168,6005,0
260,555,0,1168,2928,0
260,479,0,1048,4195,0
260,163,0,20000,2127,0
260,289,0,20000,7864,0
