tail,head,low,cap,cost,flow
1,217,0,59137,10000,0
1,262,0,400000,8476,0
1,84,0,400000,2010,24252
1,264,0,400000,1240,34885
1,268,0,400000,5271,0
1,86,0,400000,6068,0
12,172,0,400000,9337,0
12,174,0,400000,1784,0
12,359,0,400000,2266,0
12,118,0,400000,981,0
12,63,0,400000,2551,0
12,240,0,400000,8750,0
12,193,0,400000,7669,0
12,211,0,400000,8240,0
12,270,0,400000,7510,0
12,40,0,400000,2238,0
12,49,0,400000,8285,0
13,275,0,400000,4762,0
13,252,0,400000,6058,0
13,50,0,52778,6104,0
13,306,0,400000,2533,0
13,120,0,400000,212,0
13,192,0,87644,5478,0
13,285,0,98327,787,0
13,211,0,400000,703,0
13,223,0,400000,6805,0
30,387,0,400000,1359,0
30,83,0,400000,4535,0
30,196,0,400000,3146,0
33,189,0,400000,10000,0
33,352,0,59137,6095,0
33,91,0,52143,8416,0
33,10,0,400000,7034,0
33,295,0,400000,378,0
33,13,0,34619,9166,0
35,364,0,400000,846,0
35,192,0,400000,10000,0
35,258,0,400000,4056,0
35,16,0,400000,9643,0
35,28,0,400000,377,0
35,345,0,92632,3662,0
39,396,0,400000,487,0
39,201,0,400000,2531,0
39,298,0,400000,5685,0
39,295,0,400000,9779,0
39,137,0,400000,9661,0
39,107,0,400000,2217,0
39,234,0,400000,3628,0
39,210,0,400000,8167,0
39,283,0,400000,759,0
39,43,0,400000,4301,0
41,69,0,400000,4544,0
41,73,0,400000,4593,0
41,39,0,400000,1837,0
41,182,0,400000,9058,0
41,349,0,72437,1803,0
41,203,0,93717,8985,0
41,379,0,400000,5560,0
41,248,0,400000,299,0
41,167,0,400000,5456,0
41,397,0,400000,6838,0
41,388,0,400000,9122,0
53,302,0,400000,7135,0
53,190,0,400000,9503,0
53,299,0,400000,858,0
53,69,0,400000,5925,0
53,395,0,400000,2220,0
53,179,0,400000,6681,0
53,124,0,400000,2927,0
64,328,0,400000,7235,0
64,361,0,400000,2219,9179
64,108,0,400000,8077,0
64,384,0,400000,9648,0
64,91,0,100599,4350,0
64,100,0,400000,6150,0
64,330,0,400000,4248,0
64,394,0,400000,2561,0
64,315,0,400000,2299,0
64,310,0,400000,8888,0
64,107,0,400000,3929,0
64,273,0,400000,6494,0
64,187,0,400000,6045,0
66,282,0,59137,10000,0
66,121,0,400000,3181,0
66,285,0,400000,854,0
66,286,0,400000,3211,0
66,287,0,108719,5557,0
66,77,0,400000,4912,0
66,339,0,61135,3819,0
67,382,0,400000,10000,0
67,197,0,59137,10000,0
67,195,0,31698,6950,0
67,222,0,400000,1536,0
67,88,0,400000,6718,0
67,64,0,39922,1207,0
67,209,0,400000,5381,0
67,138,0,400000,24,0
67,155,0,400000,1455,0
67,400,0,21838,8713,0
67,56,0,400000,3970,0
67,33,0,400000,9146,0
69,33,0,59137,5181,0
69,363,0,400000,2854,0
69,84,0,400000,6218,0
69,234,0,400000,5890,0
69,274,0,400000,3947,0
69,347,0,23139,4355,0
83,330,0,400000,6889,0
83,128,0,400000,248,0
83,109,0,62779,1452,0
83,178,0,400000,4483,0
83,87,0,59879,1100,0
83,163,0,400000,5580,0
83,13,0,29417,7421,0
83,24,0,400000,142,0
83,105,0,400000,3420,0
83,52,0,400000,6522,0
83,277,0,400000,5961,0
83,341,0,47710,4986,0
83,129,0,400000,9991,0
108,264,0,400000,4546,0
108,155,0,400000,4114,0
108,222,0,400000,9833,0
108,298,0,400000,838,0
108,396,0,400000,3073,0
108,177,0,400000,8222,0
116,66,0,59137,6825,0
116,246,0,400000,9903,0
116,326,0,400000,8139,0
116,249,0,400000,7591,0
116,319,0,62770,6750,0
116,189,0,400000,9491,0
117,164,0,400000,930,0
117,241,0,70218,233,0
