tail,head,low,cap,cost,flow
1,507,0,200000,3211,0
1,484,0,200000,1616,0
1,723,0,200000,4912,0
1,727,0,200000,9351,0
1,500,0,200000,5018,0
1,409,0,200000,6210,0
1,464,0,200000,1858,0
1,724,0,200000,2148,0
1,566,0,200000,4424,0
1,714,0,200000,8310,0
1,635,0,200000,7491,0
1,612,0,200000,3439,0
1,666,0,200000,7269,0
1,515,0,200000,150,0
1,468,0,200000,8713,0
1,641,0,200000,3970,0
1,490,0,200000,9146,0
1,417,0,200000,5181,0
1,785,0,200000,2854,0
1,787,0,200000,2177,0
1,611,0,200000,5688,0
1,529,0,200000,7526,0
1,452,0,200000,2712,0
1,699,0,200000,552,0
1,687,0,200000,9060,0
1,429,0,200000,248,0
1,511,0,200000,5144,0
1,791,0,200000,3864,0
1,697,0,200000,6005,0
1,732,0,200000,4245,0
1,766,0,200000,8330,0
1,796,0,200000,7421,0
1,493,0,200000,142,0
1,479,0,200000,3420,0
1,463,0,200000,6522,0
1,775,0,200000,5961,0
1,431,0,200000,5736,0
1,634,0,200000,6672,0
1,414,0,200000,8484,0
1,650,0,200000,1326,0
1,462,0,200000,523,0
1,599,0,200000,7262,0
1,753,0,200000,8173,0
1,750,0,200000,2495,0
1,423,0,200000,4604,0
1,765,0,200000,2949,0
1,401,0,200000,9903,0
1,481,0,200000,8139,0
1,447,0,200000,7591,0
1,786,0,200000,5914,0
1,573,0,200000,5669,0
1,744,0,200000,3590,0
1,604,0,200000,8891,0
1,782,0,200000,233,0
1,437,0,200000,1580,0
1,557,0,200000,8646,0
1,669,0,200000,8767,0
1,763,0,200000,9266,0
1,773,0,200000,9129,0
1,520,0,200000,6915,0
1,584,0,200000,5789,0
1,562,0,200000,1965,0
1,454,0,200000,7619,0
1,777,0,200000,6171,0
1,506,0,200000,2529,0
1,588,0,200000,5969,0
1,572,0,200000,9793,0
1,698,0,200000,6016,0
1,597,0,200000,1860,0
1,774,0,200000,9386,0
1,719,0,200000,2673,0
1,548,0,200000,2918,0
1,486,0,200000,7903,0
1,674,0,200000,7213,0
1,715,0,200000,4253,0
1,496,0,200000,8909,0
1,564,0,200000,6735,0
1,494,0,200000,9549,0
1,625,0,200000,7045,0
1,659,0,200000,2554,0
1,654,0,200000,4064,0
1,718,0,200000,5104,0
1,671,0,200000,4292,0
1,583,0,200000,1842,0
1,554,0,200000,7362,0
1,655,0,200000,7603,0
1,533,0,200000,6257,0
1,649,0,200000,1251,0
1,586,0,200000,5258,0
1,693,0,200000,6383,0
1,626,0,200000,1002,0
1,652,0,200000,2172,0
1,477,0,200000,7750,0
1,466,0,200000,4963,0
1,783,0,200000,3733,0
1,448,0,200000,932,0
1,755,0,200000,9891,0
1,711,0,200000,2035,0
1,544,0,200000,3536,0
1,451,0,200000,3537,0
1,653,0,200000,3991,0
1,685,0,200000,3108,0
1,639,0,200000,7287,0
1,681,0,200000,8800,0
1,606,0,200000,6,0
1,569,0,200000,2172,0
1,668,0,200000,6305,0
1,619,0,200000,6420,0
1,731,0,200000,9177,0
1,436,0,200000,2425,0
1,543,0,200000,7990,0
1,432,0,200000,2564,0
1,539,0,200000,2509,0
1,646,0,200000,4673,0
1,737,0,200000,6121,0
1,593,0,200000,8447,0
1,475,0,200000,6134,0
1,526,0,200000,8659,0
1,638,0,200000,6884,0
1,419,0,200000,1567,0
1,407,0,200000,8015,0
1,489,0,200000,4746,0
1,794,0,200000,8069,0
1,487,0,200000,1385,0
1,596,0,200000,9557,0
1,615,0,200000,633,0
1,488,0,200000,2255,0
1,664,0,200000,850,0
1,528,0,200000,4047,0
1,457,0,200000,1551,0
1,590,0,200000,5449,0
1,682,0,200000,103,0
1,688,0,200000,4043,0
1,502,0,200000,8749,0
1,510,0,200000,4714,0
1,769,0,200000,4855,0
1,648,0,200000,9136,0
1,656,0,200000,9771,0
1,778,0,200000,8472,0
1,792,0,200000,299,41
1,700,0,200000,1446,0
1,521,0,200000,4952,0
1,559,0,200000,4478,0
1,433,0,200000,5954,0
1,609,0,200000,279,0
1,405,0,200000,6788,0
1,421,0,200000,578,0
1,613,0,200000,2459,0
1,749,0,200000,3437,0
1,789,0,200000,9595,0
1,640,0,200000,1333,0
1,585,0,200000,2642,0
1,461,0,200000,9111,0
1,683,0,200000,6797,0
1,738,0,200000,2513,0
1,568,0,200000,7332,0
1,445,0,200000,3842,0
1,575,0,200000,473,0
1,741,0,200000,8075,0
1,514,0,200000,924,0
1,632,0,200000,4585,0
1,592,0,200000,9616,0
1,495,0,200000,2078,0
1,587,0,200000,79,245
1,643,0,200000,2130,0
1,558,0,200000,4907,0
1,537,0,200000,8288,0
1,752,0,200000,3806,0
1,581,0,200000,7577,0
1,607,0,200000,5073,0
1,410,0,200000,1821,0
1,673,0,200000,7200,0
1,524,0,200000,2940,0
1,602,0,200000,9911,0
1,797,0,200000,3948,0
1,633,0,200000,9522,0
1,513,0,200000,5662,0
1,517,0,200000,6135,0
1,610,0,200000,5329,0
2,577,0,200000,1085,0
2,484,0,200000,7493,0
2,547,0,200000,6481,0
2,500,0,200000,946,0
2,466,0,200000,9861,0
2,681,0,200000,4976,0
2,692,0,200000,5071,0
2,672,0,200000,5611,0
2,477,0,200000,7122,0
2,776,0,200000,3037,0
2,459,0,200000,9758,0
2,718,0,200000,3594,0
2,686,0,200000,1261,0
2,549,0,200000,2514,0
2,632,0,200000,2271,0
2,669,0,200000,7316,0
2,662,0,200000,6092,0
2,742,0,200000,7868,0
2,485,0,200000,8309,0
2,687,0,200000,5131,0
2,502,0,200000,1045,0
2,419,0,200000,845,0
2,700,0,200000,5820,0
2,543,0,200000,6085,0
2,757,0,200000,7898,0
2,563,0,200000,8265,0
2,535,0,200000,6460,0
2,761,0,200000,5099,0
2,410,0,200000,8779,0
2,791,0,200000,62,0
2,470,0,200000,8929,0
2,779,0,200000,3220,0
2,493,0,200000,5562,0
2,724,0,200000,5705,0
2,732,0,200000,830,0
2,427,0,200000,5730,0
2,660,0,200000,7717,0
2,743,0,200000,4126,0
2,730,0,200000,3714,0
2,655,0,200000,225,0
2,765,0,200000,3369,0
2,676,0,200000,3660,0
2,604,0,200000,2367,0
2,511,0,200000,2469,0
2,505,0,200000,9779,0
2,788,0,200000,1489,0
2,760,0,200000,9672,0
2,554,0,200000,4600,0
2,746,0,200000,3328,0
2,656,0,200000,5374,0
2,552,0,200000,7902,0
2,745,0,200000,707,0
2,799,0,200000,7671,0
2,723,0,200000,1178,0
2,582,0,200000,6625,0
2,438,0,200000,1171,0
2,537,0,200000,7505,0
2,472,0,200000,9585,0
2,696,0,200000,8457,0
2,665,0,200000,120,0
2,565,0,200000,6338,0
2,532,0,200000,1884,0
2,455,0,200000,6991,0
2,651,0,200000,4564,0
2,593,0,200000,2539,0
2,540,0,200000,7896,0
2,408,0,200000,3690,0
2,679,0,200000,8270,0
